ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
435477087513071,338750440106782,BBB Boerburgerbeweging,{{product.brand}},,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-15,BoerBurgerBeweging,90000,99999,200,299,https://www.facebook.com/ads/library/?id=435477087513071
460755871833645,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Femke Wiersma uit Holwerd staat op nummer 2 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Femke belangrijk:
🍀   Ieder kind moet in zijn directe omgeving naar school kunnen gaan
🍀   Landbouwgrond moet behouden blijven voor voedselproductie
🍀   De terugkeer van de basisbeurs zorgt voor gelijke kansen voor jongeren
🍀   Beleid moet eerlijk en rechtvaardig zijn

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-15,2021-03-17,2021-03-14,BoerBurgerBeweging,80000,89999,200,299,https://www.facebook.com/ads/library/?id=460755871833645
477154687053277,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Gert van Dellen uit Lutjegast staat op nummer 24 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Gert belangrijk voor het platteland:
🍀   Compensatie en herstel aardbevingsschade NU.
🍀   Gaswinning stoppen en niet verplaatsen naar verschillende kleine veldjes.
🍀   Stoppen met ongewenste wensnatuur. 
🍀   De leefbaarheid van kleine kernen verbeteren (kleine scholen moeten bijvoorbeeld open blijven).
🍀   Noaberschap in dorpen en buurten actief ondersteunen.

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-14,BoerBurgerBeweging,70000,79999,200,299,https://www.facebook.com/ads/library/?id=477154687053277
1115138638909415,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘄𝗶𝗹 𝗻𝗶𝗲𝘂𝘄𝗲 𝗴𝗿𝗼𝗲𝗻𝗲 𝘀𝘁𝗮𝗱 𝗺𝗲𝘁 𝟯𝟬𝟬.𝟬𝟬𝟬 𝘄𝗼𝗻𝗶𝗻𝗴𝗲𝗻 𝗶𝗻 𝗢𝗼𝘀𝘁𝘃𝗮𝗮𝗿𝗱𝗲𝗿𝘀𝗽𝗹𝗮𝘀𝘀𝗲𝗻

De grondhonger is niet te stillen in Nederland. In de aanloop naar de verkiezingen doen tal van politieke partijen een beroep op de ruimte. Schaamteloos wordt groen (vruchtbare, voedselproducerende grond) ingeruild voor grijs (woningen, wegen, data- en distributiecentra, mega-wind- en zonneparken). Nederland staat op het punt onherstelbare schade aan te richten op het platteland.

BBB-kandidaat Femke Wiersma (no. 2 op kieslijst 23) heeft zojuist haar plannen voor woningen gepresenteerd. Bouw op de uitgemergelde toendra, die Oostvaardersplassen heet, 300.000 woningen. Het watergebied kan worden behouden voor de watervogels. Er ligt al snelweg, er ligt al een spoorlijn en de grond is al van de overheid. De nieuwe stad zal Groenland heten!

lees verder op: https://boerburgerbeweging.nl/bbb-wil-nieuwe-groene-stad-met-300-000-woningen-in-oostvaardersplassen/",,,,2021-03-15,2021-03-17,2021-03-14,BoerBurgerBeweging,100000,124999,500,599,https://www.facebook.com/ads/library/?id=1115138638909415
2887217114932657,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Ad Merks uit Haastrecht staat op nummer 11 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Ad belangrijk voor het platteland:
🍀   Kies in maart 2021 voor Boerengroen
- boerennatuur is ook natuur en wordt zodanig door de overheid erkend en gewaardeerd
- vruchtbare gronden blijven beschikbaar voor (extra) voedselproductie
- we werken niet aan wensnatuur, maar stellen reële natuurdoelen
- de natuurgebieden moeten toegankelijk zijn voor alle burgers
 
🍀   Leefbaarheid platteland is ook belangrijk voor de mensen uit de stad
- wij zijn voor een stabiel en langjarig plattelandsbeleid
- goede voorzieningen, zoals openbaar vervoer, zorg/ziekenhuis en scholen behouden
- meer starterswoningen en kinderopvang, ook op het platteland
- stimuleren activiteiten op het platteland, agrotoerisme en
dagrecreatie

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,80000,89999,200,299,https://www.facebook.com/ads/library/?id=2887217114932657
1129024477524182,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Henk Vermeer uit Harderwijk staat op nummer 25 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Henk belangrijk voor de Veluwe en Flevoland:
🍀    We willen geen laagvliegroutes over de Veluwe en Flevoland
Ons standpunt met betrekking tot Vliegveld Lelystad:
Wat BBB betreft kunnen we op dat terrein beter huizen bouwen of het teruggeven aan de landbouw. Gezien de door de regering zelf opgelegde stikstofopgaven en de klimaatdoelstellingen, moet er toch minder gevlogen worden en is Lelystad overbodig als vliegveld.

🍀    Er gaan steeds meer geluiden op om de natuurgebieden op de Veluwe af te sluiten voor bezoekers.
Natura 2000 gebieden moeten zo veel als mogelijk beleefd kunnen worden door de mens. Ontoegankelijke natuurgebieden worden per direct worden opengesteld. De burger betaalt er via de belastingen aan mee en heeft er recht op om van deze gebieden te genieten én te controleren wat er met zijn of haar belastingcenten is gebeurd.

🍀    BBB wil geen bouw van datacenters en mega0zonneparken op agrarische grond of in natuurgebieden waarbij ook nog vaak veel subsidie verdwijnt naar multinationals in het buitenland.

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,50000,59999,200,299,https://www.facebook.com/ads/library/?id=1129024477524182
1076757882826295,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Ron van Essen uit Slijk-Ewijk staat op nummer 15 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Ron belangrijk:
🍀   We stellen mensen centraal en niet de regels, zoals bijvoorbeeld in het dossier kindertoeslag en inkomstenbelasting

🍀   Er komen ‘meer handen aan het bed’ in de zorg zodat er ook meer tijd is voor sociaal contact tussen verplegers, artsen en patiënten/cliënten.

🍀   Voor alle studenten is een basisbeurs beschikbaar. 

🍀   Ouders en kinderen moeten een ‘strippenkaart’ krijgen voor een aantal vrije schooldagen per jaar om zelf in te zetten. 

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,70000,79999,200,299,https://www.facebook.com/ads/library/?id=1076757882826295
513580383381489,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Han van't Hof uit Sint-Annaland staat op nummer 19 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Han belangrijk voor het platteland:
🍀   De schoonheid van het platteland bewaken:
Groen (platteland) wordt niet ingeruild voor grijs (industrie, zonneparken, windmolens, datacenters en distributiecentra).

🍀   Voorzieningen in stand houden:
Er zijn goede voorzieningen nodig (openbaar vervoer, bibliotheken, sportvelden, scholen, geldautomaat, ambulance, politiepost, medische en culturele voorzieningen, snel internet) op het platteland waardoor oud en jong zich thuis kunnen blijven voelen in hun eigen regio.

🍀   Midden en klein bedrijf ondersteunen:
We zorgen voor het behoud van MKB-bedrijven op het platteland en houden daarmee werkgelegenheid, leefbaarheid en een gezonde economie in stand.

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,40000,44999,200,299,https://www.facebook.com/ads/library/?id=513580383381489
488772358799125,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Ad Baltus uit Zuidschermer staat op nummer 8 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Ad belangrijk voor het platteland:
🍀   De bouw van data centers en grote zonneparken op agrarische grond, waarbij veel subsidie verdwijnt naar multinationals, moet direct stoppen!

🍀   Eerlijke regelgeving voor agrarische sector: meten=weten en bij nieuwe extra regelgeving moet het op zijn minste financieel neutraal zijn voor de agrariërs.

🍀   Goede voorzieningen op het platteland voor de bewoners . Goed openbaar vervoer, woningen bouwen voor jongeren en starters, steun voor buurtwinkel, buurthuis enz.

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,50000,59999,200,299,https://www.facebook.com/ads/library/?id=488772358799125
1357217154677213,338750440106782,BBB Boerburgerbeweging,"𝗕𝗕𝗕 𝘇𝗲𝘁 𝗵𝗲𝘁 𝗽𝗹𝗮𝘁𝘁𝗲𝗹𝗮𝗻𝗱 𝗼𝗽 𝟭, 𝟮 𝗲𝗻 𝟯
Wij zijn de stem van én voor het platteland. Niet alleen in campagnetijd, maar ALTIJD. De leefbaarheid van ons prachtige platteland met zijn boerennatuur, koeien in de wei, bossen en dorpen is in gevaar. De huidige politiek ruilt groen in moordend tempo in voor grijs. Distributiecentra, datacenters, mega-zonneparken, mega-windparken in zee en op IJsselmeer. Het platteland wordt ervoor opgeofferd. 
𝗠𝗲𝘁 𝗱𝗲 𝘃𝗲𝗿𝗸𝗶𝗲𝘇𝗶𝗻𝗴𝗲𝗻 𝗵𝗲𝗲𝗳𝘁 𝘂 𝗱𝗲 𝗸𝗲𝘂𝘇𝗲. 𝗚𝗿𝗼𝗲𝗻 𝗼𝗳 𝗴𝗿𝗶𝗷𝘀? 𝗨 𝗺𝗮𝗴 𝗵𝗲𝘁 𝘇𝗲𝗴𝗴𝗲𝗻 𝗼𝗽 𝟭𝟱, 𝟭𝟲 𝗲𝗻 𝟭𝟳 𝗺𝗮𝗮𝗿𝘁. 𝗢𝗽 𝟭𝟴 𝗺𝗮𝗮𝗿𝘁 𝗶𝘀 𝗵𝗲𝘁 𝘁𝗲 𝗹𝗮𝗮𝘁…

Arno Vael uit Zaamslag staat op nummer 17 van 𝗟𝗜𝗝𝗦𝗧 𝟮𝟯 - 𝗕𝗕𝗕

Dit vindt Arno belangrijk voor het platteland:
🍀   Goede bereikbaarheid van Zeeland, daarbij hoort een tolvrije Westerschelde tunnel bij.
🍀   Geen wisselpolders maken zodat vruchtbare landbouwgrond verdwijnt en bovenal door meer zout water binnen te laten de hele provincie verzilt met extra verdroging als gevolg. We moeten zorgen dat we het schaarse zoet water wat in de bovenlagen nog aanwezig is niet verkwanselen.
🍀   Er moet extra geld komen voor de zorg, er zijn te weinig handen aan het bed en er moet meer aandacht komen voor de woonvoorzieningen van senioren die nu heel lang moeten wachten op geschikte woonruimte met aanvullende zorg faciliteiten.
🍀   Veel meer geld voor instandhouding van culturele activiteiten zoals bv muziek school, orkesten in stand houden van bibliotheken, theaters enz. het is van de zotte dat meer dan 50% van het budget voor cultuur naar een stad als Amsterdam gaat en dat er maar 8% beschikbaar is voor het hele zuiden!!!!

Bekijk ons verkiezingsprogramma en alle kandidaten op: https://boerburgerbeweging.nl/",,,,2021-03-14,2021-03-17,2021-03-13,BoerBurgerBeweging,40000,44999,200,299,https://www.facebook.com/ads/library/?id=1357217154677213
