ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
452369106076934,717249231795539,BIJ1,Stem op de enige partij die racisme aanpakt. Stem vandaag op BIJ1.,bij1.org,,,2021-03-17,2021-03-17,2021-03-17,BIJ1,10000,14999,0,99,https://www.facebook.com/ads/library/?id=452369106076934
434080534526798,717249231795539,BIJ1,Stem op de enige partij die racisme aanpakt. Stem vandaag op BIJ1.,bij1.org,,,2021-03-17,2021-03-17,2021-03-16,BIJ1,5000,5999,0,99,https://www.facebook.com/ads/library/?id=434080534526798
469008384231829,717249231795539,BIJ1,{{product.brand}},bij1.org,{{product.description}},{{product.name}},2021-03-17,2021-03-17,2021-03-16,BIJ1,1000,1999,0,99,https://www.facebook.com/ads/library/?id=469008384231829
514936626157269,717249231795539,BIJ1,{{product.brand}},bij1.org,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-16,BIJ1,25000,29999,100,199,https://www.facebook.com/ads/library/?id=514936626157269
185717696425894,717249231795539,BIJ1,{{product.brand}},bij1.org,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-16,BIJ1,9000,9999,0,99,https://www.facebook.com/ads/library/?id=185717696425894
464840114962419,717249231795539,BIJ1,"Het is tijd om racisme serieus aan te pakken. Stem 15, 16 of 17 maart BIJ1.",bij1.org,,BIJ1,2021-03-16,2021-03-17,2021-03-15,BIJ1,2000,2999,0,99,https://www.facebook.com/ads/library/?id=464840114962419
160472442564372,717249231795539,BIJ1,"Stop het racisme van deze overheid. Stem 15, 16 of 17 maart BIJ1!",bij1.org,,BIJ1,2021-03-16,2021-03-17,2021-03-15,BIJ1,0,999,0,99,https://www.facebook.com/ads/library/?id=160472442564372
493921641767028,717249231795539,BIJ1,"Het is tijd om racisme serieus aan te pakken. Stem 15, 16 of 17 maart BIJ1.",bij1.org,,BIJ1,2021-03-16,2021-03-17,2021-03-15,BIJ1,0,999,0,99,https://www.facebook.com/ads/library/?id=493921641767028
439208983993340,717249231795539,BIJ1,"Het is tijd om racisme serieus aan te pakken. Stem 15, 16 of 17 maart BIJ1.",bij1.org,,BIJ1,2021-03-16,2021-03-17,2021-03-15,BIJ1,40000,44999,100,199,https://www.facebook.com/ads/library/?id=439208983993340
197420235514055,717249231795539,BIJ1,"Stop het racisme van deze overheid. Stem 15, 16 of 17 maart BIJ1!",bij1.org,,BIJ1,2021-03-16,2021-03-17,2021-03-15,BIJ1,1000,1999,0,99,https://www.facebook.com/ads/library/?id=197420235514055
