ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
154131443226094,211661062254003,ChristenUnie,"Kandidaten en leden van de ChristenUnie planten de komende dagen 1000 bomen! 🌳 We redden de bomen daarmee van vernietiging én dragen bij aan een mooier en groener Nederland.
 
Afgelopen zaterdag hebben Gert-Jan Segers en Carola Schouten de aftrap gegeven voor deze actie. Gert-Jan Segers: “Afgelopen zaterdag plantten wij een jonge boom als een investering in de leefwereld van onze kinderen. Als een teken van hoop. Deze boom gaat bijdragen aan biodiversiteit, schone lucht en zo ook aan onze gezondheid en die van de volgende generatie.”
 
#PlantenVoorDeToekomst",,,Bomenactie,2021-03-15,2021-03-17,2021-03-15,ChristenUnie,20000,24999,300,399,https://www.facebook.com/ads/library/?id=154131443226094
1410327685971115,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,20000,24999,100,199,https://www.facebook.com/ads/library/?id=1410327685971115
2765142603799942,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,50000,59999,200,299,https://www.facebook.com/ads/library/?id=2765142603799942
198181358307820,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,10000,14999,0,99,https://www.facebook.com/ads/library/?id=198181358307820
2953922728161087,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,45000,49999,200,299,https://www.facebook.com/ads/library/?id=2953922728161087
198543115367901,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,3000,3999,0,99,https://www.facebook.com/ads/library/?id=198543115367901
1515372825321500,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,1000,1999,0,99,https://www.facebook.com/ads/library/?id=1515372825321500
253739656468962,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,20000,24999,100,199,https://www.facebook.com/ads/library/?id=253739656468962
281267926843204,211661062254003,ChristenUnie,{{product.brand}},christenunie.nl,{{product.description}},{{product.name}},2021-03-16,2021-03-17,2021-03-15,ChristenUnie,20000,24999,100,199,https://www.facebook.com/ads/library/?id=281267926843204
3004275589856674,211661062254003,ChristenUnie,"𝗭𝗼 𝗺𝗶𝗻 𝗺𝗼𝗴𝗲𝗹𝗶𝗷𝗸 𝗮𝗯𝗼𝗿𝘁𝘂𝘀𝘀𝗲𝗻 𝗱𝗼𝗼𝗿 𝗴𝗼𝗲𝗱𝗲 𝘇𝗼𝗿𝗴

Gert-Jan Segers en Mirjam Bikker: Afgelopen weken werd weer duidelijk hoe gepolariseerd de discussie over abortus is. Maar christenen mogen zich daardoor niet laten gijzelen. Juist dan moeten we omzien naar wat kwetsbaar is: ongeboren leven maar zéker ook naar onbedoeld zwangere vrouwen.

Hoe groot de polarisatie rond medische ethiek is ,  bleek wel toen VVD-Kamerlid Ockje Tellegen tegen het RD liet weten liever niet met de ChristenUnie verder te willen in een coalitie – „dat leidt tot stilstand” (16-2).

Met haar partij is ze onderdeel van een brede paarse coalitie van Forum voor Democratie tot GroenLinks en de PvdA die de beraadtermijn van vijf dagen bij een abortus wil schrappen. D66 werkt aan een voorstel met hetzelfde doel.

De polarisatie is pijnlijk, juist omdat dit onderwerp zo kwetsbaar en emotioneel is. Wie door die polarisatie nog het minst geholpen is, is de vrouw in een noodsituatie die abortus overweegt.

Met Schreeuw om Leven, de NPV en de SGP pleiten we ervoor om de bedenktijd te behouden. We streven naar zo min mogelijk abortussen en de beraadtermijn kan voorkomen dat een vrouw een onomkeerbaar besluit neemt waar ze later spijt van krijgt. Het is niet uitzonderlijk dat hiermee leed wordt voorkomen voor zowel de vrouw als het prille leven dat zij bij zich draagt.

𝗦𝘁𝗮𝗿𝘁𝗽𝘂𝗻𝘁
Als we dat zeggen – dat we streven naar zo min mogelijk abortussen – dan is dat echter nooit een eindpunt, maar juist het startpunt. Het is een illusie te denken dat we de paarse coalitie kunnen naderen als het gaat om abortus zelf. Maar daarin berusten, past ons niet en hoeft ook niet. Want wie erkent dat abortus per definitie een ingrijpende beslissing is voor de vrouw om wie het gaat, zou het met ons eens moeten zijn dat het voorkomen van die beslissing, winst is.

𝗕𝗲𝘁𝗲𝗿𝗲 𝗵𝘂𝗹𝗽
En dus is de oproep aan ons allemaal om de ogen niet te sluiten voor de situatie waar zij in verkeert, maar te komen met voorstellen die leiden tot betere hulp en betere zorg. Die handschoen pakken wij graag op. Niet omdat we blij zijn met het bestaan van abortus als zodanig, maar omdat ieder leven telt. Én omdat ook een onbedoeld zwangere vrouw meer heeft aan concrete hulp dan aan voortdurende polarisatie. Dáárom doen wij de volgende voorstellen.

1. De overheid moet uitspreken dat een gebrek aan geld of woonruimte nooit de dwingende reden kan zijn om te kiezen voor een abortus. Wie een kind verwacht en zou willen behouden als er meer financiële armslag of een passende woning zou zijn, moet daarin worden voorzien. In een rijk land als het onze kan een leven niet verloren gaan om de enkele reden dat we de moeder in de kou laten staan.

2. Het voorkomen van een ongewenste zwangerschap is de effectiefste manier om een abortus te voorkomen. Voor sommige vrouwen is de financiële drempel voor het verkrijgen van de anticonceptiepil een belemmering waarna ze bij een ongewenste zwangerschap voor een abortus kiezen. Die financiële drempel willen we wegnemen. Dat voorstel doen we niet lichtvaardig, maar tegen de achtergrond van de meer dan 30.000 abortussen die jaarlijks plaatsvinden in Nederland, weegt het argument van het voorkomen van abortussen zwaarder dan het argument van eigen verantwoordelijkheid.

3. Een groot deel van de abortussen in Nederland zijn herhaalde abortussen. En dus moet de nazorg na een abortus beter. Als een vrouw al eens het dramatische besluit tot een abortus neemt, laat het dan bij één keer blijven. Huisartsen kunnen hierbij een centrale rol spelen.

4. De beraadtermijn voor een abortus willen we, zoals gezegd, niet afschaffen, maar wel verbeteren. Nu wordt ‘bedenktijd’ vaak als ‘wachttijd’ ervaren. Begeleiding en voorlichting over alternatieven moeten in deze cruciale dagen vanzelfsprekend zijn.

De storm die afgelopen weekend woedde, ging om abortus in het geval van verkrachting. Een kwetsbare situatie, waarin we ook als christenen als eerste moeten zeggen dat de lichamelijke veiligheid van vrouwen ons aan het hart gaat en we pal staan voor goede en snelle hulp na elke vorm van seksueel geweld.

Veel vaker zijn de omstandigheden die leiden tot een abortus veel alledaagser en beter oplosbaar. Maar absoluut autonoom is het zelden. Dat wil er bij de paarse partijen maar moeilijk in. Toch zijn praktische omstandigheden, druk van buitenaf, geen beschikking over voorbehoedsmiddelen veelgenoemde redenen. Problemen die je niet oplost met het schrappen van een beraadtermijn.

We zullen de fundamentele discussie met deze partijen waarschijnlijk altijd blijven voeren. Maar het mag ons er niet van weerhouden om de vrouwen om wie het gaat te helpen. We moeten blijven zoeken naar een weg om goede zorg te verlenen aan moeder en kind, om zo abortussen en herhaalde abortussen te voorkomen.

Wij hopen dat we die weg na 17 maart verder kunnen inslaan. Dat ons land een plek wordt van voluit goede zorg voor mensen in kwetsbare situaties, hulp aan vrouwen, bescherming van het ongeboren leven. Dat is wat echt telt. 

𝘋𝘪𝘵 𝘰𝘱𝘪𝘯𝘪𝘦 𝘷𝘦𝘳𝘩𝘢𝘢𝘭 𝘷𝘦𝘳𝘴𝘤𝘩𝘦𝘦𝘯 𝘪𝘯 𝘩𝘦𝘵 𝘙𝘦𝘧𝘰𝘳𝘮𝘢𝘵𝘰𝘳𝘪𝘴𝘤𝘩 𝘋𝘢𝘨𝘣𝘭𝘢𝘥 𝘷𝘢𝘯 𝘸𝘰𝘦𝘯𝘴𝘥𝘢𝘨 10 𝘮𝘢𝘢𝘳𝘵 2021

https://www.christenunie.nl/blog/2021/03/11/Zo-min-mogelijk-abortussen-door-goede-zorg",,,,2021-03-15,2021-03-16,2021-03-15,ChristenUnie,60000,69999,700,799,https://www.facebook.com/ads/library/?id=3004275589856674
