ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
476887336679421,52985377549,D66,"Er staat deze dagen veel op het spel voor Nederland. Het gaat er om wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen met Mark Rutte? ⁠
⁠
Het is nu of nooit. Stem voor nieuw leiderschap. Mogen we op je stem rekenen? #StemD66",,,,2021-03-17,2021-03-17,2021-03-16,D66,10000,14999,0,99,https://www.facebook.com/ads/library/?id=476887336679421
1082744162225260,52985377549,D66,"Er staat deze dagen veel op het spel voor Nederland. Het gaat er om wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen met Mark Rutte? ⁠
⁠
Het is nu of nooit. Stem voor nieuw leiderschap. Mogen we op je stem rekenen? #StemD66",,,,2021-03-17,2021-03-17,2021-03-16,D66,4000,4999,0,99,https://www.facebook.com/ads/library/?id=1082744162225260
3007967006152381,52985377549,D66,"We stijgen opnieuw flink in de peilingen! 🔥🔥🔥

Het is nu of nooit. Stem voor nieuw leiderschap. #hupkaag #stemD66",,,,2021-03-16,2021-03-17,2021-03-16,D66,30000,34999,100,199,https://www.facebook.com/ads/library/?id=3007967006152381
770761966903238,52985377549,D66,"We stijgen opnieuw flink in de peilingen! 🔥🔥🔥

Het is nu of nooit. Stem voor nieuw leiderschap. #hupkaag #stemD66",,,,2021-03-16,2021-03-17,2021-03-16,D66,10000,14999,0,99,https://www.facebook.com/ads/library/?id=770761966903238
546031483047743,52985377549,D66,"We stijgen opnieuw flink in de peilingen! 🔥🔥🔥

Het is nu of nooit. Stem voor nieuw leiderschap. #hupkaag #stemD66",,,,2021-03-16,2021-03-17,2021-03-15,D66,10000,14999,100,199,https://www.facebook.com/ads/library/?id=546031483047743
137882748239442,52985377549,D66,"We stijgen opnieuw flink in de peilingen! 🔥🔥🔥

Het is nu of nooit. Stem voor nieuw leiderschap. #hupkaag #stemD66",,,,2021-03-16,2021-03-17,2021-03-15,D66,20000,24999,200,299,https://www.facebook.com/ads/library/?id=137882748239442
169621678310632,52985377549,D66,Het gaat erom wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen? Het is nu of nooit. Stem D66.,d66.nl,Stem voor nieuw leiderschap.,D66 — Dit staat er op het spel.,2021-03-15,2021-03-17,2021-03-15,D66,15000,19999,300,399,https://www.facebook.com/ads/library/?id=169621678310632
455966192196526,52985377549,D66,Het gaat erom wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen? Het is nu of nooit. Stem D66.,d66.nl,Stem voor nieuw leiderschap.,D66 — Dit staat er op het spel.,2021-03-15,2021-03-17,2021-03-15,D66,10000,14999,300,399,https://www.facebook.com/ads/library/?id=455966192196526
283998156579687,52985377549,D66,Het gaat erom wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen? Het is nu of nooit. Stem D66.,d66.nl,Stem voor nieuw leiderschap.,D66 — Dit staat er op het spel.,2021-03-15,2021-03-17,2021-03-15,D66,9000,9999,200,299,https://www.facebook.com/ads/library/?id=283998156579687
450457319516397,52985377549,D66,Het gaat erom wie de sleutel in handen krijgt. Kies je voor het nieuwe leiderschap van Sigrid Kaag of blijven we doorpruttelen? Het is nu of nooit. Stem D66.,d66.nl,Stem voor nieuw leiderschap.,D66 — Dit staat er op het spel.,2021-03-15,2021-03-17,2021-03-15,D66,8000,8999,100,199,https://www.facebook.com/ads/library/?id=450457319516397
121068479950906,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,9000,9999,0,99,https://www.facebook.com/ads/library/?id=121068479950906
136626275022784,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,45000,49999,100,199,https://www.facebook.com/ads/library/?id=136626275022784
138359501505272,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,20000,24999,0,99,https://www.facebook.com/ads/library/?id=138359501505272
138801484802942,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,150000,174999,800,899,https://www.facebook.com/ads/library/?id=138801484802942
141454571107047,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,1000,1999,0,99,https://www.facebook.com/ads/library/?id=141454571107047
155779599701701,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,15000,19999,0,99,https://www.facebook.com/ads/library/?id=155779599701701
164486922158262,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-15,2021-03-08,D66,10000,14999,100,199,https://www.facebook.com/ads/library/?id=164486922158262
228980722259514,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,8000,8999,0,99,https://www.facebook.com/ads/library/?id=228980722259514
245204277314003,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,15000,19999,0,99,https://www.facebook.com/ads/library/?id=245204277314003
248441513653999,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,2000,2999,0,99,https://www.facebook.com/ads/library/?id=248441513653999
255213892817021,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,9000,9999,0,99,https://www.facebook.com/ads/library/?id=255213892817021
257168269281456,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-04-02,2021-03-08,D66,175000,199999,500,599,https://www.facebook.com/ads/library/?id=257168269281456
264960855210671,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,1000,1999,0,99,https://www.facebook.com/ads/library/?id=264960855210671
269788254556312,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,30000,34999,100,199,https://www.facebook.com/ads/library/?id=269788254556312
277667033891284,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,125000,149999,600,699,https://www.facebook.com/ads/library/?id=277667033891284
284084496455945,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,15000,19999,200,299,https://www.facebook.com/ads/library/?id=284084496455945
291942165611014,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,0,999,0,99,https://www.facebook.com/ads/library/?id=291942165611014
293406152206018,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,0,999,0,99,https://www.facebook.com/ads/library/?id=293406152206018
347597453172490,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,20000,24999,0,99,https://www.facebook.com/ads/library/?id=347597453172490
428815161539628,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,10000,14999,0,99,https://www.facebook.com/ads/library/?id=428815161539628
435727754176172,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,0,999,0,99,https://www.facebook.com/ads/library/?id=435727754176172
441955773684404,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,4000,4999,0,99,https://www.facebook.com/ads/library/?id=441955773684404
442934266951543,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,125000,149999,500,599,https://www.facebook.com/ads/library/?id=442934266951543
444177333481917,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,1000,1999,0,99,https://www.facebook.com/ads/library/?id=444177333481917
461544468521032,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,6000,6999,100,199,https://www.facebook.com/ads/library/?id=461544468521032
463716928318255,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,175000,199999,600,699,https://www.facebook.com/ads/library/?id=463716928318255
464001924798618,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-16,2021-03-08,D66,35000,39999,100,199,https://www.facebook.com/ads/library/?id=464001924798618
466774711171410,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-04-03,2021-03-08,D66,10000,14999,0,99,https://www.facebook.com/ads/library/?id=466774711171410
467039474484235,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,175000,199999,500,599,https://www.facebook.com/ads/library/?id=467039474484235
474501643721216,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,500000,599999,1500,1999,https://www.facebook.com/ads/library/?id=474501643721216
478810306632318,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,30000,34999,100,199,https://www.facebook.com/ads/library/?id=478810306632318
480393102970482,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-16,2021-03-08,D66,25000,29999,0,99,https://www.facebook.com/ads/library/?id=480393102970482
485864165906757,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,7000,7999,0,99,https://www.facebook.com/ads/library/?id=485864165906757
496046484887882,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-16,2021-03-08,D66,15000,19999,0,99,https://www.facebook.com/ads/library/?id=496046484887882
573520516895165,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,125000,149999,600,699,https://www.facebook.com/ads/library/?id=573520516895165
715982465735201,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,600000,699999,3000,3499,https://www.facebook.com/ads/library/?id=715982465735201
726142254761136,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,9000,9999,100,199,https://www.facebook.com/ads/library/?id=726142254761136
728647584516187,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,25000,29999,100,199,https://www.facebook.com/ads/library/?id=728647584516187
744875569493796,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,60000,69999,200,299,https://www.facebook.com/ads/library/?id=744875569493796
776681642951554,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,125000,149999,600,699,https://www.facebook.com/ads/library/?id=776681642951554
777731979830785,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,8000,8999,100,199,https://www.facebook.com/ads/library/?id=777731979830785
793141897959216,52985377549,D66,{{product.brand}},d66.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-08,D66,100000,124999,1500,1999,https://www.facebook.com/ads/library/?id=793141897959216
