ad_id,age,gender,percentage
147081627206136,55-64,male,0.042471
147081627206136,35-44,male,0.432432
147081627206136,45-54,male,0.525097
153246403232759,35-44,male,0.141343
153246403232759,35-44,unknown,0.007067
153246403232759,45-54,male,0.109541
153246403232759,45-54,female,0.353357
153246403232759,35-44,female,0.349823
153246403232759,55-64,female,0.024735
153246403232759,45-54,unknown,0.010601
153246403232759,55-64,unknown,0.003534
512274713499229,35-44,female,0.49818
512274713499229,45-54,female,0.476156
512274713499229,13-17,unknown,0.000546
512274713499229,55-64,female,0.022206
512274713499229,Unknown,unknown,0.002912
4167547383279404,55-64,male,0.026756
4167547383279404,45-54,male,0.401338
4167547383279404,35-44,male,0.567447
4167547383279404,Unknown,unknown,0.004459
158542319348611,45-54,female,0.469091
158542319348611,35-44,female,0.494545
158542319348611,55-64,female,0.036364
977039189502139,45-54,male,0.454679
977039189502139,35-44,male,0.515696
977039189502139,13-17,unknown,0.000147
977039189502139,Unknown,unknown,0.002211
977039189502139,55-64,male,0.027266
265080501889039,45-54,female,0.426396
265080501889039,55-64,female,0.021997
265080501889039,35-44,female,0.548599
265080501889039,Unknown,unknown,0.002444
265080501889039,13-17,unknown,0.000564
339427980839847,45-54,female,0.566156
339427980839847,35-44,female,0.377499
339427980839847,55-64,female,0.056344
348199689836176,55-64,male,0.053384
348199689836176,35-44,male,0.422533
348199689836176,45-54,male,0.524083
482682796239481,55-64,female,0.052348
482682796239481,35-44,female,0.395364
482682796239481,45-54,female,0.552288
168612594981951,45-54,unknown,0.005223
168612594981951,35-44,female,0.198379
168612594981951,35-44,unknown,0.005264
168612594981951,55-64,male,0.029205
168612594981951,45-54,male,0.248726
168612594981951,35-44,male,0.197334
168612594981951,45-54,female,0.278599
168612594981951,55-64,female,0.036684
168612594981951,55-64,unknown,0.000585
251327113294634,45-54,female,0.524785
251327113294634,55-64,female,0.051039
251327113294634,35-44,female,0.424176
959336404834649,55-64,male,0.060029
959336404834649,45-54,male,0.551636
959336404834649,35-44,male,0.388334
268986128237978,45-54,male,0.528208
268986128237978,35-44,male,0.418599
268986128237978,55-64,male,0.053193
270844514614259,18-24,female,0.308242
270844514614259,25-34,female,0.225822
270844514614259,18-24,male,0.28728
270844514614259,25-34,male,0.165317
270844514614259,18-24,unknown,0.002859
270844514614259,35-44,female,0.005241
270844514614259,35-44,male,0.000953
270844514614259,25-34,unknown,0.003811
270844514614259,Unknown,unknown,0.000476
462830734868834,35-44,female,0.023305
462830734868834,18-24,female,0.307203
462830734868834,25-34,female,0.669492
884143815773332,25-34,male,0.507519
884143815773332,18-24,male,0.488722
884143815773332,35-44,male,0.003759
899963810794973,25-34,male,0.44731
899963810794973,18-24,male,0.540676
899963810794973,Unknown,unknown,0.002024
899963810794973,35-44,male,0.009467
899963810794973,13-17,unknown,0.000522
918496832336938,25-34,female,0.474012
918496832336938,18-24,female,0.514207
918496832336938,35-44,female,0.009009
918496832336938,Unknown,unknown,0.002079
918496832336938,13-17,unknown,0.000693
280423150320002,35-44,male,0.005714
280423150320002,18-24,male,0.495853
280423150320002,25-34,male,0.49659
280423150320002,Unknown,unknown,0.001843
828647294665957,18-24,female,0.480969
828647294665957,25-34,female,0.506546
828647294665957,35-44,female,0.010443
828647294665957,Unknown,unknown,0.001513
828647294665957,13-17,unknown,0.00053
349047499753770,35-44,female,0.05799
