ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
509081253417169,1550088745275913,DENK,,,,,2021-03-16,2021-03-17,2021-03-16,DENK,10000,14999,100,199,https://www.facebook.com/ads/library/?id=509081253417169
848011732412101,1550088745275913,DENK,"Laat je stem niet verloren gaan!
Stem DENK op 15, 16 en 17 maart.",www.bewegingdenk.nl,"15, 16 of 17 maart 2021",STEM DENK,2021-03-17,2021-03-17,2021-03-16,DENK,15000,19999,100,199,https://www.facebook.com/ads/library/?id=848011732412101
911017753024370,1550088745275913,DENK,"Laat je stem niet verloren gaan!
Stem DENK op 15, 16 en 17 maart.",www.bewegingdenk.nl,"15, 16 of 17 maart 2021",STEM DENK,2021-03-17,2021-03-17,2021-03-16,DENK,15000,19999,100,199,https://www.facebook.com/ads/library/?id=911017753024370
1363521907373831,1550088745275913,DENK,"Laat je stem niet verloren gaan!
Stem DENK op 15, 16 en 17 maart.",www.bewegingdenk.nl,"15, 16 of 17 maart 2021",STEM DENK,2021-03-17,2021-03-17,2021-03-16,DENK,20000,24999,100,199,https://www.facebook.com/ads/library/?id=1363521907373831
337411554462323,1550088745275913,DENK,"Laat je stem niet verloren gaan!
Stem DENK op 15, 16 en 17 maart.",www.bewegingdenk.nl,"15, 16 of 17 maart 2021",STEM DENK,2021-03-17,2021-03-17,2021-03-16,DENK,10000,14999,0,99,https://www.facebook.com/ads/library/?id=337411554462323
3745595068869624,1550088745275913,DENK,"Laat je stem niet verloren gaan!
Stem DENK op 15, 16 en 17 maart.",www.bewegingdenk.nl,"15, 16 of 17 maart 2021",STEM DENK,2021-03-17,2021-03-17,2021-03-16,DENK,15000,19999,100,199,https://www.facebook.com/ads/library/?id=3745595068869624
245957920571467,1550088745275913,DENK,{{product.brand}},bewegingdenk.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-14,DENK,40000,44999,100,199,https://www.facebook.com/ads/library/?id=245957920571467
501891161187938,1550088745275913,DENK,{{product.brand}},bewegingdenk.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-14,DENK,125000,149999,500,599,https://www.facebook.com/ads/library/?id=501891161187938
437422940917838,1550088745275913,DENK,{{product.brand}},bewegingdenk.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-14,DENK,90000,99999,300,399,https://www.facebook.com/ads/library/?id=437422940917838
552612708979346,1550088745275913,DENK,{{product.brand}},bewegingdenk.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-14,DENK,45000,49999,100,199,https://www.facebook.com/ads/library/?id=552612708979346
165825222023648,1550088745275913,DENK,{{product.brand}},bewegingdenk.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-14,DENK,90000,99999,400,499,https://www.facebook.com/ads/library/?id=165825222023648
1033079707098259,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,6000,6999,0,99,https://www.facebook.com/ads/library/?id=1033079707098259
522299095838639,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,8000,8999,0,99,https://www.facebook.com/ads/library/?id=522299095838639
289792706099339,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,0,999,0,99,https://www.facebook.com/ads/library/?id=289792706099339
283767719762798,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,5000,5999,0,99,https://www.facebook.com/ads/library/?id=283767719762798
437451470890923,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,5000,5999,0,99,https://www.facebook.com/ads/library/?id=437451470890923
2907472269572957,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,9000,9999,0,99,https://www.facebook.com/ads/library/?id=2907472269572957
167781191731502,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK op 17 maart,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,6000,6999,0,99,https://www.facebook.com/ads/library/?id=167781191731502
1120538941742985,1550088745275913,DENK,"Het persoonlijke verhaal van Tunahan Kuzu. DENK heeft het beste voor met Nederland. Wij willen een Nederland waar iedereen zich thuis kan voelen.
#DENKanders #StemDENK op 15,16 of 17 maart",www.bewegingdenk.nl,Stem DENK op 17 maart,"Stem DENK op 15, 16 en 17 maart",2021-03-15,2021-03-16,2021-03-14,DENK,5000,5999,0,99,https://www.facebook.com/ads/library/?id=1120538941742985
