ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
910442436374266,609816282477420,Forum voor Democratie -FVD,Wow UTRECHT ♥️ Overal waar we komen is het enthousiasme overdonderend - en dat komt omdat Nederland uit de lockdown wil. 17 maart is een referendum over de vrijheid. Stem FVD!,,,Stem je vrijheid terug!,2021-03-16,2021-03-16,2021-03-15,Forum voor Democratie -FVD,150000,174999,1500,1999,https://www.facebook.com/ads/library/?id=910442436374266
549798549758635,609816282477420,Forum voor Democratie -FVD,Alleen FVD wil nu uit de lockdown. Stem Nederland vrij. Stem 17 maart FVD!,,,,2021-03-16,2021-03-17,2021-03-15,Forum voor Democratie -FVD,250000,299999,3500,3999,https://www.facebook.com/ads/library/?id=549798549758635
201838451736387,609816282477420,Forum voor Democratie -FVD,Nog nooit stond er zoveel op het spel. Uw stem kan de doorslag geven. Stem Forum voor Democratie!,,,,2021-03-15,2021-03-17,2021-03-15,Forum voor Democratie -FVD,300000,349999,5000,5999,https://www.facebook.com/ads/library/?id=201838451736387
2876294109252931,609816282477420,Forum voor Democratie -FVD,Uw stem is nodig om Nederland van het slot te halen. Ga stemmen. Stem FVD op 17 maart!,fvd.nl,"1. Geen lockdowns meer, Nederland weer vrij. 2. Streng en rechtvaardig immigratiebeleid. 3. Geen geld meer naar Zuid-Europa.",Drie redenen waarom je op FVD moet stemmen | Stem Forum voor Democratie,2021-03-15,2021-03-17,2021-03-15,Forum voor Democratie -FVD,300000,349999,6000,6999,https://www.facebook.com/ads/library/?id=2876294109252931
342441267200932,609816282477420,Forum voor Democratie -FVD,Alleen FVD wil nu uit de lockdown. Uw stem is hard nodig. Stem FVD op 17 maart.,,,,2021-03-15,2021-03-16,2021-03-15,Forum voor Democratie -FVD,400000,449999,3000,3499,https://www.facebook.com/ads/library/?id=342441267200932
108587361206601,609816282477420,Forum voor Democratie -FVD,Uw stem is nodig om Nederland van het slot te halen. Ga stemmen. Stem FVD op 17 maart!,fvd.nl,"1. Geen lockdowns meer, Nederland weer vrij. 2. Streng en rechtvaardig immigratiebeleid. 3. Geen geld meer naar Zuid-Europa.",Drie redenen waarom je op FVD moet stemmen | Stem Forum voor Democratie,2021-03-15,2021-03-17,2021-03-15,Forum voor Democratie -FVD,600000,699999,10000,14999,https://www.facebook.com/ads/library/?id=108587361206601
276521587335683,609816282477420,Forum voor Democratie -FVD,Nog nooit stond er zoveel op het spel. Uw stem kan de doorslag geven. Stem Forum voor Democratie!,,,,2021-03-15,2021-03-17,2021-03-15,Forum voor Democratie -FVD,600000,699999,10000,14999,https://www.facebook.com/ads/library/?id=276521587335683
494454554895850,609816282477420,Forum voor Democratie -FVD,"Thierry Baudet ontkracht bij Fajah Lourens het absurde verwijt van ""seksisme"" dat hij al jarenlang te horen krijgt. Dit is hoe het écht zit. Iedereen die er met een open blik naar luistert, komt tot de conclusie: dit verwijt is zó onterecht! ⤵️",,,"""Seksisme""? Dit is hoe het echt zit!",2021-03-15,2021-03-16,2021-03-14,Forum voor Democratie -FVD,500000,599999,1500,1999,https://www.facebook.com/ads/library/?id=494454554895850
993853937809758,609816282477420,Forum voor Democratie -FVD,FVD heeft veel overeenkomsten met de PVV. Maar alleen FVD wil nu terug naar normaal. Stem 17 maart FVD!,,,,2021-03-15,2021-03-17,2021-03-14,Forum voor Democratie -FVD,250000,299999,3000,3499,https://www.facebook.com/ads/library/?id=993853937809758
281220680039539,609816282477420,Forum voor Democratie -FVD,"Dit is een beweging. Dit is hoe politieke verandering eruit ziet. Als we het samen doen, als we samen tegen de stroom in gaan en opkomen voor onze vrijheid, dan kan niemand ons op 17 maart stoppen! #StemFVD",,,Op 17 maart kiest Nederland voor verandering,2021-03-15,2021-03-16,2021-03-14,Forum voor Democratie -FVD,125000,149999,400,499,https://www.facebook.com/ads/library/?id=281220680039539
