ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
1620718041466964,175740570505,GroenLinks,"Stem omdat je er recht op hebt. Stem omdat jouw stem het verschil maakt. Voor meer groen, meer delen en meer gelijkwaardigheid. 💚 #StemGroenLinks

#MeerToekomst #MeerStemmen #MeerGroenlinks
.
Nog aan het zweven over je stem? App ons je vragen: 0657525250
.
Voor #MeerToekomst moeten we #MeerStemmen. #StemGroenLinks",groenlinks.nl,,GroenLinks,2021-03-17,2021-03-17,2021-03-16,GroenLinks,10000,14999,200,299,https://www.facebook.com/ads/library/?id=1620718041466964
559051905058474,175740570505,GroenLinks,Stem 17 maart GroenLinks. ❤️💚 #MeerToekomst #MeerGroenLinks,groenlinks.nl,,Meer Toekomst Meer GroenLinks,2021-03-17,2021-03-17,2021-03-16,GroenLinks,5000,5999,0,99,https://www.facebook.com/ads/library/?id=559051905058474
268325581332513,175740570505,GroenLinks,"Dit is je kans om Nederland groener en eerlijker te maken. Stem 15, 16 of 17 maart GroenLinks ❤️️💚 #MeerToekomst #MeerGroenLinks",groenlinks.nl,Ga stemmen,"Dit is je kans, ga stemmen 💚",2021-03-16,2021-03-17,2021-03-16,GroenLinks,125000,149999,1500,1999,https://www.facebook.com/ads/library/?id=268325581332513
207427941160849,175740570505,GroenLinks,"Luid het #Klimaatalarm ook in het stemhokje! Deze Tweede Kamerverkiezingen zijn Klimaatverkiezingen, want het klimaat staat op het stembiljet. Stem voor échte klimaatactie. Stem voor een eerlijk, gelijkwaardig en duurzaam Nederland. #StemGroenLinks 💚💚💚

PS Ben je gezond? Ga dan woensdag 17 maart stemmen. Maandag en dinsdag zijn voor mensen die kwetsbaar zijn, om veilig te stemmen.
#MeerToekomst #MeerGroenLinks #klimaatcrisis #TK2021 #stem #verkiezingen",groenlinks.nl,,,2021-03-16,2021-03-17,2021-03-16,GroenLinks,100000,124999,1000,1499,https://www.facebook.com/ads/library/?id=207427941160849
451131239423074,175740570505,GroenLinks,"Dit is je kans om Nederland groener en eerlijker te maken. Stem 15, 16 of 17 maart GroenLinks ❤️️💚 #MeerToekomst #MeerGroenLinks",groenlinks.nl,Ga stemmen,"Dit is je kans, ga stemmen 💚",2021-03-16,2021-03-17,2021-03-16,GroenLinks,35000,39999,300,399,https://www.facebook.com/ads/library/?id=451131239423074
2868726926678671,175740570505,GroenLinks,"Dit is je kans om Nederland groener en eerlijker te maken. Stem 15, 16 of 17 maart GroenLinks ❤️️💚 #MeerToekomst #MeerGroenLinks",groenlinks.nl,Ga stemmen,"Dit is je kans, ga stemmen 💚",2021-03-16,2021-03-17,2021-03-16,GroenLinks,3000,3999,0,99,https://www.facebook.com/ads/library/?id=2868726926678671
795316487741680,175740570505,GroenLinks,"De verkiezingen gaan over jouw toekomst. Gebruik je stem, zodat we straks niet met de rekening zitten van de klimaatcrisis, de groeiende ongelijkheid en de wooncrisis. #StemGroenLinks op 16 en 17 maart voor een echte klimaataanpak, een eerlijke verdeling van welvaart en betaalbare woningen. 
.
Voor #MeerToekomst moeten we #MeerStemmen. #StemGroenLinks #Verkiezingen #TweedeKamer #stemmen",groenlinks.nl,,GroenLinks,2021-03-16,2021-03-17,2021-03-16,GroenLinks,0,999,0,99,https://www.facebook.com/ads/library/?id=795316487741680
906584103492518,175740570505,GroenLinks,"Stem voor het klimaat! 🌍💚 Wij zijn de eerste generatie die de effecten van klimaatverandering voelen, en de laatste die het nog kunnen stoppen. Samen kunnen wij zorgen voor een groene, inclusieve toekomst, want onze stemmen hebben invloed. Voor #MeerToekomst moeten we #MeerStemmen. #StemGroenLinks
.
Benieuwd naar al onze plannen over het klimaat?
groenlinks.nl/klimaat
.
#verkiezingen #tweedekamer #16maart #17maart #stemmen",groenlinks.nl,,GroenLinks,2021-03-16,2021-03-17,2021-03-16,GroenLinks,0,999,0,99,https://www.facebook.com/ads/library/?id=906584103492518
851329262112254,175740570505,GroenLinks,"De verkiezingen gaan over hoe we willen dat ons land eruit gaat zien de komende 4 jaar. Daar heb jij een stem in. Nederland kan duurzamer en eerlijker. Met meer groene energie en natuur. Meer goede zorg en onderwijs. Voor #MeerToekomst moeten we #MeerStemmen. #StemGroenLinks
.
Twijfel je nog over wat je gaat stemmen? App ons je vragen: 0657525250
.
#verkiezingen #tweedekamer #16maart #17maart #stemmen",groenlinks.nl,,GroenLinks,2021-03-17,2021-03-17,2021-03-16,GroenLinks,5000,5999,100,199,https://www.facebook.com/ads/library/?id=851329262112254
272941877727477,175740570505,GroenLinks,Recept voor impact. 🍰,groenlinks.nl,,Bak een taart. Stem 17 maart.,2021-03-17,2021-03-17,2021-03-16,GroenLinks,125000,149999,900,999,https://www.facebook.com/ads/library/?id=272941877727477
