ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
481551526441611,106020448037192,JA21,"Keer op keer stemt Nederland rechts. Met steeds hetzelfde resultaat: links beleid. JA21 gaat dit veranderen. Wij gaan eindelijk leveren. Minder immigratie, de geldkraan naar Zuid-Europa dicht, waardevaste pensioenen en stoppen met onbetaalbaar klimaatbeleid. U heeft lang genoeg gewacht. Stem daarom op 15, 16 of 17 maart JA21. Welkom thuis!",ja21.nl,,"Welkom thuis, rechtse kiezer! Stem JA21",2021-03-14,2021-03-15,2021-03-14,JA21.nl,10000,14999,0,99,https://www.facebook.com/ads/library/?id=481551526441611
199276255287801,106020448037192,JA21,"Keer op keer stemt Nederland rechts. Met steeds hetzelfde resultaat: links beleid. JA21 gaat dit veranderen. Wij gaan eindelijk leveren. Minder immigratie, de geldkraan naar Zuid-Europa dicht, waardevaste pensioenen en stoppen met onbetaalbaar klimaatbeleid. U heeft lang genoeg gewacht. Stem daarom op 15, 16 of 17 maart JA21. Welkom thuis!",ja21.nl,,"Welkom thuis, rechtse kiezer! Stem JA21",2021-03-14,2021-03-17,2021-03-14,JA21.nl,50000,59999,200,299,https://www.facebook.com/ads/library/?id=199276255287801
781562506113157,106020448037192,JA21,"Morgen openen de eerste stemlokalen. U gaat de koers van Nederland bepalen. Wéér linksom met nog meer immigratie, EU en klimaatmiljarden? Of eindelijk een realistisch rechtse koers met JA21? Wij zijn er klaar voor. U heeft lang genoeg gewacht. 
#StemJA21 #Lijst15 #TK2021",ja21.nl,,Deze verkiezingen zijn cruciaal! Stem JA21!,2021-03-15,2021-03-17,2021-03-14,JA21.nl,0,999,0,99,https://www.facebook.com/ads/library/?id=781562506113157
3356645744436614,106020448037192,JA21,"Wat gaat #JA21 als eerste doen na de verkiezingen? Joost Eerdmans gaat meteen een nieuwe asielwet indienen. De instroom van asielzoekers gaat naar nul, de gelukszoekers gaan weer terug. 
Joost Eerdmans: 'De voordeur gaat dicht, de achterdeur gaat open' #Nieuwsuur",ja21.nl,,"Eerdmans (JA21): De instroom van asielzoekers naar nul, gelukszoekers weer terug",2021-03-15,2021-03-15,2021-03-14,JA21.nl,10000,14999,0,99,https://www.facebook.com/ads/library/?id=3356645744436614
481162749744938,106020448037192,JA21,"Wat gaat #JA21 als eerste doen na de verkiezingen? Joost Eerdmans gaat meteen een nieuwe asielwet indienen. De instroom van asielzoekers gaat naar nul, de gelukszoekers gaan weer terug. 
Joost Eerdmans: 'De voordeur gaat dicht, de achterdeur gaat open' #Nieuwsuur",ja21.nl,,"Eerdmans (JA21): De instroom van asielzoekers naar nul, gelukszoekers weer terug",2021-03-15,2021-03-17,2021-03-14,JA21.nl,100000,124999,500,599,https://www.facebook.com/ads/library/?id=481162749744938
441604937065877,106020448037192,JA21,"Keer op keer stemt Nederland rechts. Met steeds hetzelfde resultaat: links beleid. JA21 gaat dit veranderen. Wij gaan eindelijk leveren. Minder immigratie, de geldkraan naar Zuid-Europa dicht, waardevaste pensioenen en stoppen met onbetaalbaar klimaatbeleid. U heeft lang genoeg gewacht. Stem daarom op 15, 16 of 17 maart JA21. Welkom thuis!",ja21.nl,,"Welkom thuis, rechtse kiezer! Stem JA21",2021-03-14,2021-03-15,2021-03-14,JA21.nl,15000,19999,100,199,https://www.facebook.com/ads/library/?id=441604937065877
192389448977135,106020448037192,JA21,"Keer op keer stemt Nederland rechts. Met steeds hetzelfde resultaat: links beleid. JA21 gaat dit veranderen. Wij gaan eindelijk leveren. Minder immigratie, de geldkraan naar Zuid-Europa dicht, waardevaste pensioenen en stoppen met onbetaalbaar klimaatbeleid. U heeft lang genoeg gewacht. Stem daarom op 15, 16 of 17 maart JA21. Welkom thuis!",ja21.nl,,"Welkom thuis, rechtse kiezer! Stem JA21",2021-03-14,2021-03-17,2021-03-14,JA21.nl,200000,249999,1000,1499,https://www.facebook.com/ads/library/?id=192389448977135
558210698476645,106020448037192,JA21,"Wat gaat #JA21 als eerste doen na de verkiezingen? Joost Eerdmans gaat meteen een nieuwe asielwet indienen. De instroom van asielzoekers gaat naar nul, de gelukszoekers gaan weer terug. 
Joost Eerdmans: 'De voordeur gaat dicht, de achterdeur gaat open' #Nieuwsuur",ja21.nl,,"Eerdmans (JA21): De instroom van asielzoekers naar nul, gelukszoekers weer terug",2021-03-14,2021-03-14,2021-03-13,JA21.nl,15000,19999,0,99,https://www.facebook.com/ads/library/?id=558210698476645
153257323312360,106020448037192,JA21,"Wat gaat #JA21 als eerste doen na de verkiezingen? Joost Eerdmans gaat meteen een nieuwe asielwet indienen. De instroom van asielzoekers gaat naar nul, de gelukszoekers gaan weer terug. 
Joost Eerdmans: 'De voordeur gaat dicht, de achterdeur gaat open' #Nieuwsuur",ja21.nl,,"Eerdmans (JA21): De instroom van asielzoekers naar nul, gelukszoekers weer terug",2021-03-14,2021-03-14,2021-03-13,JA21.nl,50000,59999,0,99,https://www.facebook.com/ads/library/?id=153257323312360
180356977006925,106020448037192,JA21,"Wat gaat #JA21 als eerste doen na de verkiezingen? Joost Eerdmans gaat meteen een nieuwe asielwet indienen. De instroom van asielzoekers gaat naar nul, de gelukszoekers gaan weer terug. 
Joost Eerdmans: 'De voordeur gaat dicht, de achterdeur gaat open' #Nieuwsuur",ja21.nl,,"Eerdmans (JA21): De instroom van asielzoekers naar nul, gelukszoekers weer terug",2021-03-14,2021-03-17,2021-03-13,JA21.nl,300000,349999,1000,1499,https://www.facebook.com/ads/library/?id=180356977006925
