ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
1645848738946260,102287806490622,Partij voor de Dieren,"Zweef jij nog tussen de beloften van partijen? Kijk dan op onze Zweefvliegchecker via de link in bio! 🐝 De beste test is stemgedrag, dus we hebben voor je uitgezocht hoe andere groene en progressieve partijen de afgelopen 4 jaar hebben gestemd over onderwerpen die voor ons belangrijk zijn, en wat de verschillen zijn! 💪

Je hebt deze verkiezingen de kans van je leven om een zo groen mogelijk beleid veilig te stellen. Met een grote en standvastige Partij voor de Dieren in het parlement. Samen kunnen we de historische doorbraak realiseren die nu letterlijk van levensbelang is! 💚

Ken jij zwevende zweefvliegen die nog niet weten wat ze gaan stemmen? Stuur ze de Zweefvliegchecker door!

#TK2021 #PvdD #groenlinks #d66 #sp #pvda",partijvoordedieren.nl,"Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA","De Zweefvliegchecker - Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA - Partij voor de Dieren",2021-03-16,2021-03-17,2021-03-15,Partij voor de Dieren,350000,399999,5000,5999,https://www.facebook.com/ads/library/?id=1645848738946260
467628547758590,102287806490622,Partij voor de Dieren,"We moeten alles op alles zetten om nieuwe pandemieën te voorkomen.  Vol inzetten op een gezonde en duurzame omgang met de natuur. Heel veel minder dieren houden en stoppen met de bio-industrie. Alle seinen op groen zetten voor het klimaat en de planeet 🌍

In deze ""viral"" video laten Steve Cutts en Georgina Verbaan je zien waarom en hoe. 
Volg 17 maart je hart én je verstand en kies partij voor de hele planeet. Het is letterlijk van levensbelang. Kies Partij voor de Dieren 💚

Video gemaakt in opdracht van de Nicolaas G. Pierson Foundation",partijvoordedieren.nl,,Hét stemadvies om nieuwe pandemieën te voorkomen,2021-03-16,2021-03-17,2021-03-15,Partij voor de Dieren,125000,149999,1500,1999,https://www.facebook.com/ads/library/?id=467628547758590
193672722151114,102287806490622,Partij voor de Dieren,"Zweef jij nog tussen de beloften van partijen? Kijk dan op onze Zweefvliegchecker via de link in bio! 🐝 De beste test is stemgedrag, dus we hebben voor je uitgezocht hoe andere groene en progressieve partijen de afgelopen 4 jaar hebben gestemd over onderwerpen die voor ons belangrijk zijn, en wat de verschillen zijn! 💪

Je hebt deze verkiezingen de kans van je leven om een zo groen mogelijk beleid veilig te stellen. Met een grote en standvastige Partij voor de Dieren in het parlement. Samen kunnen we de historische doorbraak realiseren die nu letterlijk van levensbelang is! 💚

Ken jij zwevende zweefvliegen die nog niet weten wat ze gaan stemmen? Stuur ze de Zweefvliegchecker door!

#TK2021 #PvdD #groenlinks #d66 #sp #pvda",partijvoordedieren.nl,"Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA","De Zweefvliegchecker - Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA - Partij voor de Dieren",2021-03-15,2021-03-15,2021-03-15,Partij voor de Dieren,1000,1999,0,99,https://www.facebook.com/ads/library/?id=193672722151114
264813528483525,102287806490622,Partij voor de Dieren,"Zweef jij nog tussen de beloften van partijen? Kijk dan op onze Zweefvliegchecker via de link in bio! 🐝 De beste test is stemgedrag, dus we hebben voor je uitgezocht hoe andere groene en progressieve partijen de afgelopen 4 jaar hebben gestemd over onderwerpen die voor ons belangrijk zijn, en wat de verschillen zijn! 💪

Je hebt deze verkiezingen de kans van je leven om een zo groen mogelijk beleid veilig te stellen. Met een grote en standvastige Partij voor de Dieren in het parlement. Samen kunnen we de historische doorbraak realiseren die nu letterlijk van levensbelang is! 💚

Ken jij zwevende zweefvliegen die nog niet weten wat ze gaan stemmen? Stuur ze de Zweefvliegchecker door!

#TK2021 #PvdD #groenlinks #d66 #sp #pvda",partijvoordedieren.nl,"Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA","De Zweefvliegchecker - Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA - Partij voor de Dieren",2021-03-15,2021-03-17,2021-03-14,Partij voor de Dieren,900000,999999,10000,14999,https://www.facebook.com/ads/library/?id=264813528483525
721555211858375,102287806490622,Partij voor de Dieren,{{product.brand}},,{{product.description}},{{product.name}},2021-03-14,2021-03-17,2021-03-14,Partij voor de Dieren,175000,199999,900,999,https://www.facebook.com/ads/library/?id=721555211858375
477928943350818,102287806490622,Partij voor de Dieren,"‼️ Het is hoog tijd dat de minister-president erkent dat er institutioneel racisme is in Nederland. ‼️

#pvdd #partijvoordedieren #institutioneelracisme #groeiendverzet #planb #toeslagenaffaire",www.partijvoordedieren.nl,,,2021-03-14,2021-03-17,2021-03-14,Partij voor de Dieren,45000,49999,300,399,https://www.facebook.com/ads/library/?id=477928943350818
792939121315727,102287806490622,Partij voor de Dieren,"Nederland doet het heel slecht: we bungelen in Europa onderaan de lijstjes wat betreft duurzame energie en beschermde natuur. 😵🌳

Tijd voor verandering, tijd voor Plan B! 💪💚

@estherouwehandpvdd bij @op1npo gemist? Bekijk het via link in bio. 

#planb #partijvoordedieren #pvdd #groeiendverzet #teamplanet",www.partijvoordedieren.nl,,,2021-03-15,2021-03-17,2021-03-14,Partij voor de Dieren,9000,9999,0,99,https://www.facebook.com/ads/library/?id=792939121315727
913476336167846,102287806490622,Partij voor de Dieren,"We kunnen de jongeren toch niet opzadelen met een enorme schuld? 💰

Wel als het aan de VVD en CDA ligt! 🙄

Go go go @estherouwehandpvdd! 💥

#PlanB #PvdD",www.partijvoordedieren.nl,,,2021-03-15,2021-03-17,2021-03-14,Partij voor de Dieren,80000,89999,600,699,https://www.facebook.com/ads/library/?id=913476336167846
368849627441127,102287806490622,Partij voor de Dieren,"Zweef jij nog tussen de beloften van partijen? Kijk dan op onze Zweefvliegchecker via de link in bio! 🐝 De beste test is stemgedrag, dus we hebben voor je uitgezocht hoe andere groene en progressieve partijen de afgelopen 4 jaar hebben gestemd over onderwerpen die voor ons belangrijk zijn, en wat de verschillen zijn! 💪

Je hebt deze verkiezingen de kans van je leven om een zo groen mogelijk beleid veilig te stellen. Met een grote en standvastige Partij voor de Dieren in het parlement. Samen kunnen we de historische doorbraak realiseren die nu letterlijk van levensbelang is! 💚

Ken jij zwevende zweefvliegen die nog niet weten wat ze gaan stemmen? Stuur ze de Zweefvliegchecker door!

#TK2021 #PvdD #groenlinks #d66 #sp #pvda",partijvoordedieren.nl,"Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA","De Zweefvliegchecker - Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA - Partij voor de Dieren",2021-03-14,2021-03-15,2021-03-14,Partij voor de Dieren,20000,24999,100,199,https://www.facebook.com/ads/library/?id=368849627441127
138185061526854,102287806490622,Partij voor de Dieren,Kies 17 maart partij. Voor de dieren. Voor de planeet. Voor jezelf.,www.partijvoordedieren.nl,,Kies Plan B!,2021-03-13,2021-03-17,2021-03-12,Partij voor de Dieren,50000,59999,700,799,https://www.facebook.com/ads/library/?id=138185061526854
