ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
799912597292562,433611050005553,SGP,"Heb jij een uitzending van 'Aan de praat met de kandidaat' gemist?

Aflevering 1 Kees van der Staaij : https://youtu.be/h-UA49d_MWw
Aflevering 2 Chris Stoffer           : https://youtu.be/cIVN1AiETmI
Aflevering 3 Roelof Bisschop     : https://youtu.be/MJLMHQzikJE
Aflevering 4 André Flach            : https://youtu.be/XA1XSy5i2wY
Aflevering 5 Diederik van Dijk    : https://youtu.be/gTvDJhrEu3A",,,,2021-03-17,2021-03-17,2021-03-16,SGP,0,999,0,99,https://www.facebook.com/ads/library/?id=799912597292562
362209948256232,433611050005553,SGP,Dit gaat over jouw #STEM,www.sgp.nl,,,2021-03-16,2021-03-17,2021-03-16,SGP,10000,14999,100,199,https://www.facebook.com/ads/library/?id=362209948256232
2040296276124837,433611050005553,SGP,"Bekijk deze stemoproep van Hilde van der Wind👇🏻

Samen met de boeren gaan wij voor goud! Stem vandaag en morgen SGP! #InVertrouwen",,,,2021-03-16,2021-03-17,2021-03-16,SGP,15000,19999,0,99,https://www.facebook.com/ads/library/?id=2040296276124837
259200269164602,433611050005553,SGP,"""Inspiratie ontvang ik vanuit het geloof, motivatie vanuit de praktijk""- Kees van der Staaij || Aflevering #1 ""Aan de praat met de kandidaat"".

In de serie ""AAN DE PRAAT MET DE KANDIDAAT"" gaat Erik van Hartingsveldt in gesprek met Kees van der Staaij over wie hij is,
wat hem drijft, maar bovenal gaan we opzoek naar 'wat weten we nog niet?' van misschien wel de meest bekende #SGP'er.

Benieuwd naar dit gesprek, kijk hier de eerste aflevering van ""Aan de praat met de kandidaat"": https://lnkd.in/g5ESFzJ

Aflevering 1: Kees van der Staaij
Aflevering 2: Chris Stoffer
Aflevering 3: Roelof Bisschop
Aflevering 4: André Flach
Aflevering 5: Diederik van Dijk",youtube.com,"De eerste aflevering ""Aan de praat met de kandidaat"" met Kees van der Staaij.In het eendje van Florian gaat Erik op pad om in gesprek te gaan met de top vijf...","""Inspiratie haal ik vanuit het geloof, motivatie vanuit de praktijk""- Kees van der Staaij afl. #1",2021-03-15,2021-03-17,2021-03-15,SGP,4000,4999,0,99,https://www.facebook.com/ads/library/?id=259200269164602
288276042663936,433611050005553,SGP,"""Ik zal je eerlijk zeggen: ik had geen idee hoe dat Kamerwerk in elkaar zat"" - Chris Stoffer || Aflevering #2 ""Aan de praat met de kandidaat"".
In de serie ""AAN DE PRAAT MET DE KANDIDAAT"" gaat Erik van Hartingsveldt in gesprek met Chris Stoffer over wie hij is,
wat hem drijft, maar bovenal gaan we opzoek naar 'wat weten we nog niet?' van deze bekende #SGP'er.
Benieuwd naar dit gesprek, kijk hier de tweede aflevering van ""Aan de praat met de kandidaat"": https://youtu.be/cIVN1AiETmI
Aflevering 1: Kees van der Staaij
Aflevering 2: Chris Stoffer
Aflevering 3: Roelof Bisschop
Aflevering 4: André Flach
Aflevering 5: Diederik van Dijk",youtube.com,"""Ik zal je eerlijk zeggen, ik had geen idee hoe dat Kamerwerk in elkaar zat""- Chris Stoffer || Aflevering #2 ""Aan de praat met de kandidaat"".In de tweede afl...",'Ik zal je eerlijk zeggen: ik had geen idee hoe dat Kamerwerk in elkaar zat' - Chris Stoffer #2,2021-03-16,2021-03-17,2021-03-15,SGP,3000,3999,0,99,https://www.facebook.com/ads/library/?id=288276042663936
1675000312672221,433611050005553,SGP,"""Romantiek dat heb ik ten opzichte van haar wel ja""- Roelof Bisschop || Aflevering #3 ""Aan de praat met de kandidaat"".

In de serie ""AAN DE PRAAT MET DE KANDIDAAT"" gaat Erik van Hartingsveldt in gesprek met Roelof Bisschop over wie hij is,
wat hem drijft, en spreekt hij met hem over zijn persoonlijke geloof. Hoe kijkt hij terug op zijn periode in het onderwijs en wat betekent zijn gezin voor hem. Wat wisten we nog niet van deze nummer 3 van de SGP?

Benieuwd naar dit gesprek, kijk hier de derde aflevering van ""Aan de praat met de kandidaat"": https://youtu.be/MJLMHQzikJE

Aflevering 1: Kees van der Staaij (terugkijken via Youtube SGP)
Aflevering 2: Chris Stoffer (terugkijken via Youtube SGP)
Aflevering 3: Roelof Bisschop
Aflevering 4: André Flach vanaf D.V. 9 maart
Aflevering 5: mr. D.J.H. (Diederik) van Dijk vanaf D.V. 11 maart",youtube.com,"""Romantiek, dat heb ik ten opzichte van haar wel ja...."" - Roelof Bisschop || Aflevering #3 ""Aan de praat met de kandidaat"".In de derde aflevering van de ser...","""Romantiek dat heb ik ten opzichte van haar wel ja...."" - Roelof Bisschop #3",2021-03-15,2021-03-17,2021-03-15,SGP,4000,4999,0,99,https://www.facebook.com/ads/library/?id=1675000312672221
3322063377895817,433611050005553,SGP,"""Ik ben als ondernemer de politiek ingegaan""- André Flach || Aflevering #4 ""Aan de praat met de kandidaat"".

In de serie ""AAN DE PRAAT MET DE KANDIDAAT"" gaat Erik van Hartingsveldt in gesprek met André Flach over wie hij is, over zijn drijfveren en over de vraag waarom het belangrijk is dat er ondernemers in de politiek actief zijn. Wat zeggen anderen over André Flach? Hoe kijkt hij terug op zijn periode als ondernemer en wat betekent zijn gezin voor hem? Wat wisten we nog niet van deze nummer 4 van de #SGP

Benieuwd naar dit gesprek, kijk hier de vierde aflevering van ""Aan de praat met de kandidaat"": https://youtu.be/XA1XSy5i2wY

Aflevering 1: Kees van der Staaij (terugkijken via Youtube SGP)
Aflevering 2: Chris Stoffer (terugkijken via Youtube SGP)
Aflevering 3: Roelof Bisschop (terugkijken via Youtube SGP)
Aflevering 4: André Flach
Aflevering 5: mr. D.J.H. (Diederik) van Dijk vanaf D.V. 11 maart",youtube.com,"'Ik ben als ondernemer de politiek ingegaan' - André Flach || Aflevering #4 ""Aan de praat met de kandidaat"".In de vierde aflevering van de serie ""AAN DE PRAA...",'Ik ben als ondernemer de politiek ingegaan' - André Flach #4,2021-03-15,2021-03-17,2021-03-15,SGP,4000,4999,0,99,https://www.facebook.com/ads/library/?id=3322063377895817
4125783867454368,433611050005553,SGP,"'Prolife? High five! Stem nummer vijf!'- mr. D.J.H. (Diederik) van Dijk || Aflevering #5 ""Aan de praat met de kandidaat"".

In de laatste aflevering van de serie ""AAN DE PRAAT MET DE KANDIDAAT"" gaat Erik van Hartingsveldt in gesprek met Diederik van Dijk over wie hij is, over zijn drijfveren en over de verschillende rollen die hij combineert in kerk, politiek en werk. Wat zeggen anderen over Diederik van Dijk? Hoe kijkt hij terug op zijn jeugd en wat betekent zijn gezin voor hem? Wat wisten we nog niet van deze nummer 5 van de #SGP?

Benieuwd naar dit gesprek, kijk hier de vijfde aflevering van ""Aan de praat met de kandidaat"": https://youtu.be/gTvDJhrEu3A",youtube.com,"'Prolife? High five! Stem nummer vijf!' - Diederik van Dijk || Aflevering #5 ""Aan de praat met de kandidaat"".In de laatste aflevering van de serie ""AAN DE PR...",'Prolife? High five! Stem nummer vijf!' - Diederik van Dijk #5,2021-03-15,2021-03-17,2021-03-15,SGP,3000,3999,0,99,https://www.facebook.com/ads/library/?id=4125783867454368
185048546473373,433611050005553,SGP,"Stem op 15, 16 of 17 maart #InVertrouwen, stem SGP!",www.sgp.nl,,Stem SGP!,2021-03-12,2021-03-17,2021-03-12,SGP,90000,99999,800,899,https://www.facebook.com/ads/library/?id=185048546473373
301857621283186,433611050005553,SGP,"De SGP is voor de boer! In deze post lees je hoe de SGP opkomt voor de boeren. Ga via deze link naar de website voor meer informatie: https://sgp.nl/actueel/publicaties/hoe-zet-de-sgp-zich-in-voor-de-boer of lees ons (verkort) verkiezingsprogramma.

#InVertrouwen #tijdvoordeboer",,,,2021-03-13,2021-03-17,2021-03-12,SGP,5000,5999,0,99,https://www.facebook.com/ads/library/?id=301857621283186
