ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
490692471960857,128393027527,SP,"De Haagse politiek luistert niet naar mensen en maakte zelfs levens kapot, zoals bij de toeslagenaffaire. Tijd voor een eerlijke overheid.

Stem SP.🍅",,,Tijd voor een eerlijke overheid,2021-03-16,2021-03-17,2021-03-16,SP,1000,1999,0,99,https://www.facebook.com/ads/library/?id=490692471960857
3664827536905714,128393027527,SP,{{product.brand}},verkiezingen.sp.nl,{{product.description}},{{product.name}},2021-03-17,2021-03-17,2021-03-16,SP,300000,349999,1500,1999,https://www.facebook.com/ads/library/?id=3664827536905714
257226399449400,128393027527,SP,{{product.brand}},verkiezingen.sp.nl,{{product.description}},{{product.name}},2021-03-17,2021-03-17,2021-03-16,SP,90000,99999,300,399,https://www.facebook.com/ads/library/?id=257226399449400
480974876266990,128393027527,SP,{{product.brand}},verkiezingen.sp.nl,{{product.description}},{{product.name}},2021-03-17,2021-03-17,2021-03-16,SP,90000,99999,300,399,https://www.facebook.com/ads/library/?id=480974876266990
430896591335052,128393027527,SP,Stem SP🍅 Voor een einde aan de bio-industrie en een verbod op bont.,sp.nl,"De belangrijkste verschillen tussen de SP en GroenLinks, 50PLUS, de PvdA en het CDA.",Vergelijk en kies. Stem SP🍅,2021-03-17,2021-03-17,2021-03-16,SP,15000,19999,100,199,https://www.facebook.com/ads/library/?id=430896591335052
427425104988678,128393027527,SP,"Stem SP voor eerlijk klimaatbeleid.🍅 De SP investeert meer in klimaat dan D66, GroenLinks, VVD en CDA bij elkaar.

Hoe? Niet door lasten te verhogen zoals andere partijen. Maar door gezamenlijk te investeren en de rekening bij grote vervuilers te leggen, in plaats van bij mensen thuis.",sp.nl,"De belangrijkste verschillen tussen de SP en GroenLinks, 50PLUS, de PvdA en het CDA.",Vergelijk en kies. Stem SP🍅,2021-03-16,2021-03-17,2021-03-16,SP,0,999,0,99,https://www.facebook.com/ads/library/?id=427425104988678
1581903038670462,128393027527,SP,"Jazzicoon Pierre Courbois steunt ons!🥁 ""Stem SP, voor de poppodia en de kleinschaligheid.""

Stem ook voor eerlijk cultuurbeleid. Stem SP.🍅",verkiezingen.sp.nl,Ons land moet eerlijker.,Stem SP.🍅 Voor een eerlijk Nederland,2021-03-17,2021-03-17,2021-03-16,SP,0,999,0,99,https://www.facebook.com/ads/library/?id=1581903038670462
829015644379442,128393027527,SP,"Jazzicoon Pierre Courbois steunt ons!🥁 ""Stem SP, voor de poppodia en de kleinschaligheid.""

Stem ook voor eerlijk cultuurbeleid. Stem SP.🍅",verkiezingen.sp.nl,Ons land moet eerlijker.,Stem SP.🍅 Voor een eerlijk Nederland,2021-03-16,2021-03-17,2021-03-16,SP,250000,299999,500,599,https://www.facebook.com/ads/library/?id=829015644379442
2852650705001658,128393027527,SP,{{product.brand}},verkiezingen.sp.nl,{{product.description}},{{product.name}},2021-03-15,2021-03-17,2021-03-15,SP,700000,799999,2000,2499,https://www.facebook.com/ads/library/?id=2852650705001658
1931930976956130,128393027527,SP,"De klassen moeten kleiner. Meer aandacht voor de kinderen en minder werkdruk voor de docenten. ✊🍅

Lilian Marijnissen hierover bij het NOS Jeugdjournaal",,,De klassen moeten kleiner!,2021-03-15,2021-03-16,2021-03-15,SP,6000,6999,0,99,https://www.facebook.com/ads/library/?id=1931930976956130
3674016405987496,128393027527,SP,"De Haagse politiek luistert niet naar mensen en maakte zelfs levens kapot, zoals bij de toeslagenaffaire. Tijd voor een eerlijke overheid.

Stem SP.🍅",,,Tijd voor een eerlijke overheid,2021-03-15,2021-03-17,2021-03-15,SP,20000,24999,100,199,https://www.facebook.com/ads/library/?id=3674016405987496
466712034522839,128393027527,SP,Vergelijk en kies voor de SP. 🍅,sp.nl,,SP,2021-03-14,2021-03-16,2021-03-14,SP,4000,4999,0,99,https://www.facebook.com/ads/library/?id=466712034522839
