ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
147081627206136,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-17,2021-03-17,2021-03-16,Volt Nederland,0,999,0,99,https://www.facebook.com/ads/library/?id=147081627206136
153246403232759,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,0,999,0,99,https://www.facebook.com/ads/library/?id=153246403232759
512274713499229,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,10000,14999,0,99,https://www.facebook.com/ads/library/?id=512274713499229
4167547383279404,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,0,999,0,99,https://www.facebook.com/ads/library/?id=4167547383279404
158542319348611,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,0,999,0,99,https://www.facebook.com/ads/library/?id=158542319348611
977039189502139,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,6000,6999,0,99,https://www.facebook.com/ads/library/?id=977039189502139
265080501889039,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,5000,5999,0,99,https://www.facebook.com/ads/library/?id=265080501889039
339427980839847,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,Stem Volt!,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,25000,29999,100,199,https://www.facebook.com/ads/library/?id=339427980839847
348199689836176,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,Stem Volt!,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,40000,44999,200,299,https://www.facebook.com/ads/library/?id=348199689836176
482682796239481,146644665960101,Volt Nederland,Samen voor vernieuwing. Samen voor een sterk Nederland dankzij Europa. Stem op 17 maart lijst 17. Stem op Volt.,voltnederland.org,,Stem Volt!,2021-03-16,2021-03-17,2021-03-16,Volt Nederland,90000,99999,400,499,https://www.facebook.com/ads/library/?id=482682796239481
