ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
145416310798679,121264564551002,VVD,"Bedankt voor je stem! 
Word lid. 👉 vvd.nl/word-lid",,,,2021-03-17,2021-03-31,2021-03-17,VVD,3000,3999,0,99,https://www.facebook.com/ads/library/?id=145416310798679
150364673617310,121264564551002,VVD,"Bedankt voor je stem! 
Word lid. 👉 vvd.nl/word-lid",,,,2021-03-17,2021-03-22,2021-03-17,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=150364673617310
150995396797776,121264564551002,VVD,Bedankt voor je stem. Word lid!,www.vvd.nl,,,2021-03-17,2021-03-29,2021-03-16,VVD,3000,3999,100,199,https://www.facebook.com/ads/library/?id=150995396797776
163903585550899,121264564551002,VVD,Bedankt voor je stem. Word lid!,www.vvd.nl,,,2021-03-17,2021-03-29,2021-03-16,VVD,50000,59999,800,899,https://www.facebook.com/ads/library/?id=163903585550899
189452066005251,121264564551002,VVD,"Bedankt voor je stem. 
Word lid! 👉 vvd.nl/word-lid",vvd.nl,"Wil jij bij de grootste politieke partij van Nederland horen? Word voor slechts € 25,- lid van de VVD! Het kan nu met het nieuwe introductielidmaatschap.",Ik doe mee.,2021-03-17,2021-03-22,2021-03-17,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=189452066005251
203601734888986,121264564551002,VVD,"Bedankt voor je stem! 
Word lid. 👉 vvd.nl/word-lid",,,,2021-03-17,2021-03-23,2021-03-17,VVD,10000,14999,100,199,https://www.facebook.com/ads/library/?id=203601734888986
234527865065318,121264564551002,VVD,Bedankt voor je stem. Word lid!,www.vvd.nl,,,2021-03-17,2021-03-29,2021-03-16,VVD,10000,14999,100,199,https://www.facebook.com/ads/library/?id=234527865065318
252497886599134,121264564551002,VVD,"Bedankt voor je stem! 
Word lid. 👉 vvd.nl/word-lid",,,,2021-03-17,2021-03-23,2021-03-17,VVD,125000,149999,1000,1499,https://www.facebook.com/ads/library/?id=252497886599134
255320486257672,121264564551002,VVD,{{product.brand}},vvd.nl,{{product.description}},{{product.name}},2021-03-17,2021-03-29,2021-03-16,VVD,15000,19999,200,299,https://www.facebook.com/ads/library/?id=255320486257672
270963988080763,121264564551002,VVD,Bedankt voor je stem. Word lid!,www.vvd.nl,,,2021-03-17,2021-03-22,2021-03-16,VVD,2000,2999,0,99,https://www.facebook.com/ads/library/?id=270963988080763
295386868597481,121264564551002,VVD,"Bedankt voor je stem. 
Word lid! 👉 vvd.nl/word-lid",vvd.nl,"Wil jij bij de grootste politieke partij van Nederland horen? Word voor slechts € 25,- lid van de VVD! Het kan nu met het nieuwe introductielidmaatschap.",Ik doe mee.,2021-03-17,2021-04-01,2021-03-17,VVD,500000,599999,4500,4999,https://www.facebook.com/ads/library/?id=295386868597481
359715378534174,121264564551002,VVD,"Bedankt voor je stem! 
Word lid. 👉 vvd.nl/word-lid",,,,2021-03-17,2021-03-31,2021-03-17,VVD,25000,29999,300,399,https://www.facebook.com/ads/library/?id=359715378534174
363500518092742,121264564551002,VVD,Bedankt voor je stem. Word lid! 👉 vvd.nl/word-lid,vvd.nl,"Wil jij bij de grootste politieke partij van Nederland horen? Word voor slechts € 25,- lid van de VVD! Het kan nu met het nieuwe introductielidmaatschap.",Ik doe mee.,2021-03-17,2021-03-31,2021-03-16,VVD,40000,44999,500,599,https://www.facebook.com/ads/library/?id=363500518092742
365591971162156,121264564551002,VVD,"Bedankt voor je stem. 
Word lid! 👉 vvd.nl/word-lid",vvd.nl,"Wil jij bij de grootste politieke partij van Nederland horen? Word voor slechts € 25,- lid van de VVD! Het kan nu met het nieuwe introductielidmaatschap.",Ik doe mee.,2021-03-17,2021-03-24,2021-03-17,VVD,50000,59999,300,399,https://www.facebook.com/ads/library/?id=365591971162156
429788934947621,121264564551002,VVD,"Bedankt voor je stem. 
Word lid! 👉 vvd.nl/word-lid",vvd.nl,"Wil jij bij de grootste politieke partij van Nederland horen? Word voor slechts € 25,- lid van de VVD! Het kan nu met het nieuwe introductielidmaatschap.",Ik doe mee.,2021-03-17,2021-03-31,2021-03-17,VVD,70000,79999,1000,1499,https://www.facebook.com/ads/library/?id=429788934947621
