ad_id,age,gender,percentage
2885651968387350,35-44,male,0.046914
2885651968387350,45-54,female,0.055309
2885651968387350,25-34,female,0.207407
2885651968387350,18-24,male,0.219753
2885651968387350,18-24,female,0.223704
2885651968387350,25-34,male,0.152099
2885651968387350,35-44,female,0.072593
2885651968387350,45-54,male,0.021235
2885651968387350,35-44,unknown,0.000988
157871632754519,65+,male,0.103142
157871632754519,65+,female,0.196721
157871632754519,45-54,female,0.163934
157871632754519,55-64,female,0.259791
157871632754519,55-64,male,0.160974
157871632754519,45-54,male,0.113616
157871632754519,45-54,unknown,0.000228
157871632754519,65+,unknown,0.000683
157871632754519,55-64,unknown,0.000911
3636266409819045,45-54,unknown,0.000629
3636266409819045,65+,unknown,0.001258
3636266409819045,65+,female,0.220126
3636266409819045,65+,male,0.112579
3636266409819045,45-54,male,0.103774
3636266409819045,55-64,male,0.152201
3636266409819045,45-54,female,0.154717
3636266409819045,55-64,female,0.25283
3636266409819045,55-64,unknown,0.001887
348820173100392,45-54,unknown,0.000515
348820173100392,55-64,unknown,0.000974
348820173100392,55-64,female,0.499418
348820173100392,45-54,male,0.077773
348820173100392,55-64,male,0.248325
348820173100392,45-54,female,0.172995
766126107383611,65+,male,0.458554
766126107383611,65+,female,0.540274
766126107383611,65+,unknown,0.001171
145363140795540,65+,male,0.194444
145363140795540,55-64,female,0.222222
145363140795540,45-54,male,0.027778
145363140795540,55-64,male,0.277778
145363140795540,65+,female,0.25
145363140795540,45-54,female,0.027778
2957423834539056,65+,male,0.119782
2957423834539056,55-64,female,0.31216
2957423834539056,55-64,male,0.192377
2957423834539056,45-54,female,0.14882
2957423834539056,65+,female,0.157895
2957423834539056,45-54,male,0.068966
350080069633994,65+,unknown,0.001249
350080069633994,65+,female,0.555512
350080069633994,65+,male,0.443239
768630577100178,55-64,unknown,0.002619
768630577100178,65+,unknown,0.003055
768630577100178,65+,female,0.299869
768630577100178,55-64,male,0.18289
768630577100178,55-64,female,0.350502
768630577100178,65+,male,0.161065
345486763482316,65+,unknown,0.001746
345486763482316,55-64,unknown,0.000895
345486763482316,65+,male,0.269553
345486763482316,55-64,female,0.166585
345486763482316,65+,female,0.401173
345486763482316,55-64,male,0.160048
448542149728632,55-64,unknown,0.000664
448542149728632,55-64,male,0.181155
448542149728632,65+,male,0.255474
448542149728632,65+,female,0.357332
448542149728632,55-64,female,0.20438
448542149728632,65+,unknown,0.000995
256710379436415,65+,female,0.292394
256710379436415,65+,male,0.1612
256710379436415,55-64,female,0.347523
256710379436415,55-64,male,0.195394
256710379436415,65+,unknown,0.002094
256710379436415,55-64,unknown,0.001396
276878740632201,45-54,female,0.045213
276878740632201,65+,female,0.24734
276878740632201,55-64,female,0.329787
276878740632201,45-54,male,0.021277
276878740632201,55-64,male,0.18883
276878740632201,65+,male,0.151596
276878740632201,65+,unknown,0.00266
276878740632201,55-64,unknown,0.013298
5652628291428844,55-64,male,0.169931
5652628291428844,65+,female,0.330863
5652628291428844,65+,male,0.221281
5652628291428844,55-64,female,0.276337
5652628291428844,55-64,unknown,0.001588
809195753011637,65+,female,0.313063
809195753011637,55-64,male,0.227027
809195753011637,55-64,female,0.224324
809195753011637,65+,male,0.234234
809195753011637,55-64,unknown,0.000901
809195753011637,65+,unknown,0.00045
351119989482112,55-64,unknown,0.002326
351119989482112,65+,female,0.291214
351119989482112,55-64,female,0.310853
351119989482112,65+,male,0.192248
351119989482112,55-64,male,0.202067
351119989482112,65+,unknown,0.001292
472523104113290,65+,female,0.340476
472523104113290,55-64,female,0.234519
472523104113290,55-64,male,0.198742
472523104113290,65+,male,0.222331
472523104113290,65+,unknown,0.001966
472523104113290,55-64,unknown,0.001966
789472428659120,65+,unknown,0.000669
789472428659120,65+,female,0.273068
789472428659120,55-64,female,0.18989
789472428659120,45-54,female,0.087991
789472428659120,65+,male,0.188553
789472428659120,55-64,male,0.171169
789472428659120,45-54,male,0.087858
789472428659120,55-64,unknown,0.000802
476500403389494,25-34,male,0.101751
476500403389494,45-54,female,0.11593
476500403389494,35-44,male,0.048374
476500403389494,18-24,male,0.11176
476500403389494,18-24,female,0.22769
476500403389494,45-54,male,0.030859
476500403389494,25-34,female,0.226022
476500403389494,35-44,female,0.137615
479942903367476,65+,unknown,0.001041
479942903367476,65+,male,0.145963
479942903367476,65+,female,0.242865
479942903367476,55-64,female,0.364747
479942903367476,55-64,male,0.244013
479942903367476,55-64,unknown,0.001371
916995192400527,65+,unknown,0.000852
916995192400527,65+,female,0.225074
916995192400527,55-64,male,0.277779
916995192400527,65+,male,0.140688
916995192400527,55-64,female,0.354298
916995192400527,55-64,unknown,0.001309
1628989280822467,55-64,unknown,0.001804
1628989280822467,55-64,male,0.259618
1628989280822467,55-64,female,0.305419
1628989280822467,65+,female,0.244941
1628989280822467,65+,male,0.186928
1628989280822467,65+,unknown,0.001291
191753249409559,65+,female,0.184081
191753249409559,55-64,unknown,0.001415
191753249409559,65+,male,0.132753
191753249409559,55-64,male,0.327325
191753249409559,55-64,female,0.353405
191753249409559,65+,unknown,0.00102
250509640040277,65+,unknown,0.000741
250509640040277,65+,female,0.205885
250509640040277,55-64,male,0.282566
250509640040277,55-64,female,0.388479
250509640040277,65+,male,0.121248
250509640040277,55-64,unknown,0.001082
788177938793889,55-64,unknown,0.001759
788177938793889,65+,unknown,0.001296
788177938793889,55-64,female,0.341448
788177938793889,65+,male,0.162903
788177938793889,55-64,male,0.273602
788177938793889,65+,female,0.218993
260576285546313,45-54,male,0.078055
260576285546313,55-64,female,0.240703
260576285546313,65+,male,0.139354
260576285546313,65+,female,0.255006
260576285546313,45-54,female,0.155701
260576285546313,55-64,male,0.129546
260576285546313,65+,unknown,0.000409
260576285546313,55-64,unknown,0.001226
319717622888009,45-54,unknown,0.000329
319717622888009,45-54,male,0.09049
319717622888009,55-64,male,0.160908
319717622888009,45-54,female,0.0974
319717622888009,65+,male,0.194801
319717622888009,65+,female,0.272787
319717622888009,55-64,female,0.182626
319717622888009,65+,unknown,0.000658
478421593335336,55-64,unknown,0.000704
478421593335336,45-54,unknown,0.000176
478421593335336,65+,male,0.12918
478421593335336,55-64,female,0.237064
478421593335336,45-54,female,0.153115
478421593335336,55-64,male,0.151355
478421593335336,65+,female,0.227737
478421593335336,45-54,male,0.100493
478421593335336,65+,unknown,0.000176
802820410616002,65+,unknown,0.002994
802820410616002,55-64,unknown,0.002994
802820410616002,45-54,unknown,0.002994
802820410616002,65+,female,0.272455
802820410616002,65+,male,0.167665
802820410616002,45-54,male,0.098802
802820410616002,55-64,female,0.200599
802820410616002,55-64,male,0.155689
802820410616002,45-54,female,0.095808
1273275529735204,55-64,male,0.156973
1273275529735204,65+,female,0.213405
1273275529735204,45-54,female,0.161514
1273275529735204,45-54,male,0.110703
1273275529735204,55-64,female,0.232649
1273275529735204,65+,male,0.123459
1273275529735204,55-64,unknown,0.000649
1273275529735204,65+,unknown,0.000649
517451529220020,65+,unknown,0.001685
517451529220020,55-64,female,0.095107
517451529220020,55-64,male,0.042576
517451529220020,65+,male,0.228119
517451529220020,65+,female,0.632514
120495516678874,55-64,male,0.044613
120495516678874,65+,male,0.196782
120495516678874,65+,female,0.622053
120495516678874,55-64,female,0.135785
120495516678874,65+,unknown,0.000766
744403982886200,65+,female,0.579229
744403982886200,65+,male,0.419043
744403982886200,65+,unknown,0.001728
1559345280928691,45-54,female,0.15536
1559345280928691,45-54,male,0.120211
1559345280928691,55-64,female,0.263269
1559345280928691,65+,male,0.088225
1559345280928691,55-64,male,0.166608
