ad_id,age,gender,percentage
435477087513071,13-17,unknown,6.6E-5
435477087513071,25-34,female,0.197117
435477087513071,Unknown,unknown,0.000166
435477087513071,18-24,unknown,0.00042
435477087513071,65+,female,0.011471
435477087513071,55-64,female,0.030952
435477087513071,25-34,male,0.099084
435477087513071,55-64,male,0.01354
435477087513071,18-24,female,0.283469
435477087513071,45-54,female,0.063641
435477087513071,55-64,unknown,6.6E-5
435477087513071,18-24,male,0.145147
435477087513071,35-44,female,0.084604
435477087513071,65+,male,0.006372
435477087513071,45-54,male,0.027855
435477087513071,35-44,male,0.03499
435477087513071,25-34,unknown,0.000387
435477087513071,45-54,unknown,0.000144
435477087513071,65+,unknown,3.3E-5
435477087513071,35-44,unknown,0.000476
460755871833645,65+,unknown,0.000113
460755871833645,35-44,female,0.085391
460755871833645,Unknown,unknown,0.000326
460755871833645,55-64,unknown,0.000163
460755871833645,65+,male,0.030325
460755871833645,55-64,female,0.064707
460755871833645,18-24,male,0.121025
460755871833645,65+,female,0.041957
460755871833645,55-64,male,0.046677
460755871833645,25-34,female,0.121876
460755871833645,45-54,unknown,0.000576
460755871833645,45-54,female,0.080921
460755871833645,25-34,male,0.12602
460755871833645,35-44,male,0.080758
460755871833645,45-54,male,0.075625
460755871833645,18-24,female,0.121964
460755871833645,18-24,unknown,0.000639
460755871833645,35-44,unknown,0.000501
460755871833645,25-34,unknown,0.000401
460755871833645,13-17,unknown,3.8E-5
477154687053277,Unknown,unknown,0.000229
477154687053277,18-24,male,0.118413
477154687053277,55-64,unknown,0.000135
477154687053277,35-44,unknown,0.000713
477154687053277,65+,unknown,0.000161
477154687053277,65+,female,0.049927
477154687053277,55-64,female,0.064461
477154687053277,25-34,male,0.131722
477154687053277,45-54,female,0.077394
477154687053277,25-34,female,0.116798
477154687053277,45-54,unknown,0.000511
477154687053277,18-24,female,0.127106
477154687053277,35-44,male,0.074528
477154687053277,45-54,male,0.075725
477154687053277,65+,male,0.030104
477154687053277,55-64,male,0.048232
477154687053277,35-44,female,0.082562
477154687053277,18-24,unknown,0.000525
477154687053277,25-34,unknown,0.00074
477154687053277,13-17,unknown,1.3E-5
1115138638909415,65+,unknown,2.5E-5
1115138638909415,25-34,female,0.072474
1115138638909415,55-64,unknown,0.000301
1115138638909415,45-54,unknown,0.000301
1115138638909415,25-34,unknown,0.000451
1115138638909415,35-44,unknown,0.000928
1115138638909415,65+,male,0.034645
1115138638909415,65+,female,0.016395
1115138638909415,55-64,female,0.034545
1115138638909415,35-44,female,0.057408
1115138638909415,45-54,female,0.060742
1115138638909415,18-24,male,0.140261
1115138638909415,35-44,male,0.125219
1115138638909415,18-24,female,0.053271
1115138638909415,25-34,male,0.232865
1115138638909415,55-64,male,0.064277
1115138638909415,45-54,male,0.105791
1115138638909415,18-24,unknown,0.0001
2887217114932657,18-24,unknown,0.000445
2887217114932657,45-54,male,0.059447
2887217114932657,45-54,unknown,0.000519
