ad_id,age,gender,percentage
452369106076934,65+,male,0.00163
452369106076934,25-34,unknown,0.001778
452369106076934,45-54,male,0.008666
452369106076934,65+,female,0.004518
452369106076934,18-24,male,0.147248
452369106076934,25-34,female,0.286942
452369106076934,25-34,male,0.131101
452369106076934,18-24,female,0.243538
452369106076934,45-54,female,0.034442
452369106076934,35-44,female,0.098733
452369106076934,55-64,female,0.01274
452369106076934,35-44,male,0.024294
452369106076934,55-64,male,0.002444
452369106076934,18-24,unknown,0.001037
452369106076934,35-44,unknown,0.000815
452369106076934,55-64,unknown,7.4E-5
434080534526798,45-54,unknown,0.000182
434080534526798,35-44,male,0.021699
434080534526798,65+,male,0.003647
434080534526798,45-54,female,0.04267
434080534526798,25-34,unknown,0.001459
434080534526798,18-24,male,0.119985
434080534526798,18-24,female,0.231036
434080534526798,25-34,female,0.332786
434080534526798,35-44,female,0.107768
434080534526798,25-34,male,0.108133
434080534526798,45-54,male,0.007841
434080534526798,65+,female,0.004923
434080534526798,55-64,female,0.012035
434080534526798,55-64,male,0.004012
434080534526798,18-24,unknown,0.001094
434080534526798,35-44,unknown,0.000729
469008384231829,45-54,unknown,0.000812
469008384231829,25-34,unknown,0.002435
469008384231829,55-64,female,0.033279
469008384231829,45-54,female,0.06737
469008384231829,35-44,unknown,0.00487
469008384231829,25-34,female,0.162338
469008384231829,18-24,female,0.228084
469008384231829,35-44,male,0.076299
469008384231829,18-24,male,0.084416
469008384231829,35-44,female,0.11039
469008384231829,25-34,male,0.108766
469008384231829,65+,female,0.016234
469008384231829,65+,male,0.019481
469008384231829,45-54,male,0.051948
469008384231829,55-64,male,0.031656
469008384231829,18-24,unknown,0.001623
514936626157269,55-64,unknown,0.000584
514936626157269,65+,female,0.022786
514936626157269,35-44,unknown,0.002921
514936626157269,25-34,unknown,0.002337
514936626157269,55-64,female,0.039677
514936626157269,55-64,male,0.035693
514936626157269,18-24,male,0.060604
514936626157269,45-54,female,0.060976
514936626157269,65+,male,0.019121
514936626157269,18-24,unknown,0.000584
514936626157269,35-44,female,0.103946
514936626157269,25-34,male,0.161311
514936626157269,45-54,unknown,0.001647
514936626157269,35-44,male,0.091996
514936626157269,45-54,male,0.052159
514936626157269,25-34,female,0.201041
514936626157269,18-24,female,0.142189
514936626157269,65+,unknown,0.000425
185717696425894,18-24,unknown,0.001982
185717696425894,55-64,unknown,0.000743
185717696425894,35-44,unknown,0.00322
185717696425894,55-64,male,0.033193
185717696425894,65+,unknown,0.000372
185717696425894,65+,male,0.017711
185717696425894,18-24,female,0.135373
185717696425894,25-34,female,0.151474
185717696425894,55-64,female,0.036413
185717696425894,45-54,male,0.058831
185717696425894,35-44,female,0.092519
185717696425894,35-44,male,0.101561
185717696425894,45-54,unknown,0.002229
185717696425894,45-54,female,0.049913
185717696425894,25-34,male,0.184419
185717696425894,65+,female,0.019321
185717696425894,18-24,male,0.108001
185717696425894,25-34,unknown,0.002725
464840114962419,45-54,unknown,0.002303
464840114962419,65+,male,0.017503
464840114962419,35-44,female,0.151543
464840114962419,55-64,male,0.031322
464840114962419,45-54,female,0.122064
464840114962419,55-64,female,0.083372
464840114962419,25-34,male,0.077384
464840114962419,18-24,male,0.028098
464840114962419,25-34,female,0.15707
464840114962419,18-24,female,0.122985
464840114962419,35-44,male,0.084293
464840114962419,65+,female,0.052971
464840114962419,45-54,male,0.067711
464840114962419,18-24,unknown,0.000921
464840114962419,35-44,unknown,0.000461
160472442564372,65+,male,0.018692
160472442564372,45-54,female,0.11215
160472442564372,25-34,female,0.093458
160472442564372,18-24,unknown,0.009346
160472442564372,45-54,male,0.056075
160472442564372,35-44,female,0.168224
160472442564372,55-64,female,0.102804
160472442564372,18-24,female,0.11215
160472442564372,55-64,male,0.037383
160472442564372,35-44,male,0.084112
160472442564372,65+,female,0.056075
160472442564372,25-34,male,0.140187
160472442564372,18-24,male,0.009346
493921641767028,65+,male,0.013597
493921641767028,35-44,male,0.044499
493921641767028,65+,female,0.024722
493921641767028,18-24,unknown,0.007417
493921641767028,25-34,male,0.112485
493921641767028,45-54,male,0.034611
493921641767028,18-24,male,0.084054
493921641767028,55-64,male,0.017305
493921641767028,18-24,female,0.243511
493921641767028,45-54,female,0.054388
493921641767028,25-34,female,0.236094
493921641767028,35-44,female,0.087763
493921641767028,55-64,female,0.037083
493921641767028,55-64,unknown,0.001236
493921641767028,25-34,unknown,0.001236
439208983993340,55-64,male,0.029092
439208983993340,18-24,female,0.13992
439208983993340,65+,unknown,0.00021
439208983993340,25-34,unknown,0.000654
439208983993340,45-54,unknown,0.000234
439208983993340,35-44,unknown,0.000421
439208983993340,18-24,unknown,0.000561
439208983993340,35-44,female,0.12854
439208983993340,45-54,male,0.052482
439208983993340,65+,male,0.015702
439208983993340,25-34,male,0.083466
439208983993340,25-34,female,0.182657
439208983993340,55-64,female,0.089471
439208983993340,18-24,male,0.04914
439208983993340,35-44,male,0.058954
439208983993340,65+,female,0.049561
439208983993340,45-54,female,0.118703
439208983993340,55-64,unknown,0.000234
197420235514055,35-44,unknown,0.000657
197420235514055,55-64,unknown,0.001314
197420235514055,55-64,female,0.088042
197420235514055,35-44,male,0.047306
197420235514055,18-24,female,0.162943
197420235514055,65+,female,0.063075
197420235514055,25-34,female,0.147832
197420235514055,25-34,male,0.083443
197420235514055,45-54,female,0.116951
197420235514055,55-64,male,0.031537
197420235514055,18-24,male,0.103154
197420235514055,35-44,female,0.086728
197420235514055,45-54,male,0.047306
197420235514055,65+,male,0.018397
197420235514055,18-24,unknown,0.000657
197420235514055,45-54,unknown,0.000657
161461082468732,45-54,unknown,0.000407
161461082468732,18-24,male,0.070074
161461082468732,18-24,unknown,0.000651
161461082468732,55-64,male,0.014405
161461082468732,45-54,male,0.024579
161461082468732,55-64,female,0.047855
161461082468732,65+,female,0.026044
161461082468732,25-34,male,0.066412
161461082468732,25-34,female,0.23887
161461082468732,55-64,unknown,0.000163
161461082468732,18-24,female,0.26817
161461082468732,35-44,female,0.121917
161461082468732,35-44,male,0.030683
161461082468732,65+,male,0.006918
161461082468732,45-54,female,0.081794
161461082468732,25-34,unknown,0.000488
161461082468732,35-44,unknown,0.000488
161461082468732,65+,unknown,8.1E-5
440983003627252,65+,unknown,0.000271
440983003627252,35-44,male,0.097148
440983003627252,55-64,female,0.036854
440983003627252,35-44,unknown,0.003049
440983003627252,18-24,male,0.087257
440983003627252,65+,male,0.019172
440983003627252,25-34,female,0.146061
440983003627252,45-54,unknown,0.002507
440983003627252,25-34,male,0.109952
440983003627252,55-64,unknown,0.000813
440983003627252,35-44,female,0.108665
440983003627252,18-24,female,0.197548
440983003627252,45-54,female,0.064698
440983003627252,65+,female,0.017546
440983003627252,55-64,male,0.038209
440983003627252,45-54,male,0.067611
440983003627252,25-34,unknown,0.001694
440983003627252,18-24,unknown,0.000948
273580534213036,65+,unknown,0.0002
273580534213036,18-24,female,0.131687
273580534213036,65+,male,0.014291
273580534213036,25-34,unknown,0.001447
273580534213036,55-64,female,0.038957
273580534213036,18-24,male,0.051253
273580534213036,45-54,male,0.050705
273580534213036,35-44,female,0.135204
273580534213036,25-34,female,0.220826
273580534213036,55-64,unknown,0.000324
273580534213036,25-34,male,0.134979
273580534213036,55-64,male,0.02721
273580534213036,35-44,male,0.090759
273580534213036,45-54,female,0.077242
273580534213036,45-54,unknown,0.001472
273580534213036,65+,female,0.020102
273580534213036,18-24,unknown,0.000673
273580534213036,35-44,unknown,0.002669
471534327532585,45-54,unknown,0.002628
471534327532585,18-24,female,0.13297
471534327532585,55-64,unknown,0.00133
471534327532585,18-24,unknown,0.000844
471534327532585,55-64,male,0.053895
471534327532585,65+,male,0.028586
471534327532585,65+,female,0.028424
471534327532585,25-34,male,0.127843
471534327532585,18-24,male,0.060093
471534327532585,55-64,female,0.052533
471534327532585,35-44,male,0.097959
471534327532585,25-34,female,0.153185
471534327532585,45-54,female,0.075343
471534327532585,35-44,female,0.106331
471534327532585,45-54,male,0.071222
471534327532585,35-44,unknown,0.003472
471534327532585,25-34,unknown,0.002466
471534327532585,65+,unknown,0.000876
884442215674443,55-64,unknown,0.00047
884442215674443,35-44,female,0.072719
884442215674443,18-24,unknown,0.005103
884442215674443,55-64,female,0.025045
884442215674443,45-54,female,0.045592
884442215674443,65+,female,0.013362
884442215674443,65+,male,0.021621
884442215674443,45-54,male,0.069563
884442215674443,18-24,female,0.133284
884442215674443,65+,unknown,0.000403
884442215674443,35-44,unknown,0.003492
884442215674443,25-34,female,0.162694
884442215674443,25-34,male,0.189485
884442215674443,18-24,male,0.105083
884442215674443,25-34,unknown,0.010273
884442215674443,35-44,male,0.100517
884442215674443,55-64,male,0.039482
884442215674443,45-54,unknown,0.001813
496563508187148,55-64,unknown,0.000205
496563508187148,25-34,female,0.183184
496563508187148,65+,unknown,0.000205
496563508187148,35-44,unknown,0.001086
496563508187148,65+,male,0.019105
496563508187148,35-44,female,0.084901
496563508187148,18-24,female,0.241878
496563508187148,18-24,male,0.089391
496563508187148,25-34,male,0.098459
496563508187148,25-34,unknown,0.001262
496563508187148,55-64,male,0.0319
496563508187148,45-54,male,0.05664
496563508187148,35-44,male,0.063742
496563508187148,55-64,female,0.039589
496563508187148,45-54,female,0.057256
496563508187148,65+,female,0.030051
496563508187148,18-24,unknown,0.000822
496563508187148,45-54,unknown,0.000323
434618684487750,Unknown,unknown,1.6E-5
434618684487750,25-34,male,0.194859
434618684487750,18-24,unknown,0.000126
434618684487750,65+,female,0.021272
434618684487750,65+,male,0.01964
434618684487750,55-64,female,0.03965
434618684487750,35-44,male,0.118146
434618684487750,55-64,male,0.050349
434618684487750,25-34,female,0.114203
434618684487750,18-24,male,0.125549
434618684487750,65+,unknown,0.000134
434618684487750,45-54,male,0.089936
434618684487750,45-54,female,0.060007
434618684487750,35-44,female,0.07505
434618684487750,18-24,female,0.088674
434618684487750,35-44,unknown,0.00093
