ad_id,age,gender,percentage
1081156665729252,35-44,unknown,0.001439
1081156665729252,18-24,female,0.020553
1081156665729252,45-54,unknown,0.001484
1081156665729252,55-64,unknown,0.001844
1081156665729252,25-34,unknown,0.00036
1081156665729252,18-24,male,0.02604
1081156665729252,45-54,male,0.033866
1081156665729252,35-44,female,0.050866
1081156665729252,55-64,male,0.071554
1081156665729252,65+,unknown,0.00081
1081156665729252,65+,male,0.127412
1081156665729252,55-64,female,0.174859
1081156665729252,35-44,male,0.030043
1081156665729252,25-34,male,0.048257
1081156665729252,45-54,female,0.087295
1081156665729252,65+,female,0.284911
1081156665729252,25-34,female,0.038318
1081156665729252,18-24,unknown,9.0E-5
1430129034003228,35-44,female,0.143443
1430129034003228,55-64,male,0.015881
1430129034003228,25-34,female,0.123975
1430129034003228,18-24,female,0.015881
1430129034003228,35-44,male,0.152664
1430129034003228,25-34,male,0.32377
1430129034003228,55-64,female,0.028176
1430129034003228,65+,male,0.00666
1430129034003228,65+,female,0.014344
1430129034003228,45-54,unknown,0.000512
1430129034003228,18-24,male,0.043545
1430129034003228,45-54,female,0.080943
1430129034003228,45-54,male,0.04918
1430129034003228,25-34,unknown,0.000512
1430129034003228,35-44,unknown,0.000512
443376926943635,35-44,female,0.171124
443376926943635,25-34,female,0.170763
443376926943635,25-34,unknown,0.000904
443376926943635,45-54,unknown,0.000361
443376926943635,55-64,unknown,0.000181
443376926943635,35-44,unknown,0.001446
443376926943635,65+,male,0.004879
443376926943635,55-64,male,0.007409
443376926943635,65+,female,0.01301
443376926943635,55-64,female,0.019696
443376926943635,35-44,male,0.152873
443376926943635,25-34,male,0.28858
443376926943635,45-54,male,0.041561
443376926943635,18-24,female,0.020419
443376926943635,18-24,male,0.044995
443376926943635,45-54,female,0.0618
939421116804974,55-64,female,0.186937
939421116804974,45-54,female,0.113363
939421116804974,25-34,female,0.033033
939421116804974,65+,male,0.104354
939421116804974,65+,female,0.153153
939421116804974,55-64,male,0.100601
939421116804974,25-34,male,0.085586
939421116804974,18-24,female,0.016517
939421116804974,35-44,female,0.054805
939421116804974,45-54,male,0.057057
939421116804974,35-44,male,0.057057
939421116804974,35-44,unknown,0.000751
939421116804974,18-24,male,0.035285
939421116804974,45-54,unknown,0.001502
281101390054151,45-54,male,0.050544
281101390054151,35-44,male,0.046138
281101390054151,45-54,unknown,0.000259
281101390054151,25-34,unknown,0.000259
281101390054151,65+,unknown,0.001296
281101390054151,35-44,unknown,0.00311
281101390054151,55-64,male,0.083981
281101390054151,65+,female,0.173924
281101390054151,65+,male,0.111198
281101390054151,18-24,male,0.041213
281101390054151,18-24,female,0.023328
281101390054151,35-44,female,0.061172
281101390054151,25-34,female,0.04536
281101390054151,25-34,male,0.083981
281101390054151,45-54,female,0.102644
281101390054151,55-64,female,0.171073
281101390054151,55-64,unknown,0.000518
434380697645062,65+,male,0.099869
434380697645062,25-34,male,0.071122
434380697645062,45-54,unknown,0.00056
434380697645062,35-44,male,0.044988
434380697645062,55-64,male,0.080829
434380697645062,55-64,female,0.156244
434380697645062,45-54,female,0.096323
434380697645062,45-54,male,0.052268
