ad_id,age,gender,percentage
154131443226094,65+,unknown,0.000307
154131443226094,55-64,male,0.050015
154131443226094,35-44,female,0.124374
154131443226094,25-34,male,0.098803
154131443226094,25-34,female,0.110975
154131443226094,55-64,unknown,0.000205
154131443226094,35-44,unknown,0.000511
154131443226094,45-54,unknown,0.000818
154131443226094,45-54,female,0.1166
154131443226094,25-34,unknown,0.000409
154131443226094,55-64,female,0.094405
154131443226094,35-44,male,0.082438
154131443226094,45-54,male,0.071494
154131443226094,65+,female,0.103304
154131443226094,18-24,male,0.043572
154131443226094,65+,male,0.049606
154131443226094,18-24,unknown,0.000205
154131443226094,18-24,female,0.051959
1410327685971115,18-24,unknown,0.000178
1410327685971115,45-54,male,0.060985
1410327685971115,25-34,unknown,0.000401
1410327685971115,45-54,unknown,0.000535
1410327685971115,55-64,male,0.056753
1410327685971115,25-34,male,0.052655
1410327685971115,35-44,female,0.13685
1410327685971115,55-64,female,0.13088
1410327685971115,35-44,male,0.052254
1410327685971115,55-64,unknown,0.000401
1410327685971115,18-24,male,0.031629
1410327685971115,65+,female,0.100009
1410327685971115,25-34,female,0.121525
1410327685971115,45-54,female,0.150615
1410327685971115,65+,male,0.038712
1410327685971115,18-24,female,0.064861
1410327685971115,35-44,unknown,0.000624
1410327685971115,65+,unknown,0.000134
2765142603799942,55-64,unknown,0.000633
2765142603799942,45-54,male,0.064102
2765142603799942,25-34,unknown,0.000411
2765142603799942,65+,unknown,0.000188
2765142603799942,18-24,male,0.03164
2765142603799942,65+,female,0.102214
2765142603799942,25-34,male,0.065694
2765142603799942,55-64,female,0.125362
2765142603799942,65+,male,0.042358
2765142603799942,45-54,unknown,0.000719
2765142603799942,45-54,female,0.131251
2765142603799942,55-64,male,0.057955
2765142603799942,35-44,male,0.058349
2765142603799942,25-34,female,0.120653
2765142603799942,35-44,female,0.139863
2765142603799942,18-24,female,0.057613
2765142603799942,35-44,unknown,0.00089
2765142603799942,18-24,unknown,0.000103
198181358307820,25-34,unknown,0.000963
198181358307820,25-34,female,0.320955
198181358307820,18-24,male,0.17908
198181358307820,18-24,female,0.31559
198181358307820,25-34,male,0.182312
198181358307820,18-24,unknown,0.001032
198181358307820,13-17,unknown,6.9E-5
2953922728161087,18-24,unknown,0.000619
2953922728161087,25-34,unknown,0.000748
2953922728161087,18-24,female,0.270026
2953922728161087,18-24,male,0.175631
2953922728161087,25-34,male,0.211176
2953922728161087,25-34,female,0.341799
198543115367901,25-34,male,0.004373
198543115367901,35-44,unknown,0.000875
198543115367901,35-44,male,0.103207
198543115367901,45-54,unknown,0.001749
198543115367901,35-44,female,0.491545
198543115367901,45-54,female,0.227697
198543115367901,45-54,male,0.088921
198543115367901,25-34,female,0.072595
198543115367901,55-64,female,0.005248
198543115367901,55-64,male,0.00379
1515372825321500,55-64,female,0.008723
1515372825321500,35-44,male,0.072165
1515372825321500,35-44,female,0.486122
1515372825321500,45-54,male,0.090404
1515372825321500,45-54,female,0.282316
1515372825321500,35-44,unknown,0.000793
1515372825321500,25-34,female,0.053132
1515372825321500,55-64,male,0.006344
253739656468962,55-64,unknown,0.000252
253739656468962,18-24,male,0.011005
253739656468962,45-54,unknown,0.00042
253739656468962,55-64,male,0.011047
253739656468962,18-24,female,0.047087
253739656468962,25-34,male,0.04024
253739656468962,55-64,female,0.091696
253739656468962,65+,female,0.062461
253739656468962,35-44,male,0.038518
253739656468962,35-44,unknown,0.001008
253739656468962,65+,male,0.011593
253739656468962,35-44,female,0.274205
253739656468962,25-34,female,0.253287
253739656468962,45-54,male,0.021464
253739656468962,45-54,female,0.135254
253739656468962,25-34,unknown,0.000294
253739656468962,18-24,unknown,4.2E-5
253739656468962,65+,unknown,0.000126
281267926843204,25-34,unknown,0.000415
281267926843204,35-44,female,0.267921
281267926843204,35-44,unknown,0.000914
281267926843204,65+,unknown,0.000166
281267926843204,55-64,unknown,0.000166
281267926843204,55-64,male,0.010881
281267926843204,18-24,male,0.013456
281267926843204,45-54,female,0.114877
281267926843204,55-64,female,0.075505
281267926843204,18-24,female,0.054199
281267926843204,35-44,male,0.035385
281267926843204,25-34,female,0.290514
281267926843204,65+,female,0.051956
281267926843204,45-54,male,0.020475
281267926843204,65+,male,0.009801
281267926843204,25-34,male,0.052953
281267926843204,45-54,unknown,0.000415
3004275589856674,55-64,unknown,0.000322
3004275589856674,55-64,male,0.042011
3004275589856674,18-24,unknown,0.000129
3004275589856674,65+,unknown,0.00029
3004275589856674,18-24,male,0.018958
3004275589856674,35-44,male,0.052134
3004275589856674,18-24,female,0.034595
3004275589856674,45-54,male,0.048072
3004275589856674,65+,male,0.044106
3004275589856674,35-44,unknown,0.001161
3004275589856674,35-44,female,0.18168
3004275589856674,25-34,female,0.111362
3004275589856674,55-64,female,0.127354
3004275589856674,65+,female,0.132512
3004275589856674,45-54,female,0.156371
3004275589856674,25-34,male,0.048072
3004275589856674,45-54,unknown,0.000516
3004275589856674,25-34,unknown,0.000355
828861767702957,Unknown,unknown,2.3E-5
828861767702957,35-44,female,0.09029
828861767702957,65+,unknown,0.000204
828861767702957,45-54,unknown,0.000363
828861767702957,18-24,female,0.202425
828861767702957,25-34,female,0.192093
828861767702957,25-34,male,0.071555
828861767702957,45-54,male,0.023594
828861767702957,18-24,male,0.110796
828861767702957,45-54,female,0.071669
828861767702957,55-64,unknown,0.000273
828861767702957,55-64,female,0.062108
828861767702957,35-44,male,0.026637
828861767702957,65+,female,0.077096
828861767702957,65+,male,0.040785
828861767702957,55-64,male,0.028658
828861767702957,25-34,unknown,0.000477
828861767702957,18-24,unknown,0.000454
828861767702957,35-44,unknown,0.0005
466856471175850,65+,unknown,0.000297
466856471175850,65+,male,0.051143
466856471175850,35-44,unknown,0.000495
466856471175850,25-34,unknown,0.000198
466856471175850,18-24,female,0.053319
466856471175850,35-44,female,0.124444
466856471175850,55-64,male,0.048966
466856471175850,25-34,male,0.094569
466856471175850,55-64,female,0.093184
466856471175850,45-54,unknown,0.000692
466856471175850,25-34,female,0.114947
466856471175850,65+,female,0.107429
466856471175850,35-44,male,0.078247
466856471175850,18-24,male,0.044416
466856471175850,45-54,female,0.120487
466856471175850,45-54,male,0.066772
466856471175850,55-64,unknown,0.000198
466856471175850,18-24,unknown,0.000198
266878635029883,35-44,unknown,0.000783
266878635029883,18-24,male,0.03601
266878635029883,25-34,unknown,0.000335
266878635029883,65+,unknown,0.000335
266878635029883,45-54,unknown,0.001006
266878635029883,55-64,unknown,0.000224
266878635029883,25-34,female,0.094945
266878635029883,45-54,male,0.075039
266878635029883,65+,male,0.060837
266878635029883,18-24,female,0.039365
266878635029883,25-34,male,0.082867
266878635029883,55-64,male,0.058376
266878635029883,35-44,male,0.076269
266878635029883,45-54,female,0.126034
266878635029883,65+,female,0.127488
266878635029883,55-64,female,0.103892
266878635029883,35-44,female,0.116081
266878635029883,18-24,unknown,0.000112
3754674114614010,13-17,unknown,2.8E-5
3754674114614010,Unknown,unknown,0.000141
3754674114614010,18-24,female,0.344238
3754674114614010,25-34,male,0.180016
3754674114614010,25-34,female,0.26169
3754674114614010,18-24,male,0.211377
3754674114614010,25-34,unknown,0.001269
3754674114614010,18-24,unknown,0.001241
2932567936980638,65+,unknown,0.000271
2932567936980638,18-24,male,0.040888
2932567936980638,25-34,female,0.102897
2932567936980638,45-54,female,0.126049
2932567936980638,65+,male,0.046981
2932567936980638,18-24,female,0.044138
2932567936980638,55-64,female,0.100325
2932567936980638,35-44,female,0.124154
2932567936980638,65+,female,0.102356
2932567936980638,45-54,unknown,0.000948
2932567936980638,25-34,male,0.097617
2932567936980638,45-54,male,0.071757
2932567936980638,35-44,unknown,0.000406
2932567936980638,35-44,male,0.087869
2932567936980638,55-64,male,0.052803
2932567936980638,25-34,unknown,0.000406
2932567936980638,55-64,unknown,0.000135
519996052321166,18-24,unknown,0.000163
519996052321166,65+,male,0.034016
519996052321166,45-54,male,0.04524
519996052321166,25-34,female,0.133159
519996052321166,25-34,male,0.048545
519996052321166,35-44,male,0.038992
519996052321166,65+,female,0.082307
519996052321166,45-54,female,0.160183
519996052321166,55-64,female,0.157695
519996052321166,45-54,unknown,0.000745
519996052321166,35-44,female,0.132887
519996052321166,55-64,male,0.051288
519996052321166,18-24,male,0.032055
519996052321166,18-24,female,0.080509
519996052321166,55-64,unknown,0.000436
519996052321166,25-34,unknown,0.00049
519996052321166,35-44,unknown,0.000926
519996052321166,65+,unknown,0.000363
1772362219639145,25-34,unknown,0.000182
1772362219639145,55-64,unknown,0.000182
1772362219639145,45-54,unknown,0.000545
1772362219639145,18-24,male,0.003724
1772362219639145,35-44,unknown,0.000999
1772362219639145,45-54,male,0.020436
1772362219639145,55-64,male,0.01426
1772362219639145,35-44,male,0.029155
1772362219639145,25-34,male,0.020436
1772362219639145,45-54,female,0.179473
1772362219639145,35-44,female,0.246412
1772362219639145,55-64,female,0.137875
1772362219639145,65+,female,0.107175
1772362219639145,25-34,female,0.185468
1772362219639145,65+,male,0.018801
1772362219639145,18-24,female,0.034877
788756095380066,65+,female,0.683387
788756095380066,65+,unknown,0.002813
788756095380066,65+,male,0.31376
788756095380066,Unknown,unknown,4.0E-5
1362821140777231,25-34,male,0.003077
1362821140777231,45-54,male,0.123077
1362821140777231,55-64,female,0.015385
1362821140777231,35-44,male,0.098462
1362821140777231,35-44,female,0.406154
1362821140777231,45-54,female,0.264615
1362821140777231,25-34,female,0.089231
742062450014578,35-44,unknown,0.000604
742062450014578,25-34,unknown,0.000604
742062450014578,45-54,unknown,0.000604
742062450014578,55-64,male,0.004227
742062450014578,25-34,male,0.051932
742062450014578,45-54,male,0.009058
742062450014578,25-34,female,0.391908
742062450014578,35-44,female,0.188406
742062450014578,18-24,female,0.113527
742062450014578,45-54,female,0.09058
742062450014578,18-24,male,0.019324
742062450014578,35-44,male,0.019928
742062450014578,55-64,female,0.080918
742062450014578,65+,female,0.025966
742062450014578,65+,male,0.002415
244837357291587,25-34,unknown,0.000659
244837357291587,18-24,female,0.032945
244837357291587,35-44,male,0.023281
244837357291587,35-44,female,0.251922
244837357291587,45-54,female,0.190424
244837357291587,65+,female,0.074896
244837357291587,55-64,female,0.149572
244837357291587,45-54,male,0.020865
244837357291587,25-34,female,0.193499
244837357291587,25-34,male,0.022183
244837357291587,65+,male,0.015594
244837357291587,18-24,male,0.005491
244837357291587,55-64,male,0.015594
244837357291587,45-54,unknown,0.000659
244837357291587,55-64,unknown,0.000439
244837357291587,35-44,unknown,0.001977
429809724914156,65+,male,0.349914
429809724914156,65+,female,0.647772
429809724914156,65+,unknown,0.002314
263860015298419,55-64,male,0.005161
263860015298419,25-34,male,0.002581
263860015298419,35-44,male,0.050323
263860015298419,35-44,female,0.486452
263860015298419,25-34,female,0.046452
263860015298419,45-54,female,0.357419
263860015298419,45-54,male,0.03871
263860015298419,55-64,female,0.011613
263860015298419,18-24,female,0.00129
773556396896080,18-24,unknown,3.5E-5
773556396896080,55-64,female,0.116134
773556396896080,35-44,unknown,0.001203
773556396896080,35-44,male,0.026389
773556396896080,55-64,male,0.010294
773556396896080,65+,female,0.079769
773556396896080,18-24,male,0.005978
773556396896080,45-54,male,0.014397
773556396896080,18-24,female,0.053911
773556396896080,55-64,unknown,0.000283
773556396896080,25-34,male,0.024621
773556396896080,25-34,female,0.245534
773556396896080,45-54,female,0.152252
773556396896080,35-44,female,0.255227
773556396896080,65+,male,0.013053
773556396896080,25-34,unknown,0.000354
773556396896080,65+,unknown,0.000141
773556396896080,45-54,unknown,0.000424
1806477486181327,65+,unknown,0.000172
1806477486181327,18-24,female,0.173816
1806477486181327,55-64,unknown,0.000257
1806477486181327,45-54,unknown,0.000343
1806477486181327,35-44,unknown,0.00103
1806477486181327,25-34,unknown,0.000429
1806477486181327,45-54,male,0.028054
1806477486181327,45-54,female,0.109214
1806477486181327,18-24,male,0.05362
1806477486181327,65+,female,0.057224
1806477486181327,35-44,male,0.030971
1806477486181327,65+,male,0.026167
1806477486181327,25-34,female,0.220659
1806477486181327,35-44,female,0.124571
1806477486181327,55-64,female,0.087766
1806477486181327,55-64,male,0.028741
1806477486181327,25-34,male,0.056452
1806477486181327,18-24,unknown,0.000515
734097970607071,18-24,unknown,9.0E-5
734097970607071,18-24,female,0.053693
734097970607071,55-64,unknown,0.000269
