ad_id,age,gender,percentage
476887336679421,45-54,unknown,0.00057
476887336679421,18-24,male,0.093684
476887336679421,35-44,unknown,0.000651
476887336679421,65+,male,0.061615
476887336679421,65+,female,0.108172
476887336679421,45-54,female,0.068696
476887336679421,25-34,unknown,0.000326
476887336679421,35-44,female,0.052255
476887336679421,55-64,female,0.093033
476887336679421,35-44,male,0.04908
476887336679421,65+,unknown,0.000488
476887336679421,45-54,male,0.055917
476887336679421,25-34,female,0.113137
476887336679421,25-34,male,0.104591
476887336679421,18-24,female,0.134869
476887336679421,55-64,male,0.062103
476887336679421,55-64,unknown,0.000407
476887336679421,13-17,unknown,8.1E-5
476887336679421,18-24,unknown,0.000326
1082744162225260,65+,unknown,0.000412
1082744162225260,35-44,unknown,0.000412
1082744162225260,45-54,unknown,0.000206
1082744162225260,35-44,female,0.058714
1082744162225260,35-44,male,0.02328
1082744162225260,25-34,male,0.090235
1082744162225260,55-64,female,0.100742
1082744162225260,18-24,female,0.221055
1082744162225260,25-34,female,0.167697
1082744162225260,65+,female,0.106304
1082744162225260,55-64,male,0.028636
1082744162225260,45-54,female,0.065719
1082744162225260,18-24,male,0.077256
1082744162225260,65+,male,0.038937
1082744162225260,45-54,male,0.019571
1082744162225260,25-34,unknown,0.000824
3007967006152381,25-34,unknown,0.000563
3007967006152381,25-34,male,0.069357
3007967006152381,45-54,unknown,0.000751
3007967006152381,55-64,unknown,0.000407
3007967006152381,65+,male,0.050712
3007967006152381,35-44,female,0.064539
3007967006152381,55-64,female,0.123166
3007967006152381,45-54,male,0.024433
3007967006152381,65+,female,0.150258
3007967006152381,65+,unknown,0.000501
3007967006152381,18-24,female,0.162177
3007967006152381,18-24,male,0.074488
3007967006152381,25-34,female,0.140529
3007967006152381,55-64,male,0.037979
3007967006152381,45-54,female,0.07358
3007967006152381,35-44,male,0.025497
3007967006152381,35-44,unknown,0.000876
3007967006152381,18-24,unknown,0.000188
770761966903238,18-24,unknown,0.000277
770761966903238,55-64,male,0.071363
770761966903238,35-44,unknown,0.000462
770761966903238,45-54,unknown,0.000923
770761966903238,25-34,female,0.088996
770761966903238,45-54,male,0.053914
770761966903238,35-44,male,0.043205
770761966903238,65+,male,0.074225
770761966903238,65+,female,0.138756
770761966903238,25-34,unknown,0.000646
770761966903238,35-44,female,0.055853
770761966903238,45-54,female,0.079948
770761966903238,18-24,male,0.072747
770761966903238,18-24,female,0.131462
770761966903238,25-34,male,0.072286
770761966903238,55-64,female,0.114106
770761966903238,55-64,unknown,0.000369
770761966903238,65+,unknown,0.000462
546031483047743,45-54,unknown,0.001339
546031483047743,45-54,female,0.092692
546031483047743,65+,unknown,0.000191
546031483047743,25-34,unknown,0.000574
546031483047743,65+,male,0.022766
546031483047743,65+,female,0.038932
546031483047743,55-64,male,0.036254
546031483047743,45-54,male,0.052037
546031483047743,18-24,male,0.082935
546031483047743,35-44,unknown,0.001244
546031483047743,55-64,female,0.067343
