ad_id,age,gender,percentage
509081253417169,35-44,unknown,0.000456
509081253417169,55-64,female,0.04662
509081253417169,45-54,female,0.09837
509081253417169,25-34,male,0.187279
509081253417169,18-24,female,0.070557
509081253417169,25-34,female,0.175881
509081253417169,18-24,male,0.124245
509081253417169,45-54,male,0.035906
509081253417169,35-44,female,0.140887
509081253417169,65+,female,0.011171
509081253417169,35-44,male,0.07865
509081253417169,55-64,male,0.015502
509081253417169,65+,male,0.013906
509081253417169,18-24,unknown,0.000228
509081253417169,25-34,unknown,0.000342
848011732412101,25-34,unknown,6.4E-5
848011732412101,25-34,male,0.125272
848011732412101,13-17,female,0.000704
848011732412101,13-17,male,0.000704
848011732412101,65+,female,0.038471
848011732412101,55-64,female,0.064716
848011732412101,55-64,male,0.042952
848011732412101,18-24,female,0.045193
848011732412101,45-54,female,0.124504
848011732412101,35-44,male,0.109973
848011732412101,45-54,unknown,0.000192
848011732412101,25-34,female,0.153629
848011732412101,35-44,female,0.157982
848011732412101,65+,male,0.026309
848011732412101,18-24,male,0.035015
848011732412101,45-54,male,0.073166
848011732412101,55-64,unknown,0.000128
848011732412101,35-44,unknown,0.000832
848011732412101,65+,unknown,0.000192
911017753024370,18-24,unknown,5.2E-5
911017753024370,25-34,female,0.169499
911017753024370,65+,unknown,0.000103
911017753024370,55-64,unknown,0.000413
911017753024370,35-44,unknown,0.000878
911017753024370,25-34,male,0.107421
911017753024370,18-24,male,0.045241
911017753024370,35-44,male,0.073852
911017753024370,45-54,male,0.080669
911017753024370,18-24,female,0.13092
911017753024370,Unknown,unknown,0.000103
911017753024370,65+,male,0.032433
911017753024370,55-64,male,0.054279
911017753024370,55-64,female,0.064918
911017753024370,35-44,female,0.104168
911017753024370,45-54,female,0.091102
911017753024370,65+,female,0.042917
911017753024370,25-34,unknown,0.00062
911017753024370,45-54,unknown,0.000413
1363521907373831,18-24,unknown,4.9E-5
1363521907373831,45-54,male,0.111988
1363521907373831,45-54,unknown,0.000931
1363521907373831,18-24,female,0.014458
1363521907373831,35-44,female,0.038326
1363521907373831,65+,male,0.14453
1363521907373831,35-44,male,0.090668
1363521907373831,55-64,male,0.138061
1363521907373831,18-24,male,0.03019
1363521907373831,65+,unknown,0.000637
1363521907373831,25-34,female,0.036316
1363521907373831,25-34,male,0.085571
1363521907373831,55-64,female,0.100863
1363521907373831,65+,female,0.154774
1363521907373831,45-54,female,0.051166
1363521907373831,55-64,unknown,0.000784
1363521907373831,35-44,unknown,0.00049
1363521907373831,25-34,unknown,0.000196
337411554462323,Unknown,unknown,7.7E-5
337411554462323,45-54,female,0.099769
337411554462323,65+,female,0.033821
337411554462323,65+,male,0.048074
337411554462323,25-34,female,0.116179
337411554462323,55-64,female,0.055162
337411554462323,45-54,male,0.118644
337411554462323,35-44,female,0.11718
337411554462323,55-64,male,0.08621
337411554462323,65+,unknown,0.000308
337411554462323,18-24,male,0.043529
337411554462323,35-44,male,0.117411
337411554462323,25-34,male,0.124191
337411554462323,55-64,unknown,0.000693
337411554462323,18-24,female,0.03567
337411554462323,25-34,unknown,0.000616
337411554462323,35-44,unknown,0.001464
337411554462323,45-54,unknown,0.001002
3745595068869624,45-54,unknown,0.000912
3745595068869624,18-24,male,0.063295
3745595068869624,55-64,unknown,0.000304
3745595068869624,18-24,unknown,5.1E-5
3745595068869624,65+,unknown,0.000355
3745595068869624,65+,female,0.04495
3745595068869624,55-64,female,0.048852
3745595068869624,65+,male,0.060254
3745595068869624,18-24,female,0.061015
3745595068869624,35-44,unknown,0.001216
3745595068869624,35-44,female,0.096387
3745595068869624,25-34,male,0.142654
3745595068869624,55-64,male,0.077586
3745595068869624,25-34,female,0.103583
3745595068869624,45-54,male,0.106725
3745595068869624,35-44,male,0.123701
3745595068869624,45-54,female,0.067957
3745595068869624,25-34,unknown,0.000203
245957920571467,Unknown,unknown,2.5E-5
245957920571467,35-44,male,0.127769
245957920571467,65+,unknown,7.6E-5
245957920571467,65+,female,0.015753
245957920571467,25-34,female,0.132952
245957920571467,25-34,male,0.162992
245957920571467,18-24,female,0.080687
245957920571467,55-64,female,0.031026
245957920571467,45-54,female,0.076312
245957920571467,35-44,female,0.119627
245957920571467,45-54,unknown,0.000657
245957920571467,18-24,male,0.083873
245957920571467,45-54,male,0.094847
245957920571467,55-64,male,0.049535
245957920571467,65+,male,0.020987
245957920571467,35-44,unknown,0.001644
245957920571467,25-34,unknown,0.000834
245957920571467,18-24,unknown,0.000152
245957920571467,55-64,unknown,0.000253
501891161187938,18-24,unknown,1.5E-5
501891161187938,45-54,male,0.14486
501891161187938,18-24,female,0.011674
501891161187938,55-64,male,0.137191
501891161187938,65+,female,0.092382
501891161187938,18-24,male,0.038556
501891161187938,55-64,female,0.08211
501891161187938,25-34,male,0.124924
501891161187938,25-34,female,0.035476
501891161187938,25-34,unknown,0.000131
501891161187938,35-44,female,0.040081
501891161187938,35-44,male,0.135397
501891161187938,65+,male,0.105334
501891161187938,45-54,female,0.050653
501891161187938,35-44,unknown,0.000216
501891161187938,45-54,unknown,0.000424
501891161187938,55-64,unknown,0.000308
501891161187938,65+,unknown,0.00027
437422940917838,Unknown,unknown,1.1E-5
