ad_id,age,gender,percentage
910442436374266,25-34,unknown,0.000232
910442436374266,55-64,male,0.116964
910442436374266,18-24,unknown,7.7E-5
910442436374266,55-64,unknown,0.000334
910442436374266,65+,unknown,0.000334
910442436374266,35-44,male,0.114564
910442436374266,45-54,male,0.147745
910442436374266,18-24,male,0.036583
910442436374266,25-34,male,0.105741
910442436374266,35-44,unknown,0.000631
910442436374266,45-54,female,0.081072
910442436374266,55-64,female,0.091855
910442436374266,65+,male,0.0922
910442436374266,35-44,female,0.060817
910442436374266,18-24,female,0.017532
910442436374266,65+,female,0.08946
910442436374266,25-34,female,0.04322
910442436374266,45-54,unknown,0.000637
549798549758635,18-24,unknown,7.0E-5
549798549758635,65+,male,0.102739
549798549758635,25-34,unknown,0.000259
549798549758635,45-54,unknown,0.000596
549798549758635,45-54,female,0.071749
549798549758635,25-34,female,0.041404
549798549758635,55-64,female,0.078986
549798549758635,18-24,female,0.017793
549798549758635,55-64,male,0.124985
549798549758635,65+,unknown,0.00034
549798549758635,18-24,male,0.043017
549798549758635,45-54,male,0.148568
549798549758635,35-44,male,0.118316
549798549758635,35-44,female,0.053
549798549758635,25-34,male,0.119345
549798549758635,65+,female,0.077864
549798549758635,35-44,unknown,0.000615
549798549758635,55-64,unknown,0.000356
201838451736387,18-24,unknown,0.00029
201838451736387,25-34,unknown,0.000505
201838451736387,18-24,female,0.08973
201838451736387,25-34,female,0.132586
201838451736387,25-34,male,0.443926
201838451736387,18-24,male,0.332963
2876294109252931,25-34,unknown,0.000486
2876294109252931,25-34,female,0.130674
2876294109252931,18-24,female,0.089102
2876294109252931,18-24,male,0.336272
2876294109252931,25-34,male,0.443193
2876294109252931,18-24,unknown,0.000272
342441267200932,35-44,unknown,0.000508
342441267200932,65+,female,0.076763
342441267200932,65+,unknown,0.000259
342441267200932,65+,male,0.060604
342441267200932,25-34,male,0.196972
342441267200932,55-64,female,0.078607
342441267200932,55-64,male,0.087728
342441267200932,18-24,male,0.085485
342441267200932,18-24,female,0.015656
342441267200932,55-64,unknown,0.000251
342441267200932,45-54,female,0.059793
342441267200932,45-54,male,0.110617
342441267200932,35-44,male,0.129734
342441267200932,25-34,female,0.050368
342441267200932,35-44,female,0.045958
342441267200932,25-34,unknown,0.000308
342441267200932,45-54,unknown,0.00033
342441267200932,18-24,unknown,5.9E-5
108587361206601,35-44,unknown,0.000462
108587361206601,35-44,female,0.04349
108587361206601,65+,female,0.081393
108587361206601,35-44,male,0.115072
108587361206601,18-24,male,0.090542
108587361206601,45-54,male,0.103882
108587361206601,18-24,female,0.018493
108587361206601,55-64,female,0.076248
108587361206601,45-54,female,0.057183
108587361206601,18-24,unknown,7.6E-5
108587361206601,25-34,male,0.200353
108587361206601,65+,male,0.070248
108587361206601,25-34,female,0.054608
108587361206601,25-34,unknown,0.000312
108587361206601,65+,unknown,0.000268
108587361206601,45-54,unknown,0.000338
108587361206601,55-64,unknown,0.000263
108587361206601,55-64,male,0.086768
276521587335683,65+,unknown,0.000277
276521587335683,25-34,male,0.196505
276521587335683,25-34,unknown,0.0003
276521587335683,35-44,unknown,0.000469
276521587335683,65+,female,0.084156
276521587335683,35-44,female,0.043536
276521587335683,25-34,female,0.053728
276521587335683,65+,male,0.073332
276521587335683,18-24,male,0.087013
276521587335683,18-24,unknown,7.2E-5
276521587335683,35-44,male,0.113057
276521587335683,45-54,male,0.104614
276521587335683,55-64,male,0.088167
276521587335683,18-24,female,0.018032
276521587335683,45-54,female,0.058267
276521587335683,55-64,female,0.077879
276521587335683,55-64,unknown,0.000273
276521587335683,45-54,unknown,0.000325
494454554895850,25-34,female,0.213371
494454554895850,35-44,female,0.205396
494454554895850,55-64,female,0.153041
494454554895850,18-24,female,0.131511
494454554895850,65+,female,0.107392
494454554895850,45-54,female,0.189289
993853937809758,55-64,unknown,0.000379
993853937809758,35-44,female,0.053046
993853937809758,18-24,unknown,6.8E-5
993853937809758,35-44,unknown,0.000615
993853937809758,65+,unknown,0.000368
993853937809758,45-54,unknown,0.000634
993853937809758,18-24,female,0.017346
993853937809758,25-34,female,0.040408
993853937809758,55-64,female,0.079473
993853937809758,65+,female,0.078704
993853937809758,45-54,male,0.149959
993853937809758,65+,male,0.106805
993853937809758,18-24,male,0.041511
993853937809758,25-34,male,0.116607
993853937809758,55-64,male,0.126244
993853937809758,45-54,female,0.070797
993853937809758,35-44,male,0.11679
993853937809758,25-34,unknown,0.000248
281220680039539,18-24,unknown,3.6E-5
281220680039539,65+,female,0.086388
281220680039539,35-44,unknown,0.000454
281220680039539,55-64,unknown,0.000245
281220680039539,25-34,female,0.047079
281220680039539,65+,male,0.058599
281220680039539,35-44,female,0.062311
281220680039539,18-24,female,0.012637
281220680039539,45-54,male,0.123332
281220680039539,65+,unknown,0.00018
281220680039539,55-64,male,0.094995
281220680039539,35-44,male,0.141635
281220680039539,25-34,male,0.138175
281220680039539,55-64,female,0.106053
281220680039539,18-24,male,0.050806
281220680039539,45-54,female,0.076361
281220680039539,25-34,unknown,0.000303
281220680039539,45-54,unknown,0.000411
3527106390732980,18-24,unknown,0.000329
3527106390732980,65+,male,0.03261
3527106390732980,45-54,unknown,0.000904
3527106390732980,65+,female,0.044439
3527106390732980,25-34,male,0.146788
3527106390732980,45-54,female,0.086167
3527106390732980,55-64,male,0.075407
3527106390732980,45-54,male,0.121242
3527106390732980,25-34,female,0.078035
3527106390732980,55-64,unknown,0.000246
3527106390732980,35-44,male,0.14991
3527106390732980,18-24,female,0.049121
3527106390732980,35-44,female,0.084032
3527106390732980,55-64,female,0.072532
3527106390732980,18-24,male,0.05635
3527106390732980,25-34,unknown,0.000904
3527106390732980,65+,unknown,0.000164
3527106390732980,35-44,unknown,0.000821
637326861023048,Unknown,unknown,1.7E-5
637326861023048,35-44,female,0.102764
637326861023048,55-64,female,0.074544
637326861023048,18-24,female,0.084872
637326861023048,65+,male,0.027654
637326861023048,45-54,female,0.097162
637326861023048,55-64,male,0.051145
637326861023048,25-34,male,0.126892
637326861023048,65+,female,0.054573
637326861023048,18-24,male,0.067899
637326861023048,18-24,unknown,0.000187
637326861023048,45-54,male,0.081642
637326861023048,35-44,male,0.099048
637326861023048,25-34,female,0.129298
637326861023048,25-34,unknown,0.000451
637326861023048,45-54,unknown,0.000528
637326861023048,35-44,unknown,0.000922
637326861023048,65+,unknown,0.000146
637326861023048,55-64,unknown,0.000256
