ad_id,age,gender,percentage
481551526441611,18-24,unknown,0.00015
481551526441611,35-44,female,0.024335
481551526441611,25-34,unknown,0.000376
481551526441611,25-34,male,0.144885
481551526441611,35-44,male,0.086225
481551526441611,55-64,male,0.124305
481551526441611,55-64,female,0.065044
481551526441611,65+,male,0.133994
481551526441611,18-24,male,0.102449
481551526441611,45-54,unknown,0.000751
481551526441611,25-34,female,0.015923
481551526441611,45-54,male,0.123104
481551526441611,45-54,female,0.044765
481551526441611,65+,female,0.120625
481551526441611,18-24,female,0.011266
481551526441611,35-44,unknown,0.000451
481551526441611,65+,unknown,0.000451
481551526441611,55-64,unknown,0.000901
199276255287801,45-54,unknown,0.000469
199276255287801,18-24,male,0.128491
199276255287801,25-34,unknown,0.00038
199276255287801,18-24,unknown,0.000134
199276255287801,35-44,unknown,0.000447
199276255287801,18-24,female,0.008328
199276255287801,65+,female,0.083235
199276255287801,55-64,male,0.111724
199276255287801,45-54,male,0.121726
199276255287801,65+,unknown,0.000402
199276255287801,45-54,female,0.041349
199276255287801,25-34,male,0.202282
199276255287801,25-34,female,0.015249
199276255287801,65+,male,0.087388
199276255287801,35-44,male,0.111724
199276255287801,55-64,female,0.066356
199276255287801,35-44,female,0.020005
199276255287801,55-64,unknown,0.000313
781562506113157,25-34,unknown,0.001597
781562506113157,45-54,female,0.009585
781562506113157,45-54,male,0.065495
781562506113157,35-44,female,0.019169
781562506113157,35-44,male,0.135783
781562506113157,18-24,male,0.29393
781562506113157,25-34,male,0.298722
781562506113157,18-24,female,0.046326
781562506113157,25-34,female,0.051118
781562506113157,65+,female,0.015974
781562506113157,55-64,male,0.036741
781562506113157,65+,male,0.015974
781562506113157,55-64,female,0.009585
3356645744436614,45-54,unknown,0.000957
3356645744436614,65+,male,0.110125
3356645744436614,18-24,unknown,0.000261
3356645744436614,55-64,unknown,0.000522
3356645744436614,25-34,unknown,0.000783
3356645744436614,65+,female,0.149704
3356645744436614,25-34,male,0.114649
3356645744436614,45-54,male,0.107168
3356645744436614,25-34,female,0.032272
3356645744436614,35-44,unknown,0.000957
3356645744436614,55-64,male,0.115344
3356645744436614,45-54,female,0.064022
3356645744436614,18-24,male,0.037491
3356645744436614,55-64,female,0.11056
3356645744436614,35-44,male,0.104036
3356645744436614,35-44,female,0.039231
3356645744436614,18-24,female,0.011569
3356645744436614,65+,unknown,0.000348
481162749744938,Unknown,unknown,1.7E-5
481162749744938,18-24,male,0.074541
481162749744938,55-64,unknown,0.000196
481162749744938,35-44,unknown,0.001048
481162749744938,25-34,unknown,0.000861
481162749744938,45-54,female,0.067535
481162749744938,25-34,female,0.16439
481162749744938,25-34,male,0.156864
481162749744938,35-44,male,0.095908
481162749744938,55-64,female,0.053822
481162749744938,13-17,unknown,9.0E-6
481162749744938,55-64,male,0.044924
481162749744938,65+,female,0.039836
481162749744938,18-24,female,0.104405
481162749744938,65+,male,0.027555
481162749744938,45-54,male,0.070246
481162749744938,35-44,female,0.096726
481162749744938,45-54,unknown,0.000639
481162749744938,18-24,unknown,0.000341
481162749744938,65+,unknown,0.000136
441604937065877,25-34,unknown,0.000506
441604937065877,45-54,female,0.064398
441604937065877,18-24,unknown,0.000127
