ad_id,age,gender,percentage
910042249835527,18-24,male,0.024963
910042249835527,35-44,male,0.027655
910042249835527,35-44,female,0.196525
910042249835527,55-64,male,0.024474
910042249835527,65+,female,0.087372
910042249835527,65+,male,0.020558
910042249835527,25-34,female,0.19114
910042249835527,18-24,female,0.069261
910042249835527,45-54,male,0.028634
910042249835527,55-64,female,0.129711
910042249835527,25-34,male,0.03255
910042249835527,45-54,female,0.166177
910042249835527,25-34,unknown,0.000489
910042249835527,35-44,unknown,0.000245
910042249835527,18-24,unknown,0.000245
709211776424450,65+,female,0.009615
709211776424450,45-54,female,0.024038
709211776424450,55-64,female,0.009615
709211776424450,35-44,male,0.009615
709211776424450,35-44,female,0.019231
709211776424450,25-34,female,0.201923
709211776424450,18-24,female,0.427885
709211776424450,18-24,male,0.192308
709211776424450,25-34,male,0.096154
709211776424450,35-44,unknown,0.004808
709211776424450,45-54,male,0.004808
928646781292462,55-64,male,0.004241
928646781292462,45-54,male,0.002404
928646781292462,18-24,unknown,0.000283
928646781292462,35-44,unknown,0.000141
928646781292462,45-54,unknown,0.000141
928646781292462,25-34,unknown,0.000848
928646781292462,55-64,female,0.008059
928646781292462,65+,female,0.008907
928646781292462,35-44,male,0.008059
928646781292462,25-34,male,0.058391
928646781292462,65+,male,0.003959
928646781292462,18-24,male,0.124275
928646781292462,25-34,female,0.212215
928646781292462,18-24,female,0.542768
928646781292462,45-54,female,0.006362
928646781292462,35-44,female,0.018804
928646781292462,55-64,unknown,0.000141
2831791750415978,35-44,unknown,0.0005
2831791750415978,18-24,unknown,0.000999
2831791750415978,45-54,male,0.003996
2831791750415978,65+,male,0.003996
2831791750415978,45-54,female,0.003996
2831791750415978,25-34,female,0.16034
2831791750415978,18-24,male,0.26973
2831791750415978,25-34,male,0.147852
2831791750415978,18-24,female,0.372128
2831791750415978,55-64,female,0.002997
2831791750415978,65+,female,0.004496
2831791750415978,55-64,male,0.004496
2831791750415978,25-34,unknown,0.002997
2831791750415978,35-44,female,0.007992
2831791750415978,35-44,male,0.013487
776266609742712,25-34,male,0.071006
776266609742712,35-44,unknown,0.000394
776266609742712,65+,male,0.01144
776266609742712,55-64,male,0.010651
776266609742712,45-54,female,0.018146
776266609742712,35-44,female,0.028402
776266609742712,18-24,female,0.431953
776266609742712,18-24,male,0.1286
776266609742712,25-34,female,0.220513
776266609742712,65+,female,0.039448
776266609742712,35-44,male,0.013412
776266609742712,55-64,female,0.018935
776266609742712,45-54,male,0.005523
776266609742712,25-34,unknown,0.000394
776266609742712,18-24,unknown,0.001183
1085710671941251,55-64,male,0.001342
1085710671941251,35-44,male,0.007046
1085710671941251,65+,male,0.004697
1085710671941251,65+,female,0.011911
1085710671941251,25-34,unknown,0.001007
1085710671941251,55-64,female,0.004529
1085710671941251,25-34,female,0.158027
1085710671941251,18-24,female,0.497735
1085710671941251,18-24,male,0.203657
1085710671941251,25-34,male,0.089415
1085710671941251,35-44,female,0.015098
1085710671941251,45-54,female,0.002181
1085710671941251,45-54,male,0.00302
1085710671941251,18-24,unknown,0.000336
285592356251741,35-44,unknown,0.001141
285592356251741,35-44,female,0.058455
285592356251741,65+,female,0.037639
285592356251741,65+,male,0.101796
285592356251741,55-64,male,0.147705
285592356251741,25-34,male,0.157399
285592356251741,35-44,male,0.135443
285592356251741,18-24,male,0.079555
285592356251741,18-24,female,0.023097
285592356251741,45-54,female,0.040776
285592356251741,25-34,female,0.04933
285592356251741,55-64,female,0.042772
285592356251741,45-54,male,0.122327
285592356251741,25-34,unknown,0.001141
285592356251741,55-64,unknown,0.000855
