ad_id,age,gender,percentage
1645848738946260,18-24,unknown,0.000302
1645848738946260,35-44,female,0.116634
1645848738946260,25-34,unknown,0.000788
1645848738946260,65+,unknown,0.000309
1645848738946260,65+,male,0.025102
1645848738946260,25-34,male,0.108732
1645848738946260,45-54,male,0.045828
1645848738946260,35-44,male,0.05339
1645848738946260,65+,female,0.035438
1645848738946260,35-44,unknown,0.00126
1645848738946260,55-64,male,0.036233
1645848738946260,45-54,female,0.091955
1645848738946260,18-24,male,0.070068
1645848738946260,25-34,female,0.213106
1645848738946260,18-24,female,0.133606
1645848738946260,55-64,female,0.066005
1645848738946260,45-54,unknown,0.000862
1645848738946260,55-64,unknown,0.000383
467628547758590,65+,unknown,0.000361
467628547758590,35-44,male,0.075833
467628547758590,25-34,unknown,0.000383
467628547758590,35-44,unknown,0.000684
467628547758590,35-44,female,0.094955
467628547758590,65+,male,0.066069
467628547758590,25-34,female,0.083861
467628547758590,65+,female,0.095511
467628547758590,45-54,female,0.115896
467628547758590,45-54,unknown,0.000789
467628547758590,55-64,female,0.117346
467628547758590,18-24,female,0.04025
467628547758590,55-64,male,0.085875
467628547758590,18-24,male,0.039905
467628547758590,25-34,male,0.090152
467628547758590,45-54,male,0.09155
467628547758590,55-64,unknown,0.000428
467628547758590,18-24,unknown,0.00015
193672722151114,65+,unknown,0.000812
193672722151114,65+,male,0.043019
193672722151114,35-44,unknown,0.00487
193672722151114,25-34,unknown,0.000812
193672722151114,25-34,male,0.049513
193672722151114,45-54,male,0.032468
193672722151114,55-64,female,0.104708
193672722151114,35-44,female,0.064935
193672722151114,25-34,female,0.18263
193672722151114,45-54,unknown,0.001623
193672722151114,18-24,male,0.049513
193672722151114,18-24,female,0.219968
193672722151114,65+,female,0.098214
193672722151114,18-24,unknown,0.001623
193672722151114,45-54,female,0.077922
193672722151114,35-44,male,0.022727
193672722151114,55-64,male,0.043831
193672722151114,55-64,unknown,0.000812
264813528483525,Unknown,unknown,1.1E-5
264813528483525,18-24,female,0.127385
264813528483525,65+,unknown,0.000713
264813528483525,25-34,unknown,0.001179
264813528483525,45-54,unknown,0.001372
264813528483525,45-54,female,0.138127
264813528483525,65+,female,0.079206
264813528483525,45-54,male,0.031971
264813528483525,65+,male,0.026788
264813528483525,25-34,female,0.200721
264813528483525,18-24,unknown,0.000668
264813528483525,25-34,male,0.056703
264813528483525,35-44,female,0.121211
264813528483525,55-64,male,0.028965
264813528483525,55-64,female,0.117969
264813528483525,18-24,male,0.034299
264813528483525,35-44,male,0.030431
