ad_id,age,gender,percentage
799912597292562,45-54,female,0.083333
799912597292562,55-64,male,0.166667
799912597292562,35-44,male,0.083333
799912597292562,65+,female,0.083333
799912597292562,25-34,female,0.083333
799912597292562,35-44,female,0.083333
799912597292562,25-34,male,0.166667
799912597292562,45-54,male,0.166667
799912597292562,55-64,female,0.083333
362209948256232,55-64,female,0.051161
362209948256232,65+,male,0.039221
362209948256232,55-64,unknown,0.000166
362209948256232,25-34,unknown,0.000415
362209948256232,65+,unknown,0.000166
362209948256232,18-24,unknown,0.000498
362209948256232,35-44,unknown,0.001078
362209948256232,35-44,female,0.054395
362209948256232,18-24,male,0.135904
362209948256232,55-64,male,0.051161
362209948256232,25-34,male,0.154809
362209948256232,35-44,male,0.064013
362209948256232,25-34,female,0.141128
362209948256232,18-24,female,0.143615
362209948256232,45-54,female,0.047015
362209948256232,45-54,male,0.05539
362209948256232,65+,female,0.059784
362209948256232,45-54,unknown,8.3E-5
2040296276124837,35-44,unknown,0.000502
2040296276124837,45-54,female,0.042412
2040296276124837,45-54,unknown,0.000376
2040296276124837,65+,unknown,0.000125
2040296276124837,55-64,female,0.038961
2040296276124837,25-34,male,0.225736
2040296276124837,35-44,male,0.16055
2040296276124837,35-44,female,0.047305
2040296276124837,65+,male,0.05772
2040296276124837,55-64,unknown,0.000125
2040296276124837,45-54,male,0.134701
2040296276124837,25-34,female,0.048246
2040296276124837,55-64,male,0.101888
2040296276124837,18-24,male,0.087396
2040296276124837,65+,female,0.038961
2040296276124837,18-24,female,0.014744
2040296276124837,25-34,unknown,0.000251
259200269164602,45-54,unknown,0.000254
259200269164602,55-64,unknown,0.000254
259200269164602,35-44,male,0.065903
259200269164602,55-64,female,0.092112
259200269164602,65+,male,0.04402
259200269164602,25-34,female,0.124173
259200269164602,25-34,male,0.115267
259200269164602,45-54,female,0.106107
259200269164602,65+,female,0.074046
259200269164602,45-54,male,0.060814
259200269164602,55-64,male,0.040204
259200269164602,18-24,female,0.084224
259200269164602,35-44,female,0.102799
259200269164602,18-24,male,0.089567
259200269164602,18-24,unknown,0.000254
288276042663936,55-64,male,0.037942
288276042663936,65+,female,0.02701
288276042663936,45-54,male,0.067846
288276042663936,65+,male,0.023473
288276042663936,45-54,female,0.068489
288276042663936,35-44,male,0.096463
288276042663936,25-34,male,0.188746
288276042663936,55-64,female,0.041158
288276042663936,18-24,female,0.074598
288276042663936,25-34,female,0.155305
288276042663936,18-24,male,0.123151
288276042663936,35-44,female,0.095177
288276042663936,55-64,unknown,0.000322
288276042663936,35-44,unknown,0.000322
1675000312672221,45-54,unknown,0.000511
1675000312672221,18-24,male,0.083312
1675000312672221,65+,male,0.018911
1675000312672221,65+,female,0.038334
1675000312672221,45-54,female,0.090979
1675000312672221,25-34,female,0.163046
1675000312672221,45-54,male,0.065423
1675000312672221,25-34,male,0.157424
1675000312672221,35-44,female,0.132124
1675000312672221,55-64,female,0.048045
1675000312672221,55-64,unknown,0.000511
1675000312672221,35-44,unknown,0.000767
1675000312672221,35-44,male,0.091234
1675000312672221,18-24,female,0.085101
1675000312672221,55-64,male,0.024278
3322063377895817,55-64,unknown,0.000254
3322063377895817,45-54,female,0.066023
3322063377895817,25-34,female,0.18131
3322063377895817,55-64,female,0.033012
3322063377895817,35-44,male,0.090147
3322063377895817,18-24,female,0.137633
3322063377895817,35-44,female,0.105383
