ad_id,age,gender,percentage
490692471960857,25-34,unknown,0.003979
490692471960857,55-64,female,0.062334
490692471960857,55-64,male,0.037798
490692471960857,25-34,female,0.194297
490692471960857,65+,male,0.019231
490692471960857,25-34,male,0.124668
490692471960857,18-24,male,0.057029
490692471960857,45-54,male,0.060345
490692471960857,65+,female,0.030504
490692471960857,45-54,unknown,0.001326
490692471960857,35-44,female,0.10809
490692471960857,35-44,male,0.073607
490692471960857,18-24,female,0.137931
490692471960857,45-54,female,0.085544
490692471960857,18-24,unknown,0.000663
490692471960857,35-44,unknown,0.001989
490692471960857,55-64,unknown,0.000663
3664827536905714,45-54,unknown,0.000507
3664827536905714,45-54,male,0.067788
3664827536905714,13-17,unknown,1.0E-5
3664827536905714,65+,unknown,0.000144
3664827536905714,55-64,unknown,0.000249
3664827536905714,25-34,unknown,0.000706
3664827536905714,18-24,unknown,0.000425
3664827536905714,35-44,unknown,0.00102
3664827536905714,65+,female,0.036008
3664827536905714,25-34,female,0.143153
3664827536905714,45-54,female,0.081145
3664827536905714,55-64,male,0.040986
3664827536905714,25-34,male,0.129424
3664827536905714,35-44,female,0.101225
3664827536905714,65+,male,0.023044
3664827536905714,18-24,male,0.083274
3664827536905714,18-24,female,0.14053
3664827536905714,55-64,female,0.059762
3664827536905714,35-44,male,0.090573
3664827536905714,Unknown,unknown,2.6E-5
257226399449400,18-24,unknown,0.000485
257226399449400,45-54,female,0.053422
257226399449400,65+,unknown,0.000225
257226399449400,Unknown,unknown,6.8E-5
257226399449400,55-64,unknown,0.000169
257226399449400,35-44,unknown,0.001454
257226399449400,25-34,unknown,0.001183
257226399449400,65+,female,0.021725
257226399449400,55-64,female,0.032227
257226399449400,35-44,male,0.084545
257226399449400,45-54,unknown,0.000428
257226399449400,18-24,male,0.090753
257226399449400,35-44,female,0.10005
257226399449400,25-34,male,0.177371
257226399449400,55-64,male,0.025308
257226399449400,25-34,female,0.207694
257226399449400,18-24,female,0.138339
257226399449400,65+,male,0.015911
257226399449400,45-54,male,0.048633
257226399449400,13-17,unknown,1.1E-5
480974876266990,65+,unknown,0.000212
480974876266990,25-34,female,0.214001
480974876266990,13-17,unknown,4.2E-5
480974876266990,55-64,unknown,0.000265
480974876266990,18-24,unknown,0.000743
480974876266990,45-54,unknown,0.00052
480974876266990,35-44,unknown,0.001062
480974876266990,35-44,male,0.071585
480974876266990,35-44,female,0.125207
480974876266990,65+,male,0.014406
480974876266990,25-34,unknown,0.000892
480974876266990,18-24,female,0.141588
480974876266990,18-24,male,0.072859
480974876266990,45-54,male,0.05065
480974876266990,45-54,female,0.079536
480974876266990,25-34,male,0.133668
480974876266990,55-64,female,0.040172
480974876266990,65+,female,0.025373
480974876266990,55-64,male,0.026923
480974876266990,Unknown,unknown,0.000297
430896591335052,65+,female,0.255206
430896591335052,65+,male,0.183166
430896591335052,55-64,male,0.177236
430896591335052,45-54,male,0.080868
430896591335052,55-64,female,0.212548
430896591335052,45-54,female,0.088416
430896591335052,65+,unknown,0.000876
430896591335052,55-64,unknown,0.000943
430896591335052,45-54,unknown,0.000741
427425104988678,55-64,male,0.192308
427425104988678,55-64,female,0.184615
427425104988678,45-54,female,0.169231
427425104988678,65+,male,0.138462
