ad_id,region,percentage
2885651968387350,Drenthe,0.035341
2885651968387350,Friesland,0.047785
2885651968387350,Gelderland,0.126431
2885651968387350,Groningen,0.036834
2885651968387350,Limburg,0.071677
2885651968387350,North Brabant,0.160279
2885651968387350,Noord-Holland,0.157292
2885651968387350,Utrecht,0.08213
2885651968387350,Zeeland,0.029368
2885651968387350,Zuid-Holland,0.169736
2885651968387350,Overijssel,0.061722
2885651968387350,Flevoland,0.021404
157871632754519,Drenthe,0.044745
157871632754519,Friesland,0.041303
157871632754519,Gelderland,0.131941
157871632754519,Groningen,0.043598
157871632754519,Limburg,0.111978
157871632754519,North Brabant,0.154199
157871632754519,Noord-Holland,0.123681
157871632754519,Utrecht,0.045434
157871632754519,Zeeland,0.031895
157871632754519,Zuid-Holland,0.173015
157871632754519,Overijssel,0.075952
157871632754519,Flevoland,0.022258
3636266409819045,Drenthe,0.048155
3636266409819045,Friesland,0.036898
3636266409819045,Gelderland,0.133834
3636266409819045,Groningen,0.049406
3636266409819045,Limburg,0.116948
3636266409819045,North Brabant,0.151345
3636266409819045,Noord-Holland,0.114447
3636266409819045,Utrecht,0.044403
3636266409819045,Zeeland,0.035022
3636266409819045,Zuid-Holland,0.164478
3636266409819045,Overijssel,0.085679
3636266409819045,Flevoland,0.019387
348820173100392,Drenthe,0.059391
348820173100392,Friesland,0.060226
348820173100392,Gelderland,0.137593
348820173100392,Groningen,0.052802
348820173100392,Limburg,0.095169
348820173100392,North Brabant,0.131705
348820173100392,Noord-Holland,0.116313
348820173100392,Utrecht,0.035273
348820173100392,Zeeland,0.027013
348820173100392,Zuid-Holland,0.176364
348820173100392,Overijssel,0.086734
348820173100392,Flevoland,0.021416
766126107383611,Drenthe,0.049035
766126107383611,Friesland,0.052978
766126107383611,Gelderland,0.135371
766126107383611,Groningen,0.05311
766126107383611,Limburg,0.097067
766126107383611,North Brabant,0.130688
766126107383611,Noord-Holland,0.125183
766126107383611,Utrecht,0.034492
766126107383611,Zeeland,0.024945
766126107383611,Zuid-Holland,0.194643
766126107383611,Overijssel,0.084857
766126107383611,Flevoland,0.017632
145363140795540,Drenthe,0.111111
145363140795540,Friesland,0.018519
145363140795540,Gelderland,0.111111
145363140795540,Groningen,0.018519
145363140795540,Limburg,0.092593
145363140795540,North Brabant,0.194444
145363140795540,Noord-Holland,0.111111
145363140795540,Utrecht,0.046296
145363140795540,Zeeland,0.018519
145363140795540,Zuid-Holland,0.194444
145363140795540,Overijssel,0.027778
145363140795540,Flevoland,0.055556
2957423834539056,Drenthe,0.039927
2957423834539056,Friesland,0.039927
