ad_id,region,percentage
435477087513071,Drenthe,0.049797
435477087513071,Gelderland,0.143705
435477087513071,North Brabant,0.141205
435477087513071,Noord-Holland,0.114136
435477087513071,Zuid-Holland,0.197424
435477087513071,Overijssel,0.080281
435477087513071,Flevoland,0.023841
435477087513071,Friesland,0.058776
435477087513071,Groningen,0.0416
435477087513071,Limburg,0.065573
435477087513071,Utrecht,0.050447
435477087513071,Zeeland,0.033216
460755871833645,Friesland,1
477154687053277,Groningen,1
1115138638909415,Drenthe,0.075541
1115138638909415,Friesland,0.112998
1115138638909415,Gelderland,0.194292
1115138638909415,Groningen,0.066673
1115138638909415,Limburg,0.049138
1115138638909415,North Brabant,0.110009
1115138638909415,Noord-Holland,0.069135
1115138638909415,Utrecht,0.036175
1115138638909415,Zeeland,0.022635
1115138638909415,Zuid-Holland,0.07112
1115138638909415,Overijssel,0.164573
1115138638909415,Flevoland,0.027709
2887217114932657,Utrecht,0.122336
2887217114932657,Zuid-Holland,0.877664
1129024477524182,Gelderland,0.778446
1129024477524182,Utrecht,0.018575
1129024477524182,Flevoland,0.202942
1129024477524182,Unknown,3.7E-5
1076757882826295,Gelderland,0.97874
1076757882826295,North Brabant,0.000234
1076757882826295,Utrecht,0.01819
1076757882826295,Nordrhein-Westfalen,0.00281
1076757882826295,Unknown,2.6E-5
513580383381489,North Brabant,0.406591
513580383381489,Zuid-Holland,0.094207
513580383381489,Zeeland,0.499203
488772358799125,Noord-Holland,1
1357217154677213,Unknown,2.6E-5
1357217154677213,Zeeland,0.994031
1357217154677213,Flemish Region,0.005943
840875866460590,Gelderland,0.522159
840875866460590,Overijssel,0.477841
4417919264893928,Utrecht,0.710494
4417919264893928,Zuid-Holland,0.289506
299983398216357,Utrecht,0.98648
299983398216357,Zuid-Holland,0.01352
1376462342688223,Unknown,1.3E-5
1376462342688223,Flemish Region,3.9E-5
1376462342688223,North Brabant,0.908957
1376462342688223,Zuid-Holland,0.09099
193670049226135,Gelderland,0.661884
193670049226135,Overijssel,0.338116
939368653559747,Drenthe,1
443356033568376,Unknown,2.2E-5
443356033568376,North Brabant,0.492179
443356033568376,Zeeland,0.344053
443356033568376,Zuid-Holland,0.163745
131183132196969,Unknown,1.7E-5
131183132196969,Gelderland,0.382592
131183132196969,Overijssel,0.617391
3492666417527805,Zeeland,0.999887
3492666417527805,Unknown,2.3E-5
3492666417527805,North Brabant,9.1E-5
2493368517624798,Overijssel,0.947051
2493368517624798,Gelderland,0.052949
1181735872281047,Limburg,0.967191
1181735872281047,North Brabant,0.026738
1181735872281047,Flemish Region,0.000564
1181735872281047,Nordrhein-Westfalen,0.005507
471925220517374,Gelderland,0.021175
471925220517374,Limburg,0.408665
471925220517374,North Brabant,0.567378
471925220517374,Nordrhein-Westfalen,0.002783
475328573657658,North Brabant,0.924366
