ad_id,region,percentage
452369106076934,Gelderland,0.009484
452369106076934,North Brabant,0.045461
452369106076934,Noord-Holland,0.325907
452369106076934,Utrecht,0.139771
452369106076934,Zeeland,0.001129
452369106076934,Zuid-Holland,0.462291
452369106076934,Flevoland,0.015957
434080534526798,Noord-Holland,0.10219
434080534526798,Zuid-Holland,0.669526
434080534526798,Flevoland,0.228285
469008384231829,Drenthe,0.026699
469008384231829,Friesland,0.023463
469008384231829,Gelderland,0.06877
469008384231829,Groningen,0.037217
469008384231829,Limburg,0.048544
469008384231829,North Brabant,0.089806
469008384231829,Noord-Holland,0.245146
469008384231829,Utrecht,0.054207
469008384231829,Zeeland,0.018608
469008384231829,Zuid-Holland,0.321197
469008384231829,Overijssel,0.033172
469008384231829,Flevoland,0.033172
514936626157269,Drenthe,0.014497
514936626157269,Friesland,0.026201
514936626157269,Gelderland,0.070167
514936626157269,Groningen,0.038168
514936626157269,Limburg,0.042649
514936626157269,North Brabant,0.085561
514936626157269,Noord-Holland,0.252517
514936626157269,Utrecht,0.069798
514936626157269,Zeeland,0.015815
514936626157269,Zuid-Holland,0.332384
514936626157269,Overijssel,0.028784
514936626157269,Flevoland,0.023459
185717696425894,Drenthe,0.013049
185717696425894,Friesland,0.026098
185717696425894,Gelderland,0.079548
185717696425894,Groningen,0.041782
185717696425894,Limburg,0.038519
185717696425894,North Brabant,0.089084
185717696425894,Noord-Holland,0.252572
185717696425894,Utrecht,0.079172
185717696425894,Zeeland,0.014806
185717696425894,Zuid-Holland,0.309661
185717696425894,Overijssel,0.030238
185717696425894,Flevoland,0.025471
464840114962419,Noord-Holland,0.754354
464840114962419,Utrecht,0.046288
464840114962419,Flevoland,0.1989
464840114962419,Gelderland,0.000458
160472442564372,Noord-Holland,0.757009
160472442564372,Utrecht,0.046729
160472442564372,Flevoland,0.196262
493921641767028,Noord-Holland,0.793932
493921641767028,Utrecht,0.042984
493921641767028,Flevoland,0.163085
439208983993340,Drenthe,0.054387
439208983993340,Friesland,0.055086
439208983993340,Gelderland,0.121706
439208983993340,Groningen,0.045811
439208983993340,Limburg,0.093091
439208983993340,North Brabant,0.161202
439208983993340,Noord-Holland,0.102412
439208983993340,Utrecht,0.040592
439208983993340,Zeeland,0.026308
439208983993340,Zuid-Holland,0.204055
439208983993340,Overijssel,0.077875
439208983993340,Flevoland,0.017476
197420235514055,Drenthe,0.045962
197420235514055,Friesland,0.061064
197420235514055,Gelderland,0.12541
197420235514055,Groningen,0.041366
197420235514055,Limburg,0.089297
197420235514055,North Brabant,0.170716
197420235514055,Noord-Holland,0.10046
197420235514055,Utrecht,0.047275
197420235514055,Zeeland,0.026921
197420235514055,Zuid-Holland,0.212738
197420235514055,Overijssel,0.064347
197420235514055,Flevoland,0.014445
161461082468732,Drenthe,0.043415
161461082468732,Friesland,0.047161
161461082468732,Gelderland,0.118596
161461082468732,Groningen,0.044392
161461082468732,Limburg,0.078195
161461082468732,North Brabant,0.158834
161461082468732,Noord-Holland,0.120062
161461082468732,Utrecht,0.050012
161461082468732,Zeeland,0.027287
161461082468732,Zuid-Holland,0.229209
161461082468732,Overijssel,0.069398
161461082468732,Flevoland,0.01344
440983003627252,Drenthe,0.014111
440983003627252,Friesland,0.022376
440983003627252,Gelderland,0.070958
440983003627252,Groningen,0.035613
440983003627252,Limburg,0.040586
440983003627252,North Brabant,0.086413
440983003627252,Noord-Holland,0.263405
440983003627252,Utrecht,0.071093
440983003627252,Zeeland,0.016127
440983003627252,Zuid-Holland,0.321328
440983003627252,Overijssel,0.032187
440983003627252,Flevoland,0.025803
273580534213036,Drenthe,0.013941
273580534213036,Friesland,0.022207
273580534213036,Gelderland,0.068027
273580534213036,Groningen,0.037085
273580534213036,Limburg,0.041601
273580534213036,North Brabant,0.086977
273580534213036,Noord-Holland,0.252467
273580534213036,Utrecht,0.071432
273580534213036,Zeeland,0.015027
273580534213036,Zuid-Holland,0.337495
273580534213036,Overijssel,0.029387
273580534213036,Flevoland,0.024354
471534327532585,Drenthe,0.016263
471534327532585,Friesland,0.026046
471534327532585,Gelderland,0.075645
471534327532585,Groningen,0.040041
471534327532585,Limburg,0.044771
471534327532585,North Brabant,0.087502
471534327532585,Noord-Holland,0.260075
471534327532585,Utrecht,0.072632
471534327532585,Zeeland,0.016619
471534327532585,Zuid-Holland,0.306466
471534327532585,Overijssel,0.032331
471534327532585,Flevoland,0.021608
884442215674443,Drenthe,0.064053
884442215674443,Friesland,0.029568
884442215674443,Gelderland,0.086179
884442215674443,Groningen,0.044917
884442215674443,Limburg,0.055282
884442215674443,North Brabant,0.12093
884442215674443,Noord-Holland,0.225316
884442215674443,Utrecht,0.072093
884442215674443,Zeeland,0.017143
884442215674443,Zuid-Holland,0.221528
884442215674443,Overijssel,0.042193
884442215674443,Flevoland,0.020797
496563508187148,Drenthe,0.027416
496563508187148,Friesland,0.035617
496563508187148,Gelderland,0.111391
496563508187148,Groningen,0.036964
496563508187148,Limburg,0.074397
496563508187148,North Brabant,0.136639
496563508187148,Noord-Holland,0.175742
496563508187148,Utrecht,0.060367
496563508187148,Zeeland,0.021587
496563508187148,Zuid-Holland,0.231481
496563508187148,Overijssel,0.067836
496563508187148,Flevoland,0.020562
434618684487750,Limburg,0.088219
434618684487750,Drenthe,0.037813
434618684487750,Friesland,0.053268
434618684487750,Gelderland,0.14015
434618684487750,Groningen,0.049609
434618684487750,North Brabant,0.136828
434618684487750,Noord-Holland,0.126391
434618684487750,Utrecht,0.051954
434618684487750,Zeeland,0.026767
434618684487750,Zuid-Holland,0.16959
434618684487750,Overijssel,0.094606
434618684487750,Flevoland,0.024805
405121197940914,Drenthe,0.017779
405121197940914,Friesland,0.029568
405121197940914,Gelderland,0.084163
405121197940914,Groningen,0.039327
405121197940914,Limburg,0.049957
405121197940914,North Brabant,0.10687
405121197940914,Noord-Holland,0.209489
405121197940914,Utrecht,0.067543
405121197940914,Zeeland,0.017635
405121197940914,Zuid-Holland,0.316987
405121197940914,Overijssel,0.036525
405121197940914,Flevoland,0.024157
159004802709228,Drenthe,0.011745
159004802709228,Friesland,0.021324
159004802709228,Gelderland,0.067011
159004802709228,Groningen,0.03725
159004802709228,Limburg,0.0382
159004802709228,North Brabant,0.07602
159004802709228,Noord-Holland,0.292333
159004802709228,Utrecht,0.074727
159004802709228,Zeeland,0.012733
159004802709228,Zuid-Holland,0.321981
159004802709228,Overijssel,0.025657
159004802709228,Flevoland,0.021019
498410164668684,Drenthe,0.011856
498410164668684,Friesland,0.02271
498410164668684,Gelderland,0.067008
498410164668684,Groningen,0.026195
498410164668684,Limburg,0.044939
498410164668684,North Brabant,0.096367
