ad_id,region,percentage
1081156665729252,Zuid-Holland,1
1430129034003228,Friesland,1
443376926943635,Utrecht,1
939421116804974,Friesland,1
281101390054151,Overijssel,1
434380697645062,Utrecht,1
452142756208836,Gelderland,1
775599880057488,Limburg,1
1181330975653319,Noord-Holland,1
1224422641286942,Zuid-Holland,1
1239372193124534,Drenthe,1
212209123990257,Flevoland,1
212525357316776,Flevoland,1
265007528441048,Gelderland,1
277200890637013,Zeeland,1
343733253729028,Noord-Holland,1
444474249986573,Flevoland,1
447299473147647,Overijssel,1
498007684555849,Overijssel,1
763648304573478,Noord-Holland,1
853734225175607,Flevoland,1
881994985929403,Overijssel,1
888550498597760,Overijssel,1
925532261608020,Zuid-Holland,1
982393028959968,Utrecht,1
986986101834484,Friesland,1
1820735148082766,Gelderland,1
1827866567375782,Drenthe,1
163728962242672,Limburg,1
224526092694287,Utrecht,1
273898764292560,Utrecht,1
282753749872236,Drenthe,1
487005829354900,Gelderland,1
505332713823849,Zeeland,1
742020053177555,Drenthe,1
786945168610844,Flevoland,1
918617035590364,Noord-Holland,1
2102042726602539,Zeeland,1
3163197840449637,Noord-Holland,1
279330916969680,Limburg,1
432910644629202,Friesland,1
469940307531980,Friesland,1
483444842692784,Zeeland,1
514768923259775,Zuid-Holland,1
759292141677389,Zeeland,1
2536099910024942,Drenthe,1
2819093978304568,Zuid-Holland,1
776226339997872,Utrecht,0.007813
776226339997872,Zuid-Holland,0.984976
776226339997872,North Brabant,0.007212
140329091314133,Gelderland,0.000127
140329091314133,Overijssel,0.999873
875133926365732,Overijssel,0.99991
875133926365732,Drenthe,9.0E-5
229450942196543,Overijssel,0.999916
229450942196543,Drenthe,8.4E-5
925058764933134,Overijssel,1
340294680757209,Overijssel,1
1370073580013279,North Brabant,0.998079
1370073580013279,Gelderland,0.000961
1370073580013279,Zuid-Holland,0.000961
817463962450211,Gelderland,0.000854
817463962450211,Limburg,0.000711
817463962450211,North Brabant,0.998008
817463962450211,Zuid-Holland,0.000427
3740993109350064,Gelderland,0.001606
3740993109350064,Limburg,0.001033
3740993109350064,North Brabant,0.997017
3740993109350064,Noord-Holland,0.000115
3740993109350064,Zuid-Holland,0.000229
279255203658920,North Brabant,1
452393145963340,North Brabant,1
263936392115225,Utrecht,1
437809707490854,Utrecht,0.999359
437809707490854,Zuid-Holland,0.000641
769978777251268,Utrecht,1
440864450483038,Utrecht,1
476785616786804,Zeeland,1
479986453025530,Zeeland,1
930483257699214,Zeeland,1
1148399648935856,Zeeland,1
886647045502239,Zeeland,1
756158355288630,Zuid-Holland,0.979389
756158355288630,North Brabant,0.011042
756158355288630,Utrecht,0.009569
1356429964739562,Gelderland,0.000427
1356429964739562,North Brabant,0.01859
1356429964739562,Utrecht,0.006838
1356429964739562,Zuid-Holland,0.974145
234611721689189,Zuid-Holland,1
463950861323061,Zuid-Holland,0.977556
463950861323061,North Brabant,0.014963
463950861323061,Utrecht,0.007481
850741308989116,Drenthe,1
208305541090212,Drenthe,1
299515551574130,Drenthe,1
2534811306823240,Drenthe,1
792761611648779,Drenthe,1
268581844825089,Friesland,1
134026331973911,Friesland,1
1596312394089650,Friesland,1
488025849241736,Friesland,1
936165487123698,Friesland,1
1661624607378425,Friesland,0.011765
1661624607378425,Gelderland,0.520588
1661624607378425,Limburg,0.002941
1661624607378425,North Brabant,0.002941
1661624607378425,Utrecht,0.002941
1661624607378425,Overijssel,0.458824
751310935525957,Friesland,0.003861
751310935525957,Gelderland,0.409266
751310935525957,Limburg,0.003861
751310935525957,Overijssel,0.583012
425965492029988,Gelderland,0.410526
425965492029988,Overijssel,0.589474
829735997629810,Friesland,0.012
