ad_id,region,percentage
154131443226094,Drenthe,0.04134
154131443226094,Groningen,0.055464
154131443226094,Limburg,0.013711
154131443226094,North Brabant,0.050309
154131443226094,Noord-Holland,0.075052
154131443226094,Zeeland,0.029691
154131443226094,Overijssel,0.139485
154131443226094,Friesland,0.05567
154131443226094,Gelderland,0.176186
154131443226094,Utrecht,0.100722
154131443226094,Zuid-Holland,0.224021
154131443226094,Flevoland,0.038351
1410327685971115,Drenthe,0.046109
1410327685971115,Friesland,0.08229
1410327685971115,Gelderland,0.145707
1410327685971115,Groningen,0.053265
1410327685971115,Limburg,0.059481
1410327685971115,North Brabant,0.096333
1410327685971115,Noord-Holland,0.109794
1410327685971115,Utrecht,0.062567
1410327685971115,Zeeland,0.028846
1410327685971115,Zuid-Holland,0.191816
1410327685971115,Overijssel,0.093962
1410327685971115,Flevoland,0.02983
2765142603799942,Drenthe,0.046274
2765142603799942,Friesland,0.07934
2765142603799942,Gelderland,0.146587
2765142603799942,Groningen,0.052338
2765142603799942,Limburg,0.056134
2765142603799942,North Brabant,0.098011
2765142603799942,Noord-Holland,0.11572
2765142603799942,Utrecht,0.058676
2765142603799942,Zeeland,0.027019
2765142603799942,Zuid-Holland,0.192535
2765142603799942,Overijssel,0.09832
2765142603799942,Flevoland,0.029046
198181358307820,Drenthe,0.031994
198181358307820,Friesland,0.044508
198181358307820,Gelderland,0.165381
198181358307820,Groningen,0.048904
198181358307820,Limburg,0.04559
198181358307820,North Brabant,0.094021
198181358307820,Noord-Holland,0.113028
198181358307820,Utrecht,0.078801
198181358307820,Zeeland,0.035444
198181358307820,Zuid-Holland,0.213812
198181358307820,Overijssel,0.093682
198181358307820,Flevoland,0.034835
2953922728161087,Drenthe,0.0387
2953922728161087,Friesland,0.045425
2953922728161087,Gelderland,0.175212
2953922728161087,Groningen,0.053371
2953922728161087,Limburg,0.044761
2953922728161087,North Brabant,0.099439
2953922728161087,Noord-Holland,0.104836
2953922728161087,Utrecht,0.072539
2953922728161087,Zeeland,0.036366
2953922728161087,Zuid-Holland,0.199692
2953922728161087,Overijssel,0.097554
2953922728161087,Flevoland,0.032104
198543115367901,Drenthe,0.038939
198543115367901,Friesland,0.038939
198543115367901,Gelderland,0.160081
198543115367901,Groningen,0.032305
198543115367901,Limburg,0.080185
198543115367901,North Brabant,0.220075
198543115367901,Noord-Holland,0.089126
198543115367901,Utrecht,0.051053
198543115367901,Zeeland,0.024228
198543115367901,Zuid-Holland,0.140179
198543115367901,Overijssel,0.091145
198543115367901,Flevoland,0.033747
1515372825321500,Drenthe,0.046068
1515372825321500,Friesland,0.039714
1515372825321500,Gelderland,0.138205
1515372825321500,Groningen,0.043685
1515372825321500,Limburg,0.069897
1515372825321500,North Brabant,0.192216
1515372825321500,Noord-Holland,0.090548
1515372825321500,Utrecht,0.059571
1515372825321500,Zeeland,0.021446
1515372825321500,Zuid-Holland,0.153296
1515372825321500,Overijssel,0.100079
1515372825321500,Flevoland,0.045274
253739656468962,Drenthe,0.048776
253739656468962,Friesland,0.058414
253739656468962,Gelderland,0.147083
253739656468962,Groningen,0.043287
253739656468962,Limburg,0.050662
253739656468962,North Brabant,0.103713
253739656468962,Noord-Holland,0.111465
253739656468962,Utrecht,0.059504
253739656468962,Zeeland,0.032811
253739656468962,Zuid-Holland,0.203151
253739656468962,Overijssel,0.107316
253739656468962,Flevoland,0.033817
281267926843204,Drenthe,0.043354
281267926843204,Friesland,0.057169
281267926843204,Gelderland,0.147486
281267926843204,Groningen,0.034725
281267926843204,Limburg,0.052688
281267926843204,North Brabant,0.108737
281267926843204,Noord-Holland,0.114296
281267926843204,Utrecht,0.058994
281267926843204,Zeeland,0.031489
281267926843204,Zuid-Holland,0.211708
281267926843204,Overijssel,0.105252
281267926843204,Flevoland,0.034102
3004275589856674,Drenthe,0.035502
3004275589856674,Friesland,0.048057
3004275589856674,Gelderland,0.205074
3004275589856674,Groningen,0.03831
3004275589856674,Limburg,0.006455
3004275589856674,North Brabant,0.02908
3004275589856674,Noord-Holland,0.042409
3004275589856674,Utrecht,0.095856
3004275589856674,Zeeland,0.054415
3004275589856674,Zuid-Holland,0.254067
3004275589856674,Overijssel,0.138588
3004275589856674,Flevoland,0.052188
828861767702957,Zuid-Holland,0.228873
828861767702957,Drenthe,0.037806
828861767702957,Friesland,0.049646
828861767702957,Gelderland,0.13884
828861767702957,Groningen,0.044937
828861767702957,Limburg,0.049714
828861767702957,North Brabant,0.097548
828861767702957,Noord-Holland,0.131506
828861767702957,Utrecht,0.072963
828861767702957,Zeeland,0.02703
828861767702957,Overijssel,0.091459
828861767702957,Flevoland,0.029679
466856471175850,Drenthe,0.042528
466856471175850,Friesland,0.055246
466856471175850,Gelderland,0.175874
466856471175850,Groningen,0.056439
466856471175850,Limburg,0.013116
466856471175850,North Brabant,0.049185
466856471175850,Noord-Holland,0.078299
466856471175850,Utrecht,0.099364
466856471175850,Zeeland,0.028617
466856471175850,Zuid-Holland,0.224364
466856471175850,Overijssel,0.137917
466856471175850,Flevoland,0.03905
266878635029883,Drenthe,0.045771
266878635029883,Friesland,0.061476
266878635029883,Gelderland,0.171977
266878635029883,Groningen,0.05755
266878635029883,Limburg,0.014808
266878635029883,North Brabant,0.05037
266878635029883,Noord-Holland,0.079201
266878635029883,Utrecht,0.093561
266878635029883,Zeeland,0.031075
266878635029883,Zuid-Holland,0.220215
266878635029883,Overijssel,0.135405
266878635029883,Flevoland,0.038591
3754674114614010,Groningen,0.052516
