ad_id,region,percentage
476887336679421,Drenthe,0.040094
476887336679421,Friesland,0.049509
476887336679421,Gelderland,0.128723
476887336679421,Groningen,0.042286
476887336679421,Limburg,0.081
476887336679421,North Brabant,0.142277
476887336679421,Noord-Holland,0.141303
476887336679421,Utrecht,0.061359
476887336679421,Zeeland,0.019722
476887336679421,Zuid-Holland,0.193085
476887336679421,Overijssel,0.078727
476887336679421,Flevoland,0.021914
1082744162225260,Drenthe,0.028725
1082744162225260,Friesland,0.047324
1082744162225260,Gelderland,0.135772
1082744162225260,Groningen,0.044844
1082744162225260,Limburg,0.072122
1082744162225260,North Brabant,0.136598
1082744162225260,Noord-Holland,0.153337
1082744162225260,Utrecht,0.070676
1082744162225260,Zeeland,0.020872
1082744162225260,Zuid-Holland,0.195288
1082744162225260,Overijssel,0.071502
1082744162225260,Flevoland,0.022939
3007967006152381,Drenthe,0.03208
3007967006152381,Friesland,0.043845
3007967006152381,Gelderland,0.126978
3007967006152381,Groningen,0.044625
3007967006152381,Limburg,0.066157
3007967006152381,North Brabant,0.145889
3007967006152381,Noord-Holland,0.16196
3007967006152381,Utrecht,0.070276
3007967006152381,Zeeland,0.02381
3007967006152381,Zuid-Holland,0.189671
3007967006152381,Overijssel,0.074645
3007967006152381,Flevoland,0.020066
770761966903238,Drenthe,0.041161
770761966903238,Friesland,0.05283
770761966903238,Gelderland,0.123576
770761966903238,Groningen,0.048787
770761966903238,Limburg,0.076994
770761966903238,North Brabant,0.132856
770761966903238,Noord-Holland,0.145351
770761966903238,Utrecht,0.065877
770761966903238,Zeeland,0.023245
770761966903238,Zuid-Holland,0.192484
770761966903238,Overijssel,0.076718
770761966903238,Flevoland,0.020121
546031483047743,Drenthe,0.026813
546031483047743,Friesland,0.033894
546031483047743,Gelderland,0.12821
546031483047743,Groningen,0.042579
546031483047743,Limburg,0.066748
546031483047743,North Brabant,0.158894
546031483047743,Noord-Holland,0.170412
546031483047743,Utrecht,0.082798
546031483047743,Zeeland,0.017277
546031483047743,Zuid-Holland,0.187689
546031483047743,Overijssel,0.065804
546031483047743,Flevoland,0.018882
137882748239442,Drenthe,0.031911
137882748239442,Friesland,0.041461
137882748239442,Gelderland,0.123566
137882748239442,Groningen,0.047747
137882748239442,Limburg,0.063247
137882748239442,North Brabant,0.156869
137882748239442,Noord-Holland,0.162964
137882748239442,Utrecht,0.079274
137882748239442,Zeeland,0.018667
137882748239442,Zuid-Holland,0.188973
137882748239442,Overijssel,0.066366
137882748239442,Flevoland,0.018955
169621678310632,Zeeland,0.020973
169621678310632,Drenthe,0.030723
169621678310632,Friesland,0.038096
169621678310632,Gelderland,0.124365
169621678310632,Groningen,0.036703
169621678310632,Limburg,0.06505
169621678310632,North Brabant,0.139276
169621678310632,Noord-Holland,0.177863
169621678310632,Utrecht,0.072341
169621678310632,Zuid-Holland,0.201704
169621678310632,Overijssel,0.072833
169621678310632,Flevoland,0.020072
455966192196526,Drenthe,0.0358
455966192196526,Friesland,0.041766
455966192196526,Gelderland,0.129773
455966192196526,Groningen,0.039081
455966192196526,Limburg,0.070306
455966192196526,North Brabant,0.13395
455966192196526,Noord-Holland,0.161695
455966192196526,Utrecht,0.068317
455966192196526,Zeeland,0.020485
455966192196526,Zuid-Holland,0.20008
455966192196526,Overijssel,0.078759
455966192196526,Flevoland,0.019988
283998156579687,Drenthe,0.027508
283998156579687,Friesland,0.035351
283998156579687,Gelderland,0.120918
283998156579687,Groningen,0.041672
283998156579687,Limburg,0.068945
283998156579687,North Brabant,0.142339
283998156579687,Noord-Holland,0.180147
283998156579687,Utrecht,0.077724
283998156579687,Zeeland,0.016739
283998156579687,Zuid-Holland,0.206953
283998156579687,Overijssel,0.06239
283998156579687,Flevoland,0.019314
450457319516397,Drenthe,0.031216
450457319516397,Friesland,0.037266
450457319516397,Gelderland,0.130226
450457319516397,Groningen,0.040429
450457319516397,Limburg,0.072882
450457319516397,North Brabant,0.141089
450457319516397,Noord-Holland,0.17093
450457319516397,Utrecht,0.07247
450457319516397,Zeeland,0.018289
450457319516397,Zuid-Holland,0.197195
450457319516397,Overijssel,0.070545
450457319516397,Flevoland,0.017464
121068479950906,Drenthe,0.102963
121068479950906,Friesland,0.111647
121068479950906,Gelderland,0.165679
121068479950906,Groningen,0.051964
121068479950906,Limburg,0.098001
121068479950906,North Brabant,0.158098
121068479950906,Noord-Holland,0.081185
121068479950906,Utrecht,0.030048
121068479950906,Zeeland,0.040248
121068479950906,Zuid-Holland,0.076637
121068479950906,Overijssel,0.071813
121068479950906,Flevoland,0.011716
136626275022784,Friesland,0.026197
136626275022784,Gelderland,0.075968
136626275022784,Groningen,0.084421
136626275022784,Limburg,0.056885
136626275022784,North Brabant,0.120383
136626275022784,Noord-Holland,0.196714
136626275022784,Utrecht,0.075884
136626275022784,Zeeland,0.007142
136626275022784,Zuid-Holland,0.297651
136626275022784,Overijssel,0.038947
136626275022784,Flevoland,0.019808
138359501505272,Drenthe,0.054562
138359501505272,Friesland,0.055522
138359501505272,Gelderland,0.130732
138359501505272,Groningen,0.053061
138359501505272,Limburg,0.097419
138359501505272,North Brabant,0.146459
138359501505272,Noord-Holland,0.142317
138359501505272,Utrecht,0.04988
138359501505272,Zeeland,0.02533
138359501505272,Zuid-Holland,0.133673
138359501505272,Overijssel,0.083193
138359501505272,Flevoland,0.027851
138801484802942,Noord-Holland,0.127071
138801484802942,Zuid-Holland,0.214598
138801484802942,Drenthe,0.016087
138801484802942,Friesland,0.022998
138801484802942,Gelderland,0.135863
138801484802942,Groningen,0.004803
138801484802942,Limburg,0.01855
138801484802942,North Brabant,0.138582
138801484802942,Utrecht,0.116719
138801484802942,Zeeland,0.024675
138801484802942,Overijssel,0.117348
138801484802942,Flevoland,0.062706
141454571107047,Drenthe,0.063086
141454571107047,Friesland,0.098039
141454571107047,Gelderland,0.202899
141454571107047,Groningen,0.046888
141454571107047,Limburg,0.091219
141454571107047,North Brabant,0.193521
141454571107047,Noord-Holland,0.064791
141454571107047,Utrecht,0.031543
141454571107047,Zeeland,0.026428
141454571107047,Zuid-Holland,0.080136
141454571107047,Overijssel,0.080989
141454571107047,Flevoland,0.02046
155779599701701,Drenthe,0.040102
155779599701701,Friesland,0.040487
155779599701701,Gelderland,0.129468
155779599701701,Groningen,0.036323
155779599701701,Limburg,0.083985
155779599701701,North Brabant,0.241704
155779599701701,Noord-Holland,0.119603
155779599701701,Utrecht,0.057207
155779599701701,Zeeland,0.031839
155779599701701,Zuid-Holland,0.101153
155779599701701,Overijssel,0.091352
155779599701701,Flevoland,0.026778
164486922158262,Drenthe,0.030105
164486922158262,Friesland,0.036341
164486922158262,Gelderland,0.106086
164486922158262,Groningen,0.029962
164486922158262,Limburg,0.06788
164486922158262,North Brabant,0.132607
164486922158262,Noord-Holland,0.171744
164486922158262,Utrecht,0.059924
164486922158262,Zeeland,0.021432
164486922158262,Zuid-Holland,0.232815
164486922158262,Overijssel,0.074547
164486922158262,Flevoland,0.036557
228980722259514,Drenthe,0.095847
228980722259514,Friesland,0.106135
228980722259514,Gelderland,0.147786
228980722259514,Groningen,0.048049
228980722259514,Limburg,0.095847
228980722259514,North Brabant,0.161084
228980722259514,Noord-Holland,0.090453
228980722259514,Utrecht,0.037386
228980722259514,Zeeland,0.044035
228980722259514,Zuid-Holland,0.081671
228980722259514,Overijssel,0.080542
228980722259514,Flevoland,0.011165
245204277314003,Drenthe,0.027333
245204277314003,Friesland,0.041967
245204277314003,Gelderland,0.142083
245204277314003,Groningen,0.068448
245204277314003,Limburg,0.101742
245204277314003,North Brabant,0.154549
245204277314003,Noord-Holland,0.149671
245204277314003,Utrecht,0.071932
245204277314003,Zeeland,0.019977
245204277314003,Zuid-Holland,0.12381
245204277314003,Overijssel,0.075648
245204277314003,Flevoland,0.022842
248441513653999,Drenthe,0.020922
248441513653999,Friesland,0.028055
248441513653999,Gelderland,0.101284
248441513653999,Groningen,0.02758
248441513653999,Limburg,0.067047
248441513653999,North Brabant,0.154066
248441513653999,Noord-Holland,0.199239
248441513653999,Utrecht,0.07418
248441513653999,Zeeland,0.017594
248441513653999,Zuid-Holland,0.216358
248441513653999,Overijssel,0.068474
248441513653999,Flevoland,0.025202
255213892817021,Drenthe,0.035196
255213892817021,Friesland,0.047102
255213892817021,Gelderland,0.129191
255213892817021,Groningen,0.044804
255213892817021,Limburg,0.06705
255213892817021,North Brabant,0.156867
255213892817021,Noord-Holland,0.145379
255213892817021,Utrecht,0.065796
255213892817021,Zeeland,0.024439
255213892817021,Zuid-Holland,0.18611
255213892817021,Overijssel,0.081775
255213892817021,Flevoland,0.016292
257168269281456,Drenthe,0.055382
257168269281456,Friesland,0.048256
257168269281456,Gelderland,0.166773
257168269281456,Groningen,0.050936
257168269281456,Limburg,0.094293
257168269281456,North Brabant,0.187142
257168269281456,Noord-Holland,0.086887
257168269281456,Utrecht,0.042796
257168269281456,Zeeland,0.029052
257168269281456,Zuid-Holland,0.130291
257168269281456,Overijssel,0.095606
257168269281456,Flevoland,0.012586
264960855210671,Drenthe,0.018671
264960855210671,Friesland,0.025392
264960855210671,Gelderland,0.082898
264960855210671,Groningen,0.026886
264960855210671,Limburg,0.049291
264960855210671,North Brabant,0.129201
264960855210671,Noord-Holland,0.259895
264960855210671,Utrecht,0.095594
264960855210671,Zeeland,0.018671
264960855210671,Zuid-Holland,0.194922
264960855210671,Overijssel,0.056012
264960855210671,Flevoland,0.042569
269788254556312,Drenthe,0.052464
269788254556312,Friesland,0.053775
269788254556312,Gelderland,0.126491
269788254556312,Groningen,0.051055
269788254556312,Limburg,0.095819
