ad_id,region,percentage
509081253417169,Drenthe,0.008377
509081253417169,Friesland,0.011705
509081253417169,Gelderland,0.081363
509081253417169,Groningen,0.01205
509081253417169,Limburg,0.041887
509081253417169,North Brabant,0.094675
509081253417169,Noord-Holland,0.238352
509081253417169,Utrecht,0.060248
509081253417169,Zeeland,0.010902
509081253417169,Zuid-Holland,0.371815
509081253417169,Overijssel,0.044182
509081253417169,Flevoland,0.024443
848011732412101,Drenthe,0.015338
848011732412101,Friesland,0.023039
848011732412101,Gelderland,0.090489
848011732412101,Groningen,0.017456
848011732412101,Limburg,0.063278
848011732412101,North Brabant,0.143691
848011732412101,Noord-Holland,0.191375
848011732412101,Utrecht,0.077525
848011732412101,Zeeland,0.015787
848011732412101,Zuid-Holland,0.284174
848011732412101,Overijssel,0.051341
848011732412101,Flevoland,0.026505
911017753024370,Noord-Holland,0.165299
911017753024370,Drenthe,0.029665
911017753024370,Friesland,0.032915
911017753024370,Gelderland,0.108136
911017753024370,Groningen,0.027963
911017753024370,Limburg,0.064644
911017753024370,North Brabant,0.160192
911017753024370,Utrecht,0.063767
911017753024370,Zeeland,0.02301
911017753024370,Zuid-Holland,0.228396
911017753024370,Overijssel,0.072435
911017753024370,Flevoland,0.023577
1363521907373831,Drenthe,0.030357
1363521907373831,Friesland,0.03695
1363521907373831,Gelderland,0.098942
1363521907373831,Groningen,0.036851
1363521907373831,Limburg,0.072522
1363521907373831,North Brabant,0.120935
1363521907373831,Noord-Holland,0.178155
1363521907373831,Utrecht,0.057909
1363521907373831,Zeeland,0.020861
1363521907373831,Zuid-Holland,0.258549
1363521907373831,Overijssel,0.060025
1363521907373831,Flevoland,0.027946
337411554462323,Zuid-Holland,0.310751
337411554462323,Drenthe,0.01438
337411554462323,Friesland,0.015687
337411554462323,Gelderland,0.101661
337411554462323,Groningen,0.020071
337411554462323,Limburg,0.047293
337411554462323,North Brabant,0.134882
337411554462323,Noord-Holland,0.192018
337411554462323,Utrecht,0.062981
337411554462323,Zeeland,0.014918
337411554462323,Overijssel,0.063288
337411554462323,Flevoland,0.02207
3745595068869624,Drenthe,0.018186
3745595068869624,Friesland,0.022138
3745595068869624,Gelderland,0.093212
3745595068869624,Groningen,0.020567
3745595068869624,Limburg,0.063475
3745595068869624,North Brabant,0.121834
3745595068869624,Noord-Holland,0.183536
3745595068869624,Utrecht,0.071733
3745595068869624,Zeeland,0.012563
3745595068869624,Zuid-Holland,0.306535
3745595068869624,Overijssel,0.060588
3745595068869624,Flevoland,0.025633
245957920571467,Drenthe,0.01775
245957920571467,Friesland,0.020964
245957920571467,Gelderland,0.101936
245957920571467,Groningen,0.019918
245957920571467,Limburg,0.054398
245957920571467,North Brabant,0.135421
245957920571467,Noord-Holland,0.192242
245957920571467,Utrecht,0.057152
245957920571467,Zeeland,0.017317
245957920571467,Zuid-Holland,0.293132
245957920571467,Overijssel,0.067099
245957920571467,Flevoland,0.022672
501891161187938,Drenthe,0.028106
