ad_id,region,percentage
1620718041466964,Friesland,0.032403
1620718041466964,Gelderland,0.10865
1620718041466964,North Brabant,0.131442
1620718041466964,Noord-Holland,0.183982
1620718041466964,Zuid-Holland,0.251167
1620718041466964,Drenthe,0.021053
1620718041466964,Groningen,0.036613
1620718041466964,Limburg,0.04714
1620718041466964,Utrecht,0.086316
1620718041466964,Zeeland,0.016842
1620718041466964,Overijssel,0.05849
1620718041466964,Flevoland,0.025904
559051905058474,Groningen,0.063218
559051905058474,Utrecht,0.13258
559051905058474,Drenthe,0.00654
559051905058474,Friesland,0.014071
559051905058474,Gelderland,0.10107
559051905058474,Limburg,0.018629
559051905058474,North Brabant,0.092945
559051905058474,Noord-Holland,0.334919
559051905058474,Zeeland,0.001982
559051905058474,Zuid-Holland,0.200951
559051905058474,Overijssel,0.033096
268325581332513,Drenthe,0.007893
268325581332513,Friesland,0.013652
268325581332513,Gelderland,0.099404
268325581332513,Groningen,0.061323
268325581332513,Limburg,0.017895
268325581332513,North Brabant,0.097549
268325581332513,Noord-Holland,0.344845
268325581332513,Utrecht,0.12791
268325581332513,Zeeland,0.001862
268325581332513,Zuid-Holland,0.195293
268325581332513,Overijssel,0.032374
207427941160849,Gelderland,0.10124
207427941160849,Groningen,0.056021
207427941160849,Noord-Holland,0.330284
207427941160849,Utrecht,0.128554
207427941160849,Zuid-Holland,0.222247
207427941160849,Drenthe,0.007773
207427941160849,Friesland,0.013323
207427941160849,Limburg,0.016188
207427941160849,North Brabant,0.09099
207427941160849,Zeeland,0.001274
207427941160849,Overijssel,0.032105
451131239423074,Drenthe,0.020218
451131239423074,Friesland,0.029207
451131239423074,Gelderland,0.113057
451131239423074,Groningen,0.035491
451131239423074,Limburg,0.04907
451131239423074,North Brabant,0.132073
451131239423074,Noord-Holland,0.197426
451131239423074,Utrecht,0.08344
451131239423074,Zeeland,0.019316
451131239423074,Zuid-Holland,0.238245
451131239423074,Overijssel,0.058769
451131239423074,Flevoland,0.023661
451131239423074,Unknown,2.7E-5
2868726926678671,Drenthe,0.01036
2868726926678671,Friesland,0.016758
2868726926678671,Gelderland,0.104205
2868726926678671,Groningen,0.067032
2868726926678671,Limburg,0.017063
2868726926678671,North Brabant,0.08379
2868726926678671,Noord-Holland,0.334857
2868726926678671,Utrecht,0.135283
2868726926678671,Zeeland,0.000305
2868726926678671,Zuid-Holland,0.194698
2868726926678671,Overijssel,0.035649
795316487741680,Zeeland,0.016371
795316487741680,Drenthe,0.015007
795316487741680,Friesland,0.020464
795316487741680,Gelderland,0.088677
795316487741680,Groningen,0.025921
795316487741680,Limburg,0.04502
795316487741680,North Brabant,0.144611
795316487741680,Noord-Holland,0.240109
795316487741680,Utrecht,0.075034
795316487741680,Zuid-Holland,0.263302
795316487741680,Overijssel,0.047749
795316487741680,Flevoland,0.017735
906584103492518,Drenthe,0.016807
906584103492518,Friesland,0.02416
906584103492518,Gelderland,0.12395
906584103492518,Groningen,0.036765
906584103492518,Limburg,0.047269
906584103492518,North Brabant,0.111345
906584103492518,Noord-Holland,0.217437
906584103492518,Utrecht,0.080882
906584103492518,Zeeland,0.02521
906584103492518,Zuid-Holland,0.236345
906584103492518,Overijssel,0.053571
906584103492518,Flevoland,0.026261
851329262112254,Limburg,0.04704
851329262112254,Noord-Holland,0.195458
851329262112254,Utrecht,0.097932
851329262112254,Zuid-Holland,0.249797
851329262112254,Drenthe,0.015612
851329262112254,Friesland,0.032644
851329262112254,Gelderland,0.102798
851329262112254,Groningen,0.035077
851329262112254,North Brabant,0.127737
851329262112254,Zeeland,0.016221
851329262112254,Overijssel,0.056772
851329262112254,Flevoland,0.022912
272941877727477,Drenthe,0.028306
272941877727477,Friesland,0.036596
272941877727477,Gelderland,0.108668
272941877727477,Groningen,0.029886
272941877727477,Limburg,0.070877
272941877727477,North Brabant,0.135976
272941877727477,Noord-Holland,0.165796
272941877727477,Utrecht,0.06125
272941877727477,Zeeland,0.024711
272941877727477,Zuid-Holland,0.239298
272941877727477,Overijssel,0.067019
272941877727477,Flevoland,0.031618
997156551090762,Drenthe,0.005676
997156551090762,Friesland,0.013695
997156551090762,Gelderland,0.0876
997156551090762,Groningen,0.051265
997156551090762,Limburg,0.023026
997156551090762,North Brabant,0.096172
997156551090762,Noord-Holland,0.366296
997156551090762,Utrecht,0.125261
997156551090762,Zeeland,0.001364
997156551090762,Zuid-Holland,0.199565
997156551090762,Overijssel,0.03008
133490035372454,Unknown,4.6E-5
133490035372454,Friesland,0.030491
133490035372454,Groningen,0.039844
133490035372454,Zeeland,0.014718
133490035372454,Flevoland,0.023613
133490035372454,Drenthe,0.01536
133490035372454,Gelderland,0.108253
133490035372454,Limburg,0.047593
133490035372454,North Brabant,0.119166
133490035372454,Noord-Holland,0.215956
133490035372454,Utrecht,0.093168
133490035372454,Zuid-Holland,0.234388
133490035372454,Overijssel,0.057405
520513089347529,Groningen,0.034954
520513089347529,Limburg,0.048322
520513089347529,Noord-Holland,0.194798
520513089347529,Zuid-Holland,0.26762
520513089347529,Drenthe,0.017997
520513089347529,Friesland,0.032094
520513089347529,Gelderland,0.104187
520513089347529,North Brabant,0.118804
520513089347529,Utrecht,0.083537
520513089347529,Zeeland,0.016021
520513089347529,Overijssel,0.054772
520513089347529,Flevoland,0.02684
520513089347529,Unknown,5.2E-5
495799758253409,Noord-Holland,0.195428
495799758253409,Drenthe,0.019785
495799758253409,Friesland,0.032535
495799758253409,Gelderland,0.108815
495799758253409,Groningen,0.02572
495799758253409,Limburg,0.053418
495799758253409,North Brabant,0.124643
495799758253409,Utrecht,0.084634
495799758253409,Zeeland,0.022423
495799758253409,Zuid-Holland,0.245548
495799758253409,Overijssel,0.059793
495799758253409,Flevoland,0.027259
773527829959935,Zuid-Holland,0.254908
773527829959935,Drenthe,0.016131
773527829959935,Friesland,0.029219
773527829959935,Gelderland,0.101202
773527829959935,Groningen,0.028002
773527829959935,Limburg,0.051286
773527829959935,North Brabant,0.122204
773527829959935,Noord-Holland,0.220667
773527829959935,Utrecht,0.082484
773527829959935,Zeeland,0.017045
773527829959935,Overijssel,0.051134
773527829959935,Flevoland,0.025719
492095768474855,Gelderland,0.099088
492095768474855,North Brabant,0.138673
492095768474855,Noord-Holland,0.226455
492095768474855,Zuid-Holland,0.254398
492095768474855,Overijssel,0.052518
492095768474855,Drenthe,0.018965
492095768474855,Friesland,0.024155
492095768474855,Groningen,0.02668
492095768474855,Limburg,0.047047
492095768474855,Utrecht,0.072661
492095768474855,Zeeland,0.017843
492095768474855,Flevoland,0.021518
268492018169304,Noord-Holland,0.367511
268492018169304,Overijssel,0.033359
268492018169304,Drenthe,0.007197
268492018169304,Friesland,0.014194
268492018169304,Gelderland,0.095488
268492018169304,Groningen,0.054177
268492018169304,Limburg,0.01774
268492018169304,North Brabant,0.09243
268492018169304,Utrecht,0.123342
268492018169304,Zeeland,0.001596
268492018169304,Zuid-Holland,0.192965
794426481487982,Drenthe,0.016495
794426481487982,Friesland,0.02758
794426481487982,Gelderland,0.096068
794426481487982,Groningen,0.036949
794426481487982,Limburg,0.051861
794426481487982,North Brabant,0.118765
794426481487982,Noord-Holland,0.215624
794426481487982,Utrecht,0.085379
794426481487982,Zeeland,0.017419
794426481487982,Zuid-Holland,0.250066
794426481487982,Overijssel,0.057271
794426481487982,Flevoland,0.026524
261224658842901,Unknown,1.7E-5
261224658842901,Drenthe,0.019625
261224658842901,Friesland,0.031404
261224658842901,Gelderland,0.110674
261224658842901,Groningen,0.038943
261224658842901,Limburg,0.049559
261224658842901,North Brabant,0.12329
261224658842901,Noord-Holland,0.185107
261224658842901,Utrecht,0.097887
261224658842901,Zeeland,0.016565
261224658842901,Zuid-Holland,0.247402
261224658842901,Overijssel,0.05597
261224658842901,Flevoland,0.023557
177466140681391,Drenthe,0.044143
177466140681391,Friesland,0.046994
177466140681391,Gelderland,0.128097
177466140681391,Groningen,0.036665
177466140681391,Limburg,0.077436
177466140681391,North Brabant,0.151225
177466140681391,Noord-Holland,0.140101
177466140681391,Utrecht,0.054643
177466140681391,Zeeland,0.025578
177466140681391,Zuid-Holland,0.191225
177466140681391,Overijssel,0.080914
177466140681391,Flevoland,0.022979
1234816013637613,Drenthe,0.019664
1234816013637613,Friesland,0.024886
1234816013637613,Gelderland,0.101746
1234816013637613,Groningen,0.023336
1234816013637613,Limburg,0.053362
1234816013637613,North Brabant,0.141563
1234816013637613,Noord-Holland,0.206674
1234816013637613,Utrecht,0.06609
1234816013637613,Zeeland,0.02203
1234816013637613,Zuid-Holland,0.265339
1234816013637613,Overijssel,0.051567
1234816013637613,Flevoland,0.023743
276958654025219,Zuid-Holland,0.246821
276958654025219,Overijssel,0.055366
276958654025219,Drenthe,0.016071
276958654025219,Friesland,0.029268
276958654025219,Gelderland,0.098944
276958654025219,Groningen,0.03191
276958654025219,Limburg,0.045727
276958654025219,North Brabant,0.130544
276958654025219,Noord-Holland,0.218581
276958654025219,Utrecht,0.085726
276958654025219,Zeeland,0.017241
276958654025219,Flevoland,0.023801
180441557221471,Unknown,2.4E-5
180441557221471,Noord-Holland,0.21426
180441557221471,Zuid-Holland,0.255237
180441557221471,Drenthe,0.021046
180441557221471,Friesland,0.025768
180441557221471,Gelderland,0.102371
180441557221471,Groningen,0.027778
180441557221471,Limburg,0.043278
180441557221471,North Brabant,0.133467
180441557221471,Utrecht,0.079727
180441557221471,Zeeland,0.019157
180441557221471,Overijssel,0.054879
180441557221471,Flevoland,0.023007
134196315216117,Drenthe,0.055008
