ad_id,region,percentage
481551526441611,Drenthe,0.037506
481551526441611,Friesland,0.055453
481551526441611,Gelderland,0.126553
481551526441611,Groningen,0.04042
481551526441611,Limburg,0.080611
481551526441611,North Brabant,0.133763
481551526441611,Noord-Holland,0.153705
481551526441611,Utrecht,0.055453
481551526441611,Zeeland,0.025694
481551526441611,Zuid-Holland,0.174413
481551526441611,Overijssel,0.093266
481551526441611,Flevoland,0.023163
199276255287801,Drenthe,0.041338
199276255287801,Friesland,0.064719
199276255287801,Gelderland,0.13121
199276255287801,Groningen,0.04683
199276255287801,Limburg,0.084155
199276255287801,North Brabant,0.140199
199276255287801,Noord-Holland,0.127488
199276255287801,Utrecht,0.051897
199276255287801,Zeeland,0.027148
199276255287801,Zuid-Holland,0.167638
199276255287801,Overijssel,0.093772
199276255287801,Flevoland,0.023606
781562506113157,Drenthe,0.039936
781562506113157,Friesland,0.067093
781562506113157,Gelderland,0.134185
781562506113157,Groningen,0.039936
781562506113157,Limburg,0.091054
781562506113157,North Brabant,0.158147
781562506113157,Noord-Holland,0.116613
781562506113157,Utrecht,0.060703
781562506113157,Zeeland,0.01278
781562506113157,Zuid-Holland,0.185304
781562506113157,Overijssel,0.071885
781562506113157,Flevoland,0.022364
3356645744436614,Zuid-Holland,1
481162749744938,Zuid-Holland,1
441604937065877,Zuid-Holland,1
192389448977135,Zuid-Holland,1
558210698476645,Drenthe,0.039898
558210698476645,Friesland,0.048525
558210698476645,Gelderland,0.127588
558210698476645,Groningen,0.035819
558210698476645,Limburg,0.071429
558210698476645,North Brabant,0.130883
558210698476645,Noord-Holland,0.137314
558210698476645,Utrecht,0.052552
558210698476645,Zeeland,0.023165
558210698476645,Zuid-Holland,0.210939
558210698476645,Overijssel,0.100397
558210698476645,Flevoland,0.021491
153257323312360,Drenthe,0.041725
153257323312360,Friesland,0.043497
153257323312360,Gelderland,0.132322
153257323312360,Groningen,0.037639
153257323312360,Limburg,0.076889
153257323312360,North Brabant,0.157824
153257323312360,Noord-Holland,0.136669
153257323312360,Utrecht,0.047542
153257323312360,Zeeland,0.02673
153257323312360,Zuid-Holland,0.184715
