ad_id,region,percentage
910042249835527,Drenthe,0.05198
910042249835527,Friesland,0.062181
910042249835527,Gelderland,0.102259
910042249835527,Groningen,0.056352
910042249835527,Limburg,0.080398
910042249835527,North Brabant,0.146709
910042249835527,Noord-Holland,0.131649
910042249835527,Utrecht,0.047122
910042249835527,Zeeland,0.025747
910042249835527,Zuid-Holland,0.196988
910042249835527,Overijssel,0.072626
910042249835527,Flevoland,0.02599
709211776424450,Drenthe,0.028846
709211776424450,Friesland,0.024038
709211776424450,Gelderland,0.096154
709211776424450,Groningen,0.043269
709211776424450,Limburg,0.043269
709211776424450,North Brabant,0.105769
709211776424450,Noord-Holland,0.264423
709211776424450,Utrecht,0.091346
709211776424450,Zeeland,0.019231
709211776424450,Zuid-Holland,0.206731
709211776424450,Overijssel,0.052885
709211776424450,Flevoland,0.024038
928646781292462,Drenthe,0.016152
928646781292462,Friesland,0.035562
928646781292462,Gelderland,0.108954
928646781292462,Groningen,0.060357
928646781292462,Limburg,0.039105
928646781292462,North Brabant,0.09762
928646781292462,Noord-Holland,0.231369
928646781292462,Utrecht,0.095636
928646781292462,Zeeland,0.014027
928646781292462,Zuid-Holland,0.230377
928646781292462,Overijssel,0.053415
928646781292462,Flevoland,0.017427
2831791750415978,Drenthe,0.012072
2831791750415978,Friesland,0.027163
2831791750415978,Gelderland,0.111167
2831791750415978,Groningen,0.049296
2831791750415978,Limburg,0.039235
2831791750415978,North Brabant,0.086519
2831791750415978,Noord-Holland,0.256036
2831791750415978,Utrecht,0.105131
2831791750415978,Zeeland,0.015594
2831791750415978,Zuid-Holland,0.219316
2831791750415978,Overijssel,0.052817
2831791750415978,Flevoland,0.025654
776266609742712,Noord-Holland,0.234738
776266609742712,Drenthe,0.021268
776266609742712,Friesland,0.029539
776266609742712,Gelderland,0.108704
776266609742712,Groningen,0.059866
776266609742712,Limburg,0.04293
776266609742712,North Brabant,0.083891
776266609742712,Utrecht,0.097282
776266609742712,Zeeland,0.016542
776266609742712,Zuid-Holland,0.221741
776266609742712,Overijssel,0.064199
776266609742712,Flevoland,0.019299
1085710671941251,Drenthe,0.017991
1085710671941251,Friesland,0.028486
1085710671941251,Gelderland,0.110611
1085710671941251,Groningen,0.057804
1085710671941251,Limburg,0.047643
1085710671941251,North Brabant,0.097285
1085710671941251,Noord-Holland,0.239547
1085710671941251,Utrecht,0.092787
1085710671941251,Zeeland,0.013826
1085710671941251,Zuid-Holland,0.214559
1085710671941251,Overijssel,0.061303
1085710671941251,Flevoland,0.018158
285592356251741,Drenthe,0.053831
285592356251741,Friesland,0.056394
285592356251741,Gelderland,0.108801
285592356251741,Groningen,0.064369
285592356251741,Limburg,0.066648
285592356251741,North Brabant,0.147251
285592356251741,Noord-Holland,0.129023
285592356251741,Utrecht,0.047565
