ad_id,region,percentage
1645848738946260,Drenthe,0.028586
1645848738946260,Friesland,0.041981
1645848738946260,Gelderland,0.110497
1645848738946260,Groningen,0.043105
1645848738946260,Limburg,0.054101
1645848738946260,North Brabant,0.129007
1645848738946260,Noord-Holland,0.207404
1645848738946260,Utrecht,0.080694
1645848738946260,Zeeland,0.018321
1645848738946260,Zuid-Holland,0.204518
1645848738946260,Overijssel,0.06154
1645848738946260,Flevoland,0.020246
467628547758590,Drenthe,0.055201
467628547758590,Friesland,0.083436
467628547758590,Gelderland,0.125934
467628547758590,Groningen,0.048385
467628547758590,Limburg,0.072019
467628547758590,North Brabant,0.131213
467628547758590,Noord-Holland,0.143528
467628547758590,Utrecht,0.060647
467628547758590,Zuid-Holland,0.18671
467628547758590,Overijssel,0.092929
193672722151114,Drenthe,0.040519
193672722151114,Friesland,0.034846
193672722151114,Gelderland,0.106159
193672722151114,Groningen,0.051864
193672722151114,Limburg,0.060778
193672722151114,North Brabant,0.132901
193672722151114,Noord-Holland,0.166126
193672722151114,Utrecht,0.068071
193672722151114,Zeeland,0.019449
193672722151114,Zuid-Holland,0.229335
193672722151114,Overijssel,0.071313
193672722151114,Flevoland,0.018639
264813528483525,Drenthe,0.026043
264813528483525,Friesland,0.039527
264813528483525,Gelderland,0.108678
264813528483525,Groningen,0.044775
264813528483525,Limburg,0.058352
264813528483525,North Brabant,0.120116
264813528483525,Noord-Holland,0.213007
264813528483525,Utrecht,0.078273
264813528483525,Zeeland,0.021168
264813528483525,Zuid-Holland,0.209314
264813528483525,Overijssel,0.055802
264813528483525,Flevoland,0.024945
721555211858375,Drenthe,0.033844
721555211858375,Friesland,0.176089
721555211858375,Gelderland,0.109087
721555211858375,Groningen,0.055262
721555211858375,Limburg,0.049788
721555211858375,North Brabant,0.094545
721555211858375,Noord-Holland,0.129547
721555211858375,Utrecht,0.065539
721555211858375,Zeeland,0.017014
721555211858375,Zuid-Holland,0.151399
721555211858375,Overijssel,0.101116
721555211858375,Flevoland,0.01677
477928943350818,Drenthe,0.021216
477928943350818,Friesland,0.041739
477928943350818,Gelderland,0.14527
477928943350818,Groningen,0.050789
477928943350818,Limburg,0.072796
477928943350818,North Brabant,0.167202
477928943350818,Noord-Holland,0.268112
477928943350818,Utrecht,0.103556
477928943350818,Zeeland,0.024603
477928943350818,Zuid-Holland,0.000124
477928943350818,Overijssel,0.073439
477928943350818,Flevoland,0.031156
792939121315727,Drenthe,0.023261
792939121315727,Friesland,0.05149
792939121315727,Gelderland,0.157378
792939121315727,Groningen,0.050642
792939121315727,Limburg,0.065907
792939121315727,North Brabant,0.162951
792939121315727,Noord-Holland,0.234553
792939121315727,Utrecht,0.116186
792939121315727,Zeeland,0.029198
792939121315727,Zuid-Holland,0.000242
792939121315727,Overijssel,0.080567
792939121315727,Flevoland,0.027623
913476336167846,Zuid-Holland,0.000163
913476336167846,Drenthe,0.02479
913476336167846,Friesland,0.047833
913476336167846,Gelderland,0.149394
913476336167846,Groningen,0.049662
913476336167846,Limburg,0.073178
913476336167846,North Brabant,0.186743
913476336167846,Noord-Holland,0.223373
913476336167846,Utrecht,0.11234
913476336167846,Zeeland,0.025133
913476336167846,Overijssel,0.0794
913476336167846,Flevoland,0.027991
368849627441127,Drenthe,0.038802
368849627441127,Friesland,0.057108
368849627441127,Gelderland,0.130336
368849627441127,Groningen,0.049339
368849627441127,Limburg,0.068628
368849627441127,North Brabant,0.128193
368849627441127,Noord-Holland,0.132524
368849627441127,Utrecht,0.068896
368849627441127,Zeeland,0.024826
368849627441127,Zuid-Holland,0.201509
368849627441127,Overijssel,0.075996
368849627441127,Flevoland,0.023844
138185061526854,North Brabant,0.121243
138185061526854,Drenthe,0.031599
