ad_id,region,percentage
799912597292562,Gelderland,0.25
799912597292562,Limburg,0.083333
799912597292562,Noord-Holland,0.083333
799912597292562,Utrecht,0.166667
799912597292562,Zuid-Holland,0.166667
799912597292562,Overijssel,0.25
362209948256232,Drenthe,0.028239
362209948256232,Friesland,0.042523
362209948256232,Gelderland,0.130295
362209948256232,Groningen,0.035505
362209948256232,Limburg,0.048221
362209948256232,North Brabant,0.112047
362209948256232,Noord-Holland,0.14813
362209948256232,Utrecht,0.06267
362209948256232,Zeeland,0.025844
362209948256232,Zuid-Holland,0.25225
362209948256232,Overijssel,0.087771
362209948256232,Flevoland,0.026505
2040296276124837,Drenthe,0.062059
2040296276124837,Friesland,0.093619
2040296276124837,Gelderland,0.16699
2040296276124837,Groningen,0.059746
2040296276124837,Limburg,0.056809
2040296276124837,North Brabant,0.107181
2040296276124837,Noord-Holland,0.07937
2040296276124837,Utrecht,0.04106
2040296276124837,Zeeland,0.035248
2040296276124837,Zuid-Holland,0.133117
2040296276124837,Overijssel,0.138304
2040296276124837,Flevoland,0.026498
259200269164602,Drenthe,0.01939
259200269164602,Friesland,0.028956
259200269164602,Gelderland,0.210445
259200269164602,Groningen,0.027404
259200269164602,Limburg,0.013444
259200269164602,North Brabant,0.03697
259200269164602,Noord-Holland,0.041624
259200269164602,Utrecht,0.070321
259200269164602,Zeeland,0.061789
259200269164602,Zuid-Holland,0.273009
259200269164602,Overijssel,0.135471
259200269164602,Flevoland,0.081179
288276042663936,Drenthe,0.015966
288276042663936,Friesland,0.023786
288276042663936,Gelderland,0.205604
288276042663936,Groningen,0.023135
288276042663936,Limburg,0.013359
288276042663936,North Brabant,0.039752
288276042663936,Noord-Holland,0.035516
288276042663936,Utrecht,0.070055
288276042663936,Zeeland,0.061258
288276042663936,Zuid-Holland,0.257087
288276042663936,Overijssel,0.127403
288276042663936,Flevoland,0.127077
1675000312672221,Drenthe,0.013702
1675000312672221,Friesland,0.021975
1675000312672221,Gelderland,0.226215
1675000312672221,Groningen,0.016029
1675000312672221,Limburg,0.008273
1675000312672221,North Brabant,0.029731
1675000312672221,Noord-Holland,0.029731
1675000312672221,Utrecht,0.074974
1675000312672221,Zeeland,0.072647
1675000312672221,Zuid-Holland,0.262151
1675000312672221,Overijssel,0.123061
1675000312672221,Flevoland,0.12151
3322063377895817,Drenthe,0.020543
3322063377895817,Friesland,0.024854
3322063377895817,Gelderland,0.212275
3322063377895817,Groningen,0.022064
3322063377895817,Limburg,0.008876
3322063377895817,North Brabant,0.032463
3322063377895817,Noord-Holland,0.040325
3322063377895817,Utrecht,0.077859
3322063377895817,Zeeland,0.064672
3322063377895817,Zuid-Holland,0.295207
3322063377895817,Overijssel,0.136191
3322063377895817,Flevoland,0.064672
4125783867454368,Drenthe,0.022075
4125783867454368,Friesland,0.034216
4125783867454368,Gelderland,0.196836
4125783867454368,Groningen,0.027594
4125783867454368,Limburg,0.019132
4125783867454368,North Brabant,0.041943
4125783867454368,Noord-Holland,0.057027
4125783867454368,Utrecht,0.077631
4125783867454368,Zeeland,0.057027
4125783867454368,Zuid-Holland,0.238043
4125783867454368,Overijssel,0.128771
4125783867454368,Flevoland,0.099706
185048546473373,Drenthe,0.030472
185048546473373,Friesland,0.044161
185048546473373,Gelderland,0.144242
185048546473373,Groningen,0.036586
185048546473373,Limburg,0.052319
185048546473373,North Brabant,0.114841
185048546473373,Noord-Holland,0.118287
185048546473373,Utrecht,0.06371
185048546473373,Zeeland,0.031777
185048546473373,Zuid-Holland,0.238093
185048546473373,Overijssel,0.095993
185048546473373,Flevoland,0.029518
301857621283186,Drenthe,0.068143
301857621283186,Friesland,0.103188
301857621283186,Gelderland,0.197858
301857621283186,Groningen,0.052811
301857621283186,Limburg,0.040642
301857621283186,North Brabant,0.086152
301857621283186,Noord-Holland,0.063762
301857621283186,Utrecht,0.048187
301857621283186,Zeeland,0.034315
301857621283186,Zuid-Holland,0.085179
301857621283186,Overijssel,0.18715
301857621283186,Flevoland,0.032611
1662241793961938,Drenthe,0.005556
1662241793961938,Friesland,0.027778
1662241793961938,Gelderland,0.266667
1662241793961938,Groningen,0.027778
1662241793961938,North Brabant,0.033333
1662241793961938,Noord-Holland,0.022222
1662241793961938,Utrecht,0.083333
1662241793961938,Zeeland,0.05
1662241793961938,Zuid-Holland,0.311111
1662241793961938,Overijssel,0.105556
1662241793961938,Flevoland,0.066667
765400867730214,Drenthe,0.008403
765400867730214,Friesland,0.033613
765400867730214,Gelderland,0.218487
765400867730214,Limburg,0.008403
765400867730214,North Brabant,0.016807
765400867730214,Noord-Holland,0.02521
765400867730214,Utrecht,0.07563
765400867730214,Zeeland,0.07563
765400867730214,Zuid-Holland,0.302521
765400867730214,Overijssel,0.168067
765400867730214,Flevoland,0.067227
133572461999387,Drenthe,0.026647
133572461999387,Friesland,0.019943
133572461999387,Gelderland,0.206301
133572461999387,Groningen,0.01944
133572461999387,Limburg,0.006033
133572461999387,North Brabant,0.036702
133572461999387,Noord-Holland,0.042903
133572461999387,Utrecht,0.071895
133572461999387,Zeeland,0.061505
133572461999387,Zuid-Holland,0.296631
133572461999387,Overijssel,0.152338
133572461999387,Flevoland,0.059661
5345162378834839,Drenthe,0.049452
5345162378834839,Friesland,0.065069
5345162378834839,Gelderland,0.167769
5345162378834839,Groningen,0.044572
5345162378834839,Limburg,0.056068
5345162378834839,North Brabant,0.113762
5345162378834839,Noord-Holland,0.092398
5345162378834839,Utrecht,0.048043
5345162378834839,Zeeland,0.032318
5345162378834839,Zuid-Holland,0.171565
5345162378834839,Overijssel,0.136862
5345162378834839,Flevoland,0.022123
764483694197504,Drenthe,0.02739
764483694197504,Friesland,0.00427
764483694197504,Gelderland,0.192668
764483694197504,Groningen,0.028015
764483694197504,Limburg,0.015622
764483694197504,North Brabant,0.04322
764483694197504,Noord-Holland,0.045928
764483694197504,Utrecht,0.070923
764483694197504,Zeeland,0.083941
764483694197504,Zuid-Holland,0.258488
764483694197504,Overijssel,0.158925
764483694197504,Flevoland,0.07061
337125080966020,Friesland,1
1536192713440397,Drenthe,0.020308
1536192713440397,Friesland,0.016573
1536192713440397,Gelderland,0.146359
1536192713440397,Groningen,0.021709
1536192713440397,Limburg,0.014472
1536192713440397,North Brabant,0.041083
1536192713440397,Noord-Holland,0.041317
1536192713440397,Utrecht,0.091737
1536192713440397,Zeeland,0.077965
1536192713440397,Zuid-Holland,0.282213
1536192713440397,Overijssel,0.154995
1536192713440397,Flevoland,0.09127
459926805364911,Gelderland,1
994261471106034,Drenthe,0.024724
994261471106034,Friesland,0.029875
994261471106034,Gelderland,0.193451
994261471106034,Groningen,0.028182
994261471106034,Limburg,0.013613
994261471106034,North Brabant,0.043341
994261471106034,Noord-Holland,0.050773
994261471106034,Utrecht,0.073436
994261471106034,Zeeland,0.057837
994261471106034,Zuid-Holland,0.261148
994261471106034,Overijssel,0.147976
994261471106034,Flevoland,0.075644
458592278520752,Drenthe,0.01271
458592278520752,Friesland,0.023551
458592278520752,Gelderland,0.217196
458592278520752,Groningen,0.016822
458592278520752,Limburg,0.014953
458592278520752,North Brabant,0.037009
458592278520752,Noord-Holland,0.034019
458592278520752,Utrecht,0.084486
458592278520752,Zeeland,0.076262
458592278520752,Zuid-Holland,0.268037
458592278520752,Overijssel,0.139065
458592278520752,Flevoland,0.075888
126722892665940,Drenthe,0.022206
126722892665940,Friesland,0.033443
126722892665940,Gelderland,0.2094
126722892665940,Groningen,0.025595
126722892665940,Limburg,0.013556
126722892665940,North Brabant,0.051101
126722892665940,Noord-Holland,0.045215
126722892665940,Utrecht,0.07857
126722892665940,Zeeland,0.065103
126722892665940,Zuid-Holland,0.265228
126722892665940,Overijssel,0.133684
126722892665940,Flevoland,0.056898
798019381073273,Drenthe,0.012821
798019381073273,Friesland,0.026653
798019381073273,Gelderland,0.233468
798019381073273,Groningen,0.018556
798019381073273,Limburg,0.005735
798019381073273,North Brabant,0.0361
798019381073273,Noord-Holland,0.030027
798019381073273,Utrecht,0.082659
798019381073273,Zeeland,0.079285
798019381073273,Zuid-Holland,0.285762
798019381073273,Overijssel,0.130229
798019381073273,Flevoland,0.058704
429652594956575,Drenthe,0.030128
429652594956575,Friesland,0.037903
429652594956575,Gelderland,0.200713
429652594956575,Groningen,0.030267
429652594956575,Limburg,0.011292
429652594956575,North Brabant,0.045446
429652594956575,Noord-Holland,0.040864
429652594956575,Utrecht,0.071918
429652594956575,Zeeland,0.063773
429652594956575,Zuid-Holland,0.24926
429652594956575,Overijssel,0.152906
429652594956575,Flevoland,0.065531
891156634965617,Drenthe,0.022872
891156634965617,Friesland,0.031502
891156634965617,Gelderland,0.20971
891156634965617,Groningen,0.023434
891156634965617,Limburg,0.012489
891156634965617,North Brabant,0.044552
891156634965617,Noord-Holland,0.036484
891156634965617,Utrecht,0.080965
891156634965617,Zeeland,0.060408
891156634965617,Zuid-Holland,0.255946
891156634965617,Overijssel,0.146004
891156634965617,Flevoland,0.075633
220883243083924,Drenthe,0.021198
220883243083924,Friesland,0.038074
220883243083924,Gelderland,0.216848
220883243083924,Groningen,0.027509
220883243083924,Limburg,0.01276
220883243083924,North Brabant,0.045826
220883243083924,Noord-Holland,0.03876
220883243083924,Utrecht,0.077245
220883243083924,Zeeland,0.063113
220883243083924,Zuid-Holland,0.234616
220883243083924,Overijssel,0.14715
220883243083924,Flevoland,0.076902
1186714328397489,Drenthe,0.027848
1186714328397489,Friesland,0.034539
1186714328397489,Gelderland,0.201447
1186714328397489,Groningen,0.032369
1186714328397489,Limburg,0.013924
1186714328397489,North Brabant,0.048282
1186714328397489,Noord-Holland,0.049096
1186714328397489,Utrecht,0.072694
1186714328397489,Zeeland,0.056962
1186714328397489,Zuid-Holland,0.268987
1186714328397489,Overijssel,0.145208
1186714328397489,Flevoland,0.048644
1692129124291469,Overijssel,1
268734271354890,Overijssel,1
795245928000658,Drenthe,0.021651
795245928000658,Friesland,0.035265
795245928000658,Gelderland,0.236992
795245928000658,Groningen,0.030538
795245928000658,Limburg,0.007564
795245928000658,North Brabant,0.035265
795245928000658,Noord-Holland,0.034068
795245928000658,Utrecht,0.084964
795245928000658,Zeeland,0.074029
795245928000658,Zuid-Holland,0.243547
795245928000658,Overijssel,0.159812
795245928000658,Flevoland,0.036305
1591122271275750,Drenthe,0.0317
1591122271275750,Friesland,0.046974
1591122271275750,Gelderland,0.191643
1591122271275750,Groningen,0.030403
1591122271275750,Limburg,0.01902
1591122271275750,North Brabant,0.059222
1591122271275750,Noord-Holland,0.056052
1591122271275750,Utrecht,0.072622
1591122271275750,Zeeland,0.059366
1591122271275750,Zuid-Holland,0.260231
1591122271275750,Overijssel,0.13487
1591122271275750,Flevoland,0.037896
775584616641633,Drenthe,0.027828
775584616641633,Friesland,0.033599
775584616641633,Gelderland,0.211536
775584616641633,Groningen,0.031152
775584616641633,Limburg,0.012086
775584616641633,North Brabant,0.044809
775584616641633,Noord-Holland,0.051094
775584616641633,Utrecht,0.08152
775584616641633,Zeeland,0.055082
775584616641633,Zuid-Holland,0.251148
775584616641633,Overijssel,0.158267
775584616641633,Flevoland,0.041878
1072578956581508,Drenthe,0.030949
1072578956581508,Friesland,0.037663
1072578956581508,Gelderland,0.188622
1072578956581508,Groningen,0.041936
1072578956581508,Limburg,0.01172
1072578956581508,North Brabant,0.047674
1072578956581508,Noord-Holland,0.051703
1072578956581508,Utrecht,0.076914
1072578956581508,Zeeland,0.058357
1072578956581508,Zuid-Holland,0.25528
1072578956581508,Overijssel,0.154743
1072578956581508,Flevoland,0.044439
2757944437779021,Drenthe,0.02491
2757944437779021,Friesland,0.027557
2757944437779021,Gelderland,0.212186
2757944437779021,Groningen,0.033702
2757944437779021,Limburg,0.009265
2757944437779021,North Brabant,0.040414
2757944437779021,Noord-Holland,0.051427
2757944437779021,Utrecht,0.096096
2757944437779021,Zeeland,0.051002
2757944437779021,Zuid-Holland,0.265031
2757944437779021,Overijssel,0.156693
2757944437779021,Flevoland,0.031717
406066283789878,Drenthe,0.022896
406066283789878,Friesland,0.033338
406066283789878,Gelderland,0.19927
406066283789878,Groningen,0.02818
406066283789878,Limburg,0.016228
406066283789878,North Brabant,0.041892
406066283789878,Noord-Holland,0.041892
406066283789878,Utrecht,0.089319
406066283789878,Zeeland,0.073343
406066283789878,Zuid-Holland,0.270348
406066283789878,Overijssel,0.142282
406066283789878,Flevoland,0.041011
3541295789258633,Drenthe,0.020782
3541295789258633,Friesland,0.044038
3541295789258633,Gelderland,0.186541
3541295789258633,Groningen,0.035131
3541295789258633,Limburg,0.020782
3541295789258633,North Brabant,0.045522
3541295789258633,Noord-Holland,0.042553
3541295789258633,Utrecht,0.10193
3541295789258633,Zeeland,0.062345
3541295789258633,Zuid-Holland,0.267442
3541295789258633,Overijssel,0.127907
3541295789258633,Flevoland,0.045027
1029028600908964,Drenthe,0.049933
1029028600908964,Friesland,0.063428
1029028600908964,Gelderland,0.117072
1029028600908964,Groningen,0.057018
1029028600908964,Limburg,0.081646
1029028600908964,North Brabant,0.124157
1029028600908964,Noord-Holland,0.117409
1029028600908964,Utrecht,0.061741
1029028600908964,Zeeland,0.028677
1029028600908964,Zuid-Holland,0.202092
1029028600908964,Overijssel,0.071188
1029028600908964,Flevoland,0.025641
249629526783009,Drenthe,0.031397
249629526783009,Friesland,0.020529
249629526783009,Gelderland,0.176573
249629526783009,Groningen,0.03247
249629526783009,Limburg,0.009795
249629526783009,North Brabant,0.035154
249629526783009,Noord-Holland,0.042399
249629526783009,Utrecht,0.072857
249629526783009,Zeeland,0.055414
249629526783009,Zuid-Holland,0.291024
249629526783009,Overijssel,0.149604
249629526783009,Flevoland,0.082785
866758857408921,Drenthe,0.019823
866758857408921,Friesland,0.025418
866758857408921,Gelderland,0.214007
866758857408921,Groningen,0.022717
866758857408921,Limburg,0.010804
866758857408921,North Brabant,0.033521
866758857408921,Noord-Holland,0.036753
866758857408921,Utrecht,0.088747
866758857408921,Zeeland,0.063956
866758857408921,Zuid-Holland,0.264988
866758857408921,Overijssel,0.141079
866758857408921,Flevoland,0.078185
449880422850583,Drenthe,0.006722
449880422850583,Friesland,0.018026
449880422850583,Gelderland,0.229453
449880422850583,Groningen,0.015582
449880422850583,Limburg,0.007638
449880422850583,North Brabant,0.034219
449880422850583,Noord-Holland,0.022609
449880422850583,Utrecht,0.100214
449880422850583,Zeeland,0.080965
449880422850583,Zuid-Holland,0.293309
449880422850583,Overijssel,0.137794
449880422850583,Flevoland,0.053468
414111286689207,Drenthe,0.023748
414111286689207,Friesland,0.03039
414111286689207,Gelderland,0.210409
414111286689207,Groningen,0.027296
414111286689207,Limburg,0.011646
414111286689207,North Brabant,0.033802
414111286689207,Noord-Holland,0.037168
414111286689207,Utrecht,0.087576
414111286689207,Zeeland,0.0626
414111286689207,Zuid-Holland,0.262317
414111286689207,Overijssel,0.146536
414111286689207,Flevoland,0.066512
309247827120152,Drenthe,0.028995
309247827120152,Friesland,0.041916
309247827120152,Gelderland,0.189805
309247827120152,Groningen,0.035495
309247827120152,Limburg,0.028758
309247827120152,North Brabant,0.073078
309247827120152,Noord-Holland,0.07028
309247827120152,Utrecht,0.081232
309247827120152,Zeeland,0.046998
309247827120152,Zuid-Holland,0.246848
309247827120152,Overijssel,0.118973
309247827120152,Flevoland,0.037622
756150431672827,Drenthe,0.019541
756150431672827,Friesland,0.021032
756150431672827,Gelderland,0.185412
756150431672827,Groningen,0.021331
756150431672827,Limburg,0.009994
756150431672827,North Brabant,0.02849
756150431672827,Noord-Holland,0.03744
756150431672827,Utrecht,0.080549
756150431672827,Zeeland,0.052506
756150431672827,Zuid-Holland,0.274761
756150431672827,Overijssel,0.129326
756150431672827,Flevoland,0.139618
