ad_id,region,percentage
490692471960857,Drenthe,0.05574
490692471960857,Friesland,0.025879
490692471960857,Gelderland,0.108162
490692471960857,Groningen,0.066357
490692471960857,Limburg,0.099536
490692471960857,North Brabant,0.211679
490692471960857,Noord-Holland,0.105508
490692471960857,Utrecht,0.03716
490692471960857,Zeeland,0.010617
490692471960857,Zuid-Holland,0.167883
490692471960857,Overijssel,0.080292
490692471960857,Flevoland,0.031188
3664827536905714,North Brabant,0.200282
3664827536905714,Noord-Holland,0.111499
3664827536905714,Utrecht,0.034553
3664827536905714,Zeeland,0.010883
3664827536905714,Zuid-Holland,0.186951
3664827536905714,Drenthe,0.048997
3664827536905714,Friesland,0.02702
3664827536905714,Gelderland,0.107561
3664827536905714,Groningen,0.052639
3664827536905714,Limburg,0.102062
3664827536905714,Overijssel,0.08736
3664827536905714,Flevoland,0.030193
257226399449400,Noord-Holland,0.337191
257226399449400,Zuid-Holland,0.595197
257226399449400,Utrecht,0.067612
480974876266990,Drenthe,0.04312
480974876266990,Gelderland,0.109261
480974876266990,Groningen,0.047748
480974876266990,Limburg,0.096583
480974876266990,North Brabant,0.233577
480974876266990,Noord-Holland,0.097756
480974876266990,Zuid-Holland,0.176659
480974876266990,Overijssel,0.083382
480974876266990,Flevoland,0.037447
480974876266990,Friesland,0.025516
480974876266990,Utrecht,0.039047
480974876266990,Zeeland,0.009906
430896591335052,Drenthe,0.038865
430896591335052,Friesland,0.130615
430896591335052,Gelderland,0.109175
430896591335052,Groningen,0.058535
430896591335052,Limburg,0.067247
430896591335052,North Brabant,0.101756
430896591335052,Noord-Holland,0.147291
430896591335052,Utrecht,0.048802
430896591335052,Zeeland,0.019262
430896591335052,Zuid-Holland,0.171658
430896591335052,Overijssel,0.091002
430896591335052,Flevoland,0.015791
427425104988678,Drenthe,0.023077
427425104988678,Friesland,0.092308
427425104988678,Gelderland,0.061538
427425104988678,North Brabant,0.084615
427425104988678,Noord-Holland,0.261538
427425104988678,Zeeland,0.007692
427425104988678,Zuid-Holland,0.246154
427425104988678,Overijssel,0.084615
427425104988678,Groningen,0.023077
427425104988678,Limburg,0.046154
427425104988678,Utrecht,0.069231
1581903038670462,Drenthe,0.063319
1581903038670462,Friesland,0.043668
1581903038670462,Gelderland,0.113537
1581903038670462,Groningen,0.045852
1581903038670462,Limburg,0.069869
1581903038670462,North Brabant,0.124454
1581903038670462,Noord-Holland,0.163755
1581903038670462,Utrecht,0.024017
1581903038670462,Zeeland,0.037118
1581903038670462,Zuid-Holland,0.237991
1581903038670462,Overijssel,0.043668
1581903038670462,Flevoland,0.032751
829015644379442,Drenthe,0.039982
829015644379442,Friesland,0.052466
829015644379442,Gelderland,0.127431
829015644379442,Groningen,0.042621
829015644379442,Limburg,0.080247
829015644379442,North Brabant,0.137186
829015644379442,Noord-Holland,0.139463
829015644379442,Utrecht,0.048988
829015644379442,Zeeland,0.029941
829015644379442,Zuid-Holland,0.198398
829015644379442,Overijssel,0.079821
829015644379442,Flevoland,0.023455
2852650705001658,Friesland,0.025021
2852650705001658,Gelderland,0.10649
2852650705001658,Limburg,0.099323
2852650705001658,North Brabant,0.210553
2852650705001658,Noord-Holland,0.114559
2852650705001658,Zuid-Holland,0.190073
2852650705001658,Overijssel,0.080971
2852650705001658,Flevoland,0.032594
2852650705001658,Drenthe,0.044339
2852650705001658,Groningen,0.048399
2852650705001658,Utrecht,0.036903
2852650705001658,Zeeland,0.010776
1931930976956130,Drenthe,0.039905
1931930976956130,Friesland,0.027822
1931930976956130,Gelderland,0.103498
1931930976956130,Groningen,0.048013
1931930976956130,Limburg,0.092687
1931930976956130,North Brabant,0.211606
1931930976956130,Noord-Holland,0.117806
1931930976956130,Utrecht,0.044515
1931930976956130,Zeeland,0.009857
1931930976956130,Zuid-Holland,0.188076
1931930976956130,Overijssel,0.080445
1931930976956130,Flevoland,0.035771
3674016405987496,Gelderland,0.097266
3674016405987496,Noord-Holland,0.112122
3674016405987496,Overijssel,0.079446
3674016405987496,Drenthe,0.044823
3674016405987496,Friesland,0.024634
3674016405987496,Groningen,0.045755
3674016405987496,Limburg,0.094641
3674016405987496,North Brabant,0.223186
3674016405987496,Utrecht,0.041564
3674016405987496,Zeeland,0.008804
3674016405987496,Zuid-Holland,0.192965
3674016405987496,Flevoland,0.034792
466712034522839,Drenthe,0.046353
466712034522839,Friesland,0.060292
466712034522839,Gelderland,0.106321
466712034522839,Groningen,0.063533
466712034522839,Limburg,0.078444
466712034522839,North Brabant,0.142301
466712034522839,Noord-Holland,0.132577
466712034522839,Utrecht,0.045057
466712034522839,Zeeland,0.01718
466712034522839,Zuid-Holland,0.201297
466712034522839,Overijssel,0.087196
466712034522839,Flevoland,0.019449
219898542889993,Drenthe,0.055731
219898542889993,Friesland,0.057083
219898542889993,Gelderland,0.12671
219898542889993,Groningen,0.066094
219898542889993,Limburg,0.095217
219898542889993,North Brabant,0.144924
219898542889993,Noord-Holland,0.11796
219898542889993,Utrecht,0.040268
219898542889993,Zeeland,0.023715
219898542889993,Zuid-Holland,0.164489
219898542889993,Overijssel,0.085731
219898542889993,Flevoland,0.022079
178574447224125,Drenthe,0.079365
178574447224125,Friesland,0.049603
178574447224125,Gelderland,0.117063
178574447224125,Groningen,0.069444
178574447224125,Limburg,0.085317
178574447224125,North Brabant,0.10119
178574447224125,Noord-Holland,0.10119
178574447224125,Utrecht,0.019841
178574447224125,Zeeland,0.035714
178574447224125,Zuid-Holland,0.18254
178574447224125,Overijssel,0.117063
178574447224125,Flevoland,0.041667
504033260976081,Drenthe,0.039774
504033260976081,Friesland,0.14814
504033260976081,Gelderland,0.115556
504033260976081,Groningen,0.065339
504033260976081,Limburg,0.061516
504033260976081,North Brabant,0.098322
504033260976081,Noord-Holland,0.131933
504033260976081,Utrecht,0.047592
504033260976081,Zeeland,0.017975
504033260976081,Zuid-Holland,0.164232
504033260976081,Overijssel,0.09176
504033260976081,Flevoland,0.017861
790420175223750,Drenthe,0.049842
790420175223750,Friesland,0.040622
790420175223750,Gelderland,0.091904
790420175223750,Groningen,0.052723
790420175223750,Limburg,0.082685
790420175223750,North Brabant,0.151829
790420175223750,Noord-Holland,0.131374
790420175223750,Utrecht,0.038317
790420175223750,Zeeland,0.040334
790420175223750,Zuid-Holland,0.233074
790420175223750,Overijssel,0.064823
790420175223750,Flevoland,0.022472
346302533403783,Drenthe,0.046664
346302533403783,Friesland,0.044438
346302533403783,Gelderland,0.12266
346302533403783,Groningen,0.053333
346302533403783,Limburg,0.088548
346302533403783,North Brabant,0.136907
346302533403783,Noord-Holland,0.139641
346302533403783,Utrecht,0.045626
346302533403783,Zuid-Holland,0.202578
346302533403783,Overijssel,0.074715
346302533403783,Flevoland,0.023436
346302533403783,Zeeland,0.021454
291123782359734,Drenthe,0.055646
291123782359734,Friesland,0.060142
291123782359734,Gelderland,0.134815
291123782359734,Groningen,0.05708
291123782359734,Limburg,0.090962
291123782359734,North Brabant,0.138398
291123782359734,Noord-Holland,0.112595
291123782359734,Utrecht,0.040594
291123782359734,Zeeland,0.027171
291123782359734,Zuid-Holland,0.170261
291123782359734,Overijssel,0.091223
291123782359734,Flevoland,0.021112
237070768113825,Friesland,0.176471
237070768113825,Gelderland,0.176471
237070768113825,Groningen,0.117647
237070768113825,North Brabant,0.058824
237070768113825,Noord-Holland,0.117647
237070768113825,Utrecht,0.117647
237070768113825,Zuid-Holland,0.176471
237070768113825,Flevoland,0.058824
265626248443005,Drenthe,0.037313
265626248443005,Friesland,0.156716
265626248443005,Gelderland,0.08209
265626248443005,Groningen,0.11194
265626248443005,Limburg,0.089552
265626248443005,North Brabant,0.074627
265626248443005,Noord-Holland,0.119403
265626248443005,Utrecht,0.037313
265626248443005,Zeeland,0.007463
265626248443005,Zuid-Holland,0.156716
265626248443005,Overijssel,0.097015
265626248443005,Flevoland,0.029851
353373265941666,Friesland,0.086957
353373265941666,Gelderland,0.086957
353373265941666,Groningen,0.043478
353373265941666,Limburg,0.086957
353373265941666,North Brabant,0.173913
353373265941666,Noord-Holland,0.130435
353373265941666,Zeeland,0.086957
353373265941666,Zuid-Holland,0.086957
353373265941666,Overijssel,0.130435
353373265941666,Flevoland,0.086957
266206545070602,Friesland,0.111111
266206545070602,Gelderland,0.074074
266206545070602,Limburg,0.074074
266206545070602,North Brabant,0.148148
266206545070602,Noord-Holland,0.074074
266206545070602,Utrecht,0.037037
266206545070602,Zuid-Holland,0.185185
266206545070602,Overijssel,0.259259
266206545070602,Flevoland,0.037037
938256346913442,Drenthe,0.055378
938256346913442,Friesland,0.05212
938256346913442,Gelderland,0.123049
938256346913442,Groningen,0.053644
938256346913442,Limburg,0.106131
938256346913442,North Brabant,0.126727
938256346913442,Noord-Holland,0.121683
938256346913442,Utrecht,0.039037
938256346913442,Zeeland,0.023801
938256346913442,Zuid-Holland,0.194662
938256346913442,Overijssel,0.083329
938256346913442,Flevoland,0.020438
3784097401628002,Drenthe,0.061125
