ad_id,region,percentage
147081627206136,Drenthe,0.030888
147081627206136,Friesland,0.027027
147081627206136,Gelderland,0.104247
147081627206136,Groningen,0.03861
147081627206136,Limburg,0.042471
147081627206136,North Brabant,0.158301
147081627206136,Noord-Holland,0.181467
147081627206136,Utrecht,0.073359
147081627206136,Zeeland,0.023166
147081627206136,Zuid-Holland,0.208494
147081627206136,Overijssel,0.096525
147081627206136,Flevoland,0.015444
153246403232759,Noord-Holland,0.176678
153246403232759,Drenthe,0.007067
153246403232759,Friesland,0.024735
153246403232759,Gelderland,0.14841
153246403232759,Groningen,0.021201
153246403232759,Limburg,0.060071
153246403232759,North Brabant,0.123675
153246403232759,Utrecht,0.091873
153246403232759,Zeeland,0.035336
153246403232759,Zuid-Holland,0.212014
153246403232759,Overijssel,0.081272
153246403232759,Flevoland,0.017668
512274713499229,Friesland,0.050127
512274713499229,Gelderland,0.143571
512274713499229,Limburg,0.062023
512274713499229,Zuid-Holland,0.231656
512274713499229,Drenthe,0.035507
512274713499229,Groningen,0.028696
512274713499229,North Brabant,0.135579
512274713499229,Noord-Holland,0.116782
512274713499229,Utrecht,0.0583
512274713499229,Overijssel,0.084998
512274713499229,Flevoland,0.026062
512274713499229,Unknown,0.000272
512274713499229,Zeeland,0.026426
4167547383279404,Limburg,0.026786
4167547383279404,Noord-Holland,0.279018
4167547383279404,Zuid-Holland,0.251116
4167547383279404,Gelderland,0.070313
4167547383279404,North Brabant,0.176339
4167547383279404,Utrecht,0.094866
4167547383279404,Drenthe,0.00558
4167547383279404,Friesland,0.008929
4167547383279404,Groningen,0.022321
4167547383279404,Zeeland,0.014509
4167547383279404,Overijssel,0.032366
4167547383279404,Flevoland,0.017857
158542319348611,Gelderland,0.10991
158542319348611,Drenthe,0.027027
158542319348611,Friesland,0.055856
158542319348611,Groningen,0.023423
158542319348611,Limburg,0.054054
158542319348611,North Brabant,0.169369
158542319348611,Noord-Holland,0.115315
158542319348611,Utrecht,0.07027
158542319348611,Zeeland,0.028829
158542319348611,Zuid-Holland,0.189189
158542319348611,Overijssel,0.086486
158542319348611,Flevoland,0.07027
977039189502139,Gelderland,0.124336
977039189502139,Groningen,0.026106
977039189502139,North Brabant,0.154572
977039189502139,Noord-Holland,0.15767
977039189502139,Utrecht,0.069322
977039189502139,Zuid-Holland,0.229794
977039189502139,Overijssel,0.065487
977039189502139,Friesland,0.036726
977039189502139,Flevoland,0.025221
977039189502139,Unknown,0.000295
977039189502139,Drenthe,0.025811
977039189502139,Limburg,0.05767
977039189502139,Zeeland,0.026991
265080501889039,Gelderland,0.085334
265080501889039,Noord-Holland,0.24843
265080501889039,Utrecht,0.112301
265080501889039,Zuid-Holland,0.221278
265080501889039,Overijssel,0.045253
265080501889039,Limburg,0.029368
265080501889039,North Brabant,0.18249
265080501889039,Drenthe,0.004618
265080501889039,Friesland,0.01256
265080501889039,Groningen,0.021611
265080501889039,Zeeland,0.01256
265080501889039,Flevoland,0.024197
339427980839847,Drenthe,0.047482
339427980839847,Friesland,0.067414
339427980839847,Gelderland,0.107696
339427980839847,Groningen,0.043844
339427980839847,Limburg,0.058017
339427980839847,North Brabant,0.138505
339427980839847,Noord-Holland,0.132631
339427980839847,Utrecht,0.066808
339427980839847,Zeeland,0.025162
339427980839847,Zuid-Holland,0.181098
339427980839847,Overijssel,0.089469
339427980839847,Flevoland,0.041874
348199689836176,Drenthe,0.009287
348199689836176,Friesland,0.020487
348199689836176,Gelderland,0.099695
348199689836176,Groningen,0.034689
348199689836176,Limburg,0.036525
348199689836176,North Brabant,0.172151
348199689836176,Noord-Holland,0.250685
348199689836176,Utrecht,0.088908
348199689836176,Zeeland,0.020384
348199689836176,Zuid-Holland,0.207383
348199689836176,Overijssel,0.039811
348199689836176,Flevoland,0.019996
482682796239481,Drenthe,0.04916
482682796239481,Friesland,0.056487
482682796239481,Gelderland,0.139999
482682796239481,Groningen,0.040227
482682796239481,Limburg,0.074983
482682796239481,North Brabant,0.130436
482682796239481,Noord-Holland,0.12776
482682796239481,Utrecht,0.049767
482682796239481,Zeeland,0.027405
482682796239481,Zuid-Holland,0.1972
482682796239481,Overijssel,0.082299
482682796239481,Flevoland,0.024277
168612594981951,Drenthe,0.039711
168612594981951,Friesland,0.054298
168612594981951,Gelderland,0.127438
168612594981951,Groningen,0.047438
168612594981951,Limburg,0.062975
168612594981951,North Brabant,0.129793
168612594981951,Noord-Holland,0.158926
168612594981951,Utrecht,0.063926
168612594981951,Zeeland,0.026818
168612594981951,Zuid-Holland,0.185785
168612594981951,Overijssel,0.079421
168612594981951,Flevoland,0.023471
251327113294634,Drenthe,0.008724
251327113294634,Friesland,0.020205
251327113294634,Gelderland,0.104795
251327113294634,Groningen,0.032924
251327113294634,Limburg,0.033375
251327113294634,North Brabant,0.184602
251327113294634,Noord-Holland,0.243134
251327113294634,Utrecht,0.093877
251327113294634,Zeeland,0.02043
251327113294634,Zuid-Holland,0.189554
251327113294634,Overijssel,0.043674
251327113294634,Flevoland,0.024707
959336404834649,Drenthe,0.049067
959336404834649,Friesland,0.0602
959336404834649,Gelderland,0.141721
959336404834649,Groningen,0.04216
959336404834649,Limburg,0.092397
959336404834649,North Brabant,0.126293
959336404834649,Noord-Holland,0.106698
959336404834649,Utrecht,0.040961
959336404834649,Zeeland,0.030742
959336404834649,Zuid-Holland,0.197625
959336404834649,Overijssel,0.091812
959336404834649,Flevoland,0.020323
268986128237978,Drenthe,0.045206
268986128237978,Friesland,0.062474
268986128237978,Gelderland,0.122643
268986128237978,Groningen,0.039493
268986128237978,Limburg,0.071375
268986128237978,North Brabant,0.134327
268986128237978,Noord-Holland,0.123565
268986128237978,Utrecht,0.061718
268986128237978,Zeeland,0.027053
