ad_id,region,percentage
145416310798679,Drenthe,0.033019
145416310798679,Friesland,0.031671
145416310798679,Gelderland,0.109838
145416310798679,Groningen,0.035714
145416310798679,Limburg,0.086253
145416310798679,North Brabant,0.136119
145416310798679,Noord-Holland,0.147574
145416310798679,Utrecht,0.059973
145416310798679,Zeeland,0.02965
145416310798679,Zuid-Holland,0.223046
145416310798679,Overijssel,0.078167
145416310798679,Flevoland,0.028976
150364673617310,Drenthe,0.022307
150364673617310,Friesland,0.042702
150364673617310,Gelderland,0.165711
150364673617310,Groningen,0.027406
150364673617310,Limburg,0.082855
150364673617310,North Brabant,0.144041
150364673617310,Noord-Holland,0.12492
150364673617310,Utrecht,0.059273
150364673617310,Zeeland,0.027406
150364673617310,Zuid-Holland,0.200765
150364673617310,Overijssel,0.072658
150364673617310,Flevoland,0.029955
150995396797776,Gelderland,0.116748
150995396797776,Groningen,0.041696
150995396797776,Limburg,0.05212
150995396797776,North Brabant,0.149409
150995396797776,Noord-Holland,0.161223
150995396797776,Utrecht,0.09868
150995396797776,Zuid-Holland,0.214038
150995396797776,Overijssel,0.054204
150995396797776,Drenthe,0.035441
150995396797776,Friesland,0.038221
150995396797776,Zeeland,0.020153
150995396797776,Flevoland,0.018068
163903585550899,Unknown,2.9E-5
163903585550899,Drenthe,0.021602
163903585550899,Friesland,0.03127
163903585550899,Gelderland,0.125136
163903585550899,Groningen,0.038585
163903585550899,Limburg,0.044208
163903585550899,North Brabant,0.138333
163903585550899,Noord-Holland,0.183573
163903585550899,Utrecht,0.091686
163903585550899,Zeeland,0.01836
163903585550899,Zuid-Holland,0.225974
163903585550899,Overijssel,0.062396
163903585550899,Flevoland,0.018848
189452066005251,Friesland,0.040556
189452066005251,Groningen,0.042874
189452066005251,Limburg,0.10197
189452066005251,North Brabant,0.127462
189452066005251,Noord-Holland,0.156431
189452066005251,Utrecht,0.062572
189452066005251,Zuid-Holland,0.200463
189452066005251,Overijssel,0.066049
189452066005251,Flevoland,0.030127
189452066005251,Drenthe,0.033604
189452066005251,Gelderland,0.113557
189452066005251,Zeeland,0.024334
203601734888986,Gelderland,0.067024
203601734888986,Limburg,0.092609
203601734888986,North Brabant,0.144981
203601734888986,Noord-Holland,0.139843
203601734888986,Utrecht,0.051279
203601734888986,Zeeland,0.035972
203601734888986,Zuid-Holland,0.454953
203601734888986,Overijssel,0.00667
203601734888986,Flevoland,0.00667
234527865065318,Groningen,0.000793
234527865065318,Drenthe,0.03171
234527865065318,Friesland,0.008947
234527865065318,Gelderland,0.128313
234527865065318,Limburg,0.00974
234527865065318,North Brabant,0.280747
234527865065318,Noord-Holland,0.174519
234527865065318,Utrecht,0.156512
234527865065318,Zeeland,0.003851
234527865065318,Zuid-Holland,0.151189
234527865065318,Overijssel,0.047792
234527865065318,Flevoland,0.005889
252497886599134,Drenthe,0.03172
252497886599134,Friesland,0.033797
252497886599134,Gelderland,0.1281
252497886599134,Groningen,0.027904
252497886599134,Limburg,0.071747
252497886599134,North Brabant,0.168412
252497886599134,Noord-Holland,0.142117
252497886599134,Utrecht,0.067256
252497886599134,Zeeland,0.025322
252497886599134,Zuid-Holland,0.216005
252497886599134,Overijssel,0.066231
252497886599134,Flevoland,0.021389
255320486257672,Groningen,0.000432
255320486257672,Drenthe,0.030128
255320486257672,Friesland,0.008805
255320486257672,Gelderland,0.127762
255320486257672,Limburg,0.012258
255320486257672,North Brabant,0.282027
255320486257672,Noord-Holland,0.169458
255320486257672,Utrecht,0.157804
255320486257672,Zeeland,0.003453
255320486257672,Zuid-Holland,0.155905
255320486257672,Overijssel,0.04653
255320486257672,Flevoland,0.005439
270963988080763,Drenthe,0.029809
270963988080763,Friesland,0.037727
270963988080763,Gelderland,0.145319
270963988080763,Groningen,0.047974
270963988080763,Limburg,0.054495
270963988080763,North Brabant,0.159758
270963988080763,Noord-Holland,0.178854
270963988080763,Utrecht,0.068468
